PID,DATA_YEAR,LIVING_AREA,YR_REMODELLED,BED_ROOMS,REMODEL_YEAR,living_area_diff,bedrooms_diff
100163000,2019,1499.0,2017.0,3.0,2017.0,56.0,-1.0
101262000,2018,2991.0,2014.0,4.0,2014.0,0.0,-3.0
101893000,2018,4389.0,2015.0,7.0,2015.0,235.0,-2.0
102531000,2020,2314.0,2018.0,4.0,2018.0,0.0,-2.0
102531000,2022,2314.0,2019.0,4.0,2019.0,0.0,-2.0
102743000,2022,1368.0,2019.0,3.0,2019.0,-72.0,-1.0
102925000,2013,1596.0,2003.0,2.0,2017.0,0.0,-4.0
102940000,2018,1527.0,2015.0,3.0,2015.0,206.0,-1.0
103025000,2020,1722.0,2018.0,3.0,2018.0,-18.0,-2.0
103184000,2023,2746.8,2022.0,6.0,2022.0,-0.1999999999998181,-2.0
103287000,2022,2727.0,2019.0,3.0,2019.0,567.0,-1.0
103469000,2022,4189.0,2020.0,8.0,2020.0,485.0,-2.0
103500000,2018,3552.0,2016.0,5.0,2016.0,0.0,-3.0
103648002,2013,4244.0,1999.0,6.0,2018.0,0.0,-2.0
103648002,2018,4244.0,1999.0,6.0,2019.0,0.0,-2.0
103841000,2019,2780.0,2017.0,6.0,2017.0,-30.0,-2.0
104081000,2018,3684.0,2012.0,7.0,2012.0,0.0,-1.0
104514000,2023,2336.0,2021.0,4.0,2021.0,0.0,-3.0
104628000,2022,2621.9,2020.0,5.0,2020.0,-0.09999999999990905,-1.0
104729000,2018,2892.0,2015.0,5.0,2015.0,0.0,-2.0
104729000,2019,2892.0,2017.0,5.0,2017.0,0.0,-2.0
104729000,2020,2892.0,2016.0,5.0,2016.0,0.0,-2.0
104805000,2020,1643.0,2018.0,3.0,2018.0,295.0,-1.0
105594000,2020,1459.0,2018.0,4.0,2018.0,-43.0,-2.0
105594000,2022,1459.2,2019.0,4.0,2019.0,-42.799999999999955,-2.0
105978000,2023,3277.25,2021.0,5.0,2021.0,101.25,-1.0
106067000,2020,3066.0,2018.0,4.0,2018.0,0.0,-2.0
106067000,2022,3066.0,2019.0,4.0,2019.0,0.0,-2.0
106281000,2013,2529.0,1985.0,3.0,2018.0,0.0,-5.0
106286000,2018,3252.0,2012.0,7.0,2012.0,-63.0,-1.0
106600000,2018,0.0,2012.0,3.0,2012.0,-1233.0,-2.0
106660000,2010,2949.0,1980.0,6.0,2011.0,0.0,-4.0
106807030,2020,2631.0,2018.0,5.0,2018.0,-24.0,-3.0
106810000,2019,2154.0,2017.0,5.0,2017.0,0.0,-1.0
106860000,2013,2600.0,2010.0,6.0,2010.0,-87.0,-1.0
106971000,2018,2952.0,1990.0,6.0,2019.0,-108.0,-2.0
200076000,2018,2262.0,2016.0,3.0,2016.0,39.0,-1.0
200101000,2019,1521.0,2017.0,3.0,2017.0,0.0,-2.0
200174000,2018,1257.0,2012.0,2.0,2012.0,89.0,-2.0
200201000,2018,2363.0,2014.0,4.0,2014.0,-10.0,-1.0
200227000,2018,1790.0,1984.0,3.0,2019.0,-140.0,-1.0
200350000,2013,2100.0,2002.0,3.0,2016.0,-190.0,-1.0
200385000,2018,2479.0,2016.0,3.0,2016.0,313.0,-1.0
200480000,2018,2610.0,2014.0,3.0,2014.0,0.0,-1.0
200584000,2019,1293.0,2017.0,3.0,2017.0,0.0,-1.0
200585000,2018,1293.0,2016.0,3.0,2016.0,-21.0,-1.0
200585000,2019,1442.0,2017.0,3.0,2017.0,128.0,-1.0
200833000,2018,1698.0,2015.0,3.0,2015.0,-12.0,-2.0
200857000,2018,2171.0,2013.0,3.0,2013.0,281.0,-3.0
200897000,2022,1464.75,2018.0,2.0,2018.0,-0.25,-1.0
201005000,2022,1712.0,2020.0,3.0,2020.0,0.0,-1.0
201008000,2018,2074.0,2015.0,4.0,2015.0,60.0,-2.0
201192000,2019,2372.0,2017.0,4.0,2017.0,-18.0,-3.0
201196000,2018,3012.0,2015.0,3.0,2015.0,0.0,-2.0
201196000,2020,3012.0,2018.0,3.0,2018.0,0.0,-2.0
201310000,2020,1076.0,2018.0,2.0,2018.0,0.0,-1.0
201494000,2018,952.0,2013.0,2.0,2013.0,0.0,-1.0
201666000,2019,3974.0,2017.0,5.0,2017.0,280.0,-1.0
201738000,2023,1016.8,2021.0,3.0,2021.0,-0.20000000000004547,-1.0
201760000,2012,702.0,2010.0,2.0,2010.0,0.0,-1.0
202509000,2020,1719.0,2017.0,3.0,2017.0,103.0,-2.0
202998000,2018,2136.0,2012.0,3.0,2012.0,0.0,-3.0
203052000,2013,1896.0,1980.0,3.0,2017.0,-189.0,-2.0
203123000,2011,2127.0,2009.0,3.0,2009.0,0.0,-1.0
203171000,2019,2347.0,2017.0,3.0,2017.0,22.0,-1.0
203192000,2020,2202.0,2007.0,3.0,2021.0,-348.0,-1.0
203206000,2020,4068.0,2018.0,5.0,2018.0,735.0,-1.0
203255000,2009,1050.0,2004.0,2.0,2010.0,-448.0,-1.0
203258000,2023,3948.0,2021.0,4.0,2021.0,-120.0,-1.0
203379000,2018,1755.0,2014.0,4.0,2014.0,-30.0,-1.0
203661000,2022,2289.0,2020.0,3.0,2020.0,294.0,-2.0
203685002,2020,2896.0,2018.0,4.0,2018.0,186.0,-1.0
203759000,2018,3099.0,2012.0,4.0,2012.0,480.0,-2.0
203879000,2023,6014.65,2021.0,5.0,2021.0,3367.6499999999996,-1.0
300002000,2018,2316.0,2014.0,4.0,2014.0,217.0,-1.0
300112000,2018,2418.0,2015.0,4.0,2015.0,0.0,-2.0
300119000,2022,3464.6,2019.0,4.0,2019.0,-0.40000000000009095,-1.0
300224000,2018,1985.0,2012.0,3.0,2012.0,88.0,-1.0
302004000,2013,2949.0,2001.0,3.0,2018.0,0.0,-1.0
302509000,2013,1220.0,1974.0,2.0,2018.0,-474.0,-2.0
305932000,2022,2615.65,2019.0,4.0,2019.0,-0.34999999999990905,-1.0
305968000,2018,1988.0,2016.0,3.0,2016.0,-196.0,-1.0
305968000,2019,1988.0,2017.0,3.0,2017.0,-196.0,-1.0
305968000,2020,1988.0,2018.0,3.0,2018.0,-196.0,-1.0
305974000,2018,2203.0,2010.0,3.0,2010.0,40.0,-1.0
306021000,2022,2035.75,2020.0,3.0,2020.0,16.75,-1.0
306932000,2012,4224.0,2010.0,5.0,2010.0,-60.0,-2.0
306942000,2023,4705.95,2021.0,4.0,2021.0,-0.0500000000001819,-3.0
306949000,2023,4360.65,2021.0,3.0,2021.0,-0.3500000000003638,-1.0
400136000,2013,2612.0,2011.0,3.0,2011.0,33.0,-1.0
400188000,2012,3288.0,2010.0,3.0,2013.0,-25.0,-1.0
400265000,2013,2702.0,2011.0,3.0,2011.0,34.0,-1.0
400269000,2018,3370.0,2015.0,3.0,2015.0,75.0,-1.0
400269000,2019,3370.0,2017.0,3.0,2017.0,75.0,-1.0
400280000,2020,2475.0,2018.0,4.0,2018.0,-1.0,-1.0
400297000,2018,3899.0,2016.0,4.0,2016.0,0.0,-1.0
400298000,2013,3899.0,1996.0,3.0,2018.0,0.0,-1.0
400299000,2012,3870.0,2010.0,3.0,2010.0,-242.0,-2.0
400362000,2022,2265.1,2010.0,4.0,2010.0,-28.90000000000009,-1.0
400435000,2012,4012.0,1983.0,4.0,2013.0,40.0,-1.0
400435000,2019,3881.0,2017.0,4.0,2017.0,-91.0,-1.0
400435000,2020,3881.0,2018.0,4.0,2018.0,-91.0,-1.0
400461000,2010,2985.0,1990.0,3.0,2011.0,0.0,-1.0
400495000,2018,2658.0,2016.0,4.0,2016.0,-1.0,-1.0
400523000,2013,3684.0,2009.0,4.0,2014.0,29.0,-1.0
400538000,2018,2820.0,2012.0,5.0,2012.0,-260.0,-1.0
400538000,2019,2820.0,2017.0,5.0,2017.0,-222.0,-1.0
400740000,2018,4754.0,2013.0,5.0,2013.0,413.0,-4.0
400885000,2018,3668.0,2016.0,4.0,2016.0,-129.0,-1.0
400885000,2019,3668.0,2017.0,4.0,2017.0,-129.0,-1.0
401685000,2022,2944.0,2018.0,3.0,2018.0,0.0,-1.0
402391000,2020,5194.0,2018.0,3.0,2018.0,-921.0,-1.0
402404000,2020,3893.0,2018.0,3.0,2018.0,-1536.0,-4.0
402448000,2011,4126.0,1985.0,5.0,2012.0,-216.0,-1.0
402513000,2012,2922.0,2010.0,4.0,2010.0,0.0,-1.0
402540000,2018,2711.0,2013.0,2.0,2013.0,-214.0,-1.0
402541000,2020,2896.0,2018.0,2.0,2018.0,0.0,-4.0
402551000,2018,2552.0,2016.0,3.0,2016.0,-46.0,-1.0
402552000,2013,1938.0,1968.0,2.0,2018.0,-456.0,-2.0
402714000,2018,3944.0,2014.0,3.0,2014.0,193.0,-1.0
402716000,2012,4127.0,2010.0,4.0,2010.0,-81.0,-2.0
402740000,2013,3715.0,1987.0,4.0,2018.0,-246.0,-2.0
402782000,2012,3225.0,2010.0,3.0,2010.0,-14.0,-1.0
402812000,2020,2648.0,2018.0,3.0,2018.0,-65.0,-1.0
402830000,2013,2902.0,2004.0,3.0,2017.0,100.0,-1.0
402850000,2023,4172.1,2021.0,4.0,2021.0,0.1000000000003638,-2.0
402859000,2019,5144.0,2017.0,3.0,2017.0,125.0,-3.0
500216000,2013,2356.0,2004.0,3.0,2018.0,103.0,-1.0
