HEAT_TYPE,AC_TYPE,FIREPLACES,NUM_PARKING,PROP_VIEW
W - Ht Water/Steam,N - None,0.0,3.0,A - Average
F - Forced Hot Air,C - Central AC,0.0,0.0,A - Average
S - Space Heat,N - None,0.0,0.0,A - Average
W - Ht Water/Steam,N - None,0.0,0.0,A - Average
W - Ht Water/Steam,N - None,0.0,0.0,A - Average
E - Electric,N - None,0.0,0.0,A - Average
W - Ht Water/Steam,N - None,0.0,0.0,A - Average
W - Ht Water/Steam,N - None,0.0,0.0,A - Average
W - Ht Water/Steam,N - None,0.0,0.0,A - Average
W - Ht Water/Steam,C - Central AC,0.0,0.0,A - Average
,,,,
F - Forced Hot Air,C - Central AC,0.0,0.0,A - Average
W - Ht Water/Steam,N - None,0.0,0.0,A - Average
W - Ht Water/Steam,N - None,0.0,0.0,A - Average
W - Ht Water/Steam,N - None,0.0,0.0,A - Average
W - Ht Water/Steam,N - None,0.0,0.0,A - Average
,,,,
W - Ht Water/Steam,N - None,0.0,10.0,A - Average
W - Ht Water/Steam,N - None,0.0,0.0,A - Average
F - Forced Hot Air,C - Central AC,,,A - Average
F - Forced Hot Air,C - Central AC,1.0,0.0,A - Average
F - Forced Hot Air,C - Central AC,1.0,0.0,A - Average
F - Forced Hot Air,C - Central AC,1.0,0.0,A - Average
F - Forced Hot Air,C - Central AC,1.0,0.0,A - Average
F - Forced Hot Air,C - Central AC,,,A - Average
F - Forced Hot Air,C - Central AC,0.0,0.0,A - Average
F - Forced Hot Air,C - Central AC,0.0,0.0,A - Average
F - Forced Hot Air,C - Central AC,0.0,0.0,A - Average
W - Ht Water/Steam,N - None,0.0,0.0,A - Average
W - Ht Water/Steam,N - None,0.0,0.0,F - Fair
W - Ht Water/Steam,N - None,0.0,0.0,A - Average
E - Electric,N - None,0.0,0.0,A - Average
W - Ht Water/Steam,N - None,,,A - Average
,,,,
F - Forced Hot Air,C - Central AC,0.0,0.0,A - Average
,,,,
F - Forced Hot Air,C - Central AC,0.0,0.0,A - Average
F - Forced Hot Air,C - Central AC,0.0,0.0,A - Average
W - Ht Water/Steam,N - None,0.0,2.0,A - Average
W - Ht Water/Steam,N - None,0.0,0.0,A - Average
W - Ht Water/Steam,N - None,0.0,0.0,A - Average
,,,,
W - Ht Water/Steam,N - None,0.0,1.0,A - Average
E - Electric,N - None,0.0,0.0,A - Average
F - Forced Hot Air,N - None,0.0,0.0,A - Average
W - Ht Water/Steam,N - None,0.0,0.0,A - Average
W - Ht Water/Steam,N - None,0.0,0.0,A - Average
W - Ht Water/Steam,N - None,0.0,0.0,A - Average
W - Ht Water/Steam,N - None,0.0,0.0,A - Average
W - Ht Water/Steam,N - None,0.0,0.0,A - Average
W - Ht Water/Steam,N - None,0.0,0.0,A - Average
W - Ht Water/Steam,N - None,0.0,0.0,A - Average
F - Forced Hot Air,N - None,0.0,3.0,A - Average
,,,,
W - Ht Water/Steam,N - None,0.0,2.0,A - Average
,,,,
,,,,
F - Forced Hot Air,C - Central AC,0.0,0.0,A - Average
F - Forced Hot Air,C - Central AC,0.0,0.0,A - Average
F - Forced Hot Air,C - Central AC,0.0,0.0,A - Average
,,,,
F - Forced Hot Air,C - Central AC,0.0,0.0,G - Good
W - Ht Water/Steam,N - None,0.0,0.0,A - Average
W - Ht Water/Steam,N - None,0.0,0.0,A - Average
