ROOF_COVER,INT_WALL,EXT_FNISHED,INT_COND,EXT_COND,OVERALL_COND,BED_RMS,FULL_BTH,HLF_BTH,KITCHENS
C - Composition,N - Normal,A - Asbestos,A - Average,F - Fair,A - Average,6.0,3.0,0.0,3.0
C - Composition,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,3.0,3.0,0.0,3.0
C - Composition,N - Normal,M - Vinyl,A - Average,G - Good,A - Average,5.0,3.0,0.0,3.0
C - Composition,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,5.0,3.0,0.0,3.0
C - Composition,N - Normal,M - Vinyl,A - Average,F - Fair,A - Average,6.0,3.0,0.0,2.0
R - Rubber Roof,N - Normal,A - Asbestos,G - Good,A - Average,A - Average,13.0,6.0,0.0,3.0
R - Rubber Roof,N - Normal,A - Asbestos,A - Average,A - Average,A - Average,14.0,5.0,0.0,3.0
C - Composition,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,11.0,3.0,0.0,3.0
R - Rubber Roof,N - Normal,A - Asbestos,A - Average,A - Average,A - Average,5.0,3.0,0.0,3.0
R - Rubber Roof,N - Normal,C - Cement Board,G - Good,G - Good,G - Good,6.0,3.0,0.0,3.0
,,12 - Conc Block,,,G - Good,,0.0,0.0,0.0
R - Rubber Roof,N - Normal,A - Asbestos,G - Good,A - Average,G - Good,5.0,3.0,0.0,2.0
C - Composition,N - Normal,P - Asphalt,A - Average,A - Average,A - Average,6.0,3.0,0.0,3.0
C - Composition,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,5.0,3.0,0.0,3.0
R - Rubber Roof,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,8.0,3.0,1.0,3.0
S - Slate,N - Normal,A - Asbestos,A - Average,A - Average,A - Average,6.0,3.0,0.0,3.0
,,09 - Wood Siding,,,A - Average,,0.0,0.0,0.0
A - Asphalt Shingl,N - Normal,A - Asbestos,A - Average,F - Fair,A - Average,5.0,2.0,0.0,2.0
C - Composition,N - Normal,A - Asbestos,A - Average,A - Average,A - Average,3.0,3.0,0.0,3.0
R - Rubber Roof,,F - Frame/Clapbrd,,G - Good,G - Good,,,,
R - Rubber Roof,N - Normal,F - Frame/Clapbrd,G - Good,G - Good,A - Average,3.0,2.0,0.0,1.0
R - Rubber Roof,N - Normal,F - Frame/Clapbrd,G - Good,G - Good,A - Average,3.0,2.0,0.0,1.0
R - Rubber Roof,N - Normal,F - Frame/Clapbrd,G - Good,G - Good,A - Average,3.0,2.0,0.0,1.0
R - Rubber Roof,N - Normal,F - Frame/Clapbrd,G - Good,G - Good,A - Average,2.0,2.0,0.0,1.0
A - Asphalt Shingl,,M - Vinyl,,G - Good,G - Good,,,,
A - Asphalt Shingl,N - Normal,M - Vinyl,G - Good,G - Good,G - Good,3.0,3.0,0.0,1.0
A - Asphalt Shingl,N - Normal,M - Vinyl,G - Good,G - Good,G - Good,3.0,2.0,0.0,1.0
A - Asphalt Shingl,N - Normal,M - Vinyl,G - Good,G - Good,G - Good,2.0,2.0,0.0,1.0
C - Composition,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,9.0,3.0,0.0,3.0
C - Composition,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,3.0,1.0,0.0,1.0
C - Composition,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,6.0,3.0,0.0,3.0
C - Composition,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,9.0,3.0,0.0,3.0
R - Rubber Roof,,C - Cement Board,,E - Excellent,A - Average,,,,
,,,,,A - Average,,0.0,0.0,0.0
R - Rubber Roof,N - Normal,C - Cement Board,G - Good,E - Excellent,A - Average,2.0,1.0,0.0,1.0
,,09 - Wood Siding,,,A - Average,,0.0,0.0,0.0
R - Rubber Roof,N - Normal,C - Cement Board,G - Good,E - Excellent,A - Average,2.0,2.0,0.0,1.0
R - Rubber Roof,N - Normal,C - Cement Board,G - Good,E - Excellent,A - Average,2.0,2.0,0.0,1.0
R - Rubber Roof,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,5.0,3.0,0.0,3.0
C - Composition,N - Normal,P - Asphalt,A - Average,A - Average,A - Average,4.0,2.0,0.0,2.0
R - Rubber Roof,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,4.0,1.0,1.0,1.0
,,01 - Brick,,,G - Good,,0.0,0.0,0.0
C - Composition,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,8.0,3.0,0.0,2.0
R - Rubber Roof,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,9.0,3.0,0.0,3.0
R - Rubber Roof,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,9.0,4.0,0.0,4.0
C - Composition,N - Normal,W - Wood Shake,A - Average,F - Fair,A - Average,8.0,3.0,0.0,3.0
A - Asphalt Shingl,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,4.0,3.0,0.0,2.0
A - Asphalt Shingl,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,4.0,1.0,1.0,1.0
A - Asphalt Shingl,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,4.0,2.0,0.0,2.0
R - Rubber Roof,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,5.0,3.0,0.0,3.0
C - Composition,N - Normal,M - Vinyl,G - Good,G - Good,G - Good,3.0,3.0,0.0,4.0
R - Rubber Roof,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,5.0,3.0,0.0,3.0
A - Asphalt Shingl,N - Normal,M - Vinyl,G - Good,A - Average,A - Average,4.0,3.0,0.0,3.0
,,10 - Alum/Vinyl,,,G - Good,,0.0,0.0,0.0
O - Other,N - Normal,U - Alum Siding,G - Good,A - Average,A - Average,3.0,3.0,0.0,3.0
,,10 - Alum/Vinyl,,,A - Average,,0.0,0.0,0.0
R - Rubber Roof,,C - Cement Board,,E - Excellent,G - Good,,,,
R - Rubber Roof,N - Normal,C - Cement Board,E - Excellent,E - Excellent,G - Good,2.0,2.0,0.0,1.0
R - Rubber Roof,N - Normal,C - Cement Board,E - Excellent,E - Excellent,G - Good,2.0,2.0,0.0,1.0
R - Rubber Roof,N - Normal,C - Cement Board,E - Excellent,E - Excellent,G - Good,3.0,2.0,0.0,1.0
,,,,,A - Average,,0.0,0.0,0.0
R - Rubber Roof,N - Normal,C - Cement Board,E - Excellent,E - Excellent,G - Good,3.0,2.0,0.0,1.0
A - Asphalt Shingl,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,5.0,2.0,0.0,2.0
C - Composition,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,4.0,3.0,0.0,3.0
C - Composition,N - Normal,A - Asbestos,A - Average,A - Average,A - Average,5.0,3.0,0.0,3.0
R - Rubber Roof,N - Normal,M - Vinyl,A - Average,G - Good,A - Average,7.0,3.0,1.0,3.0
R - Rubber Roof,,M - Vinyl,,G - Good,G - Good,,,,
R - Rubber Roof,N - Normal,M - Vinyl,A - Average,G - Good,G - Good,6.0,2.0,0.0,1.0
R - Rubber Roof,N - Normal,M - Vinyl,G - Good,G - Good,G - Good,3.0,2.0,0.0,1.0
C - Composition,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,9.0,3.0,0.0,3.0
,,01 - Brick,,,G - Good,,0.0,0.0,0.0
R - Rubber Roof,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,3.0,3.0,0.0,3.0
R - Rubber Roof,N - Normal,F - Frame/Clapbrd,G - Good,A - Average,G - Good,6.0,3.0,0.0,3.0
R - Rubber Roof,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,5.0,3.0,0.0,3.0
,,10 - Alum/Vinyl,,,A - Average,,0.0,0.0,0.0
R - Rubber Roof,N - Normal,A - Asbestos,G - Good,G - Good,G - Good,3.0,1.0,1.0,1.0
R - Rubber Roof,N - Normal,U - Alum Siding,G - Good,A - Average,G - Good,4.0,3.0,0.0,1.0
R - Rubber Roof,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,5.0,3.0,0.0,3.0
C - Composition,N - Normal,P - Asphalt,A - Average,F - Fair,A - Average,3.0,3.0,0.0,3.0
R - Rubber Roof,N - Normal,B - Brick/Stone,A - Average,G - Good,G - Good,9.0,3.0,0.0,3.0
R - Rubber Roof,N - Normal,B - Brick/Stone,G - Good,A - Average,A - Average,11.0,3.0,0.0,3.0
C - Composition,N - Normal,M - Vinyl,G - Good,A - Average,A - Average,4.0,2.0,0.0,2.0
C - Composition,N - Normal,W - Wood Shake,A - Average,F - Fair,A - Average,4.0,2.0,0.0,2.0
,,10 - Alum/Vinyl,,,A - Average,,0.0,0.0,0.0
C - Composition,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,3.0,2.0,0.0,2.0
C - Composition,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,6.0,4.0,0.0,3.0
C - Composition,N - Normal,P - Asphalt,A - Average,F - Fair,A - Average,6.0,3.0,0.0,3.0
C - Composition,N - Normal,P - Asphalt,A - Average,A - Average,A - Average,10.0,3.0,0.0,3.0
R - Rubber Roof,N - Normal,C - Cement Board,A - Average,G - Good,G - Good,6.0,3.0,0.0,3.0
A - Asphalt Shingl,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,5.0,2.0,0.0,2.0
,,09 - Wood Siding,,,A - Average,,0.0,0.0,0.0
C - Composition,N - Normal,M - Vinyl,G - Good,A - Average,A - Average,6.0,3.0,0.0,3.0
C - Composition,N - Normal,P - Asphalt,A - Average,A - Average,A - Average,6.0,3.0,0.0,3.0
C - Composition,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,6.0,2.0,0.0,3.0
C - Composition,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,6.0,2.0,1.0,2.0
C - Composition,N - Normal,M - Vinyl,G - Good,A - Average,A - Average,9.0,3.0,0.0,2.0
,,01 - Brick,,,A - Average,,0.0,0.0,0.0
C - Composition,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,9.0,3.0,0.0,3.0
A - Asphalt Shingl,N - Normal,M - Vinyl,A - Average,G - Good,A - Average,3.0,2.0,1.0,2.0
R - Rubber Roof,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,11.0,4.0,0.0,3.0
R - Rubber Roof,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,6.0,3.0,0.0,3.0
,,09 - Wood Siding,,,G - Good,,0.0,0.0,0.0
,,01 - Brick,,,G - Good,,0.0,0.0,0.0
,,,,,A - Average,,0.0,0.0,0.0
,,01 - Brick,,,A - Average,,0.0,0.0,0.0
,,10 - Alum/Vinyl,,,A - Average,,0.0,0.0,0.0
,,09 - Wood Siding,,,A - Average,,0.0,0.0,0.0
,,01 - Brick,,,G - Good,,0.0,0.0,0.0
,,01 - Brick,,,A - Average,,0.0,0.0,0.0
,,01 - Brick,,,A - Average,,0.0,0.0,0.0
,,01 - Brick,,,A - Average,,0.0,0.0,0.0
