RES_FLOOR,LAND_SF,GROSS_AREA,LIVING_AREA,LAND_VALUE
3.0,1150.0,3353.0,2202.0,197600
3.0,1150.0,3047.0,2307.0,198500
3.0,1150.0,3392.0,2268.0,199100
3.0,1150.0,3108.0,2028.0,199700
3.0,2010.0,3700.0,2546.0,230200
3.0,2500.0,6278.0,4362.0,263800
3.0,2500.0,6432.0,4296.0,264700
3.0,2500.0,6048.0,4080.0,265300
3.0,2500.0,4339.0,2937.0,265900
3.0,2500.0,4659.0,3241.0,226700
,1250.0,3750.0,2500.0,190400
3.0,2500.0,4734.0,3402.0,253400
3.0,2500.0,4575.0,3193.0,267800
3.0,2500.0,4403.0,3033.0,268400
3.0,2500.0,5081.0,3642.0,268800
2.0,2500.0,3592.0,2332.0,255100
,1175.0,3580.0,2694.0,80600
2.0,5000.0,4617.0,3057.0,344100
3.0,2500.0,4146.0,2883.0,269300
3.0,2500.0,,,0
1.0,1525.0,1525.0,1525.0,0
1.0,1391.0,1391.0,1391.0,0
1.0,1390.0,1390.0,1390.0,0
1.0,1374.0,1374.0,1374.0,0
3.0,2500.0,,,0
2.0,2551.0,2551.0,2551.0,0
1.0,1218.0,1218.0,1218.0,0
1.0,1237.0,1237.0,1237.0,0
3.0,2500.0,5139.0,3807.0,267400
2.0,1238.0,1836.0,1122.0,165100
3.0,2250.0,3777.0,3405.0,256300
3.0,1838.0,3972.0,2580.0,243900
3.0,1835.0,,,0
,2943.0,,,103000
1.0,791.0,791.0,791.0,0
,2215.0,5850.0,4530.0,130900
1.0,876.0,876.0,876.0,0
1.0,1017.0,1017.0,1017.0,0
3.0,1575.0,4623.0,3327.0,201600
2.0,1263.0,2382.0,1580.0,197500
2.0,1650.0,3076.0,1968.0,182800
,1650.0,6480.0,4860.0,142200
2.0,1650.0,3618.0,3275.3,215700
3.0,1700.0,4717.0,4475.0,231900
3.0,2500.0,4637.0,3455.0,265100
3.0,2500.0,5765.0,4287.0,265800
2.0,2500.0,3111.0,1966.0,252900
1.5,2500.0,2079.0,1110.6,213800
2.5,2500.0,3346.0,1973.6,253300
3.0,2500.0,3850.0,2806.0,267500
3.0,2500.0,3468.0,2875.45,313500
3.0,2500.0,5851.0,4347.0,266800
3.0,2812.0,4614.0,2981.0,282700
,1813.0,5008.0,3712.0,152900
3.0,1779.0,3968.0,2981.0,241800
3.0,5000.0,6004.0,4496.0,332200
4.0,2500.0,,,0
1.0,1118.0,1118.0,1118.0,0
1.0,1304.0,1304.0,1304.0,0
1.0,1304.0,1304.0,1304.0,0
,1500.0,,,67500
1.0,1357.0,1357.0,1357.0,0
2.0,2500.0,3781.0,2626.0,253900
3.0,2500.0,4304.0,2660.0,267100
3.0,2500.0,3910.0,2660.0,266400
3.0,2400.0,4526.0,3370.0,260700
3.0,2600.0,,,0
2.0,1502.0,1502.0,1502.0,0
2.0,1436.0,1436.0,1436.0,0
3.0,2233.0,3214.0,2154.0,253200
,1130.0,1938.0,969.0,78200
3.0,1066.0,2948.0,2019.0,196400
3.0,1066.0,3056.0,2019.0,196000
3.0,1013.0,3214.0,2801.0,181300
3.0,1077.0,2934.0,2196.0,170000
2.0,1618.0,2476.0,1648.0,180400
2.0,1864.0,2730.0,1816.0,193200
3.0,1640.0,2964.0,2190.0,225300
3.0,1640.0,2972.0,2088.0,224900
3.0,1865.0,5552.0,3651.0,227800
3.0,1865.0,5372.0,3651.0,230000
2.0,1175.0,2779.0,1701.0,182300
2.0,1175.0,2779.0,1624.0,183800
,1325.0,4232.0,3203.0,154700
2.0,1325.0,3156.0,1936.0,196800
3.0,2500.0,3661.0,2532.0,253600
3.0,2500.0,4010.0,2796.0,252900
3.0,2500.0,4636.0,3213.0,252300
3.0,2500.0,4235.0,3185.0,252100
2.0,4659.0,4238.0,2749.05,311800
,2069.0,4232.0,3174.0,169100
3.0,2000.0,5241.0,3672.0,233700
3.0,2000.0,4934.0,3351.0,233700
2.0,3125.0,4543.0,2817.0,267300
2.0,3125.0,4543.0,2817.0,268000
2.0,3125.0,4128.0,2744.0,268400
,1885.0,4800.0,3200.0,157600
3.0,2907.0,6010.0,4246.0,273400
2.5,1657.0,4821.0,2478.1,209700
3.0,1505.0,4540.0,3076.0,212900
3.0,1520.0,4831.0,3306.0,213700
,2191.0,6228.0,4698.0,123952
,5437.0,2031.0,1700.0,260100
,961.0,,,33600
,811.0,1496.0,748.0,33100
,1316.0,2026.0,2026.0,60700
,1489.0,3952.0,2972.0,96600
,958.0,1776.0,888.0,68900
,7413.0,13406.0,13406.0,577300
,4151.0,5904.0,2952.0,115400
,2234.0,3024.0,2016.0,91000
,1092.0,3168.0,2112.0,52600
,1197.0,4512.0,3336.0,184300
,1410.0,3479.0,3479.0,162200
3.0,2467.0,4272.0,3204.0,259000
,6700.0,7304.0,5247.0,210800
2.0,3300.0,2994.0,1899.0,277400
3.0,2933.0,5289.0,3873.0,279100
3.0,3067.0,4238.0,3978.4,285600
3.0,4000.0,7428.0,4350.0,330500
3.0,2500.0,4319.0,3057.0,243800
3.0,2500.0,4958.0,3308.0,256600
3.0,5000.0,4544.0,3402.0,346700
3.0,2500.0,5000.0,3348.0,257100
,803.0,,,19000
3.0,2500.0,5200.0,3504.0,257300
3.0,2522.0,5310.0,3636.0,258100
3.0,2478.0,,,0
1.0,852.0,852.0,852.0,0
1.0,858.0,858.0,858.0,0
1.0,1000.0,1000.0,1000.0,0
3.0,1431.0,2591.0,1860.0,198400
3.0,1431.0,2852.0,1860.0,209400
3.0,1431.0,3506.0,2295.0,209600
2.0,1457.0,2384.0,1520.0,200100
2.0,1070.0,2037.0,1218.0,213000
,803.0,,,19200
2.0,1606.0,2781.0,1798.0,174800
,14125.0,18144.0,18144.0,643700
,3355.0,2256.0,2256.0,124200
,1224.0,1632.0,1632.0,83100
,2201.0,3888.0,2988.0,130200
3.0,3622.0,4481.0,3192.0,304400
3.0,3091.0,5092.0,3816.0,287100
,1500.0,,,67500
3.0,2500.0,3984.0,2916.0,259400
3.0,2500.0,4372.0,3253.0,259400
3.0,2500.0,5200.0,3900.0,259200
3.0,2500.0,5912.0,4074.0,259300
3.0,4453.0,6295.0,4458.0,327300
3.0,2500.0,,,0
3.0,3334.0,5800.0,3936.0,293200
,3333.0,,,79800
3.0,2500.0,5360.0,3540.0,258200
3.0,2500.0,5415.0,3810.0,257500
3.0,2500.0,4354.0,3063.0,257600
3.0,2500.0,3501.0,2205.0,257600
,1506.0,,,67800
3.0,2500.0,5028.0,3474.0,258100
2.0,1250.0,1806.0,1197.0,162700
,1375.0,2500.0,2500.0,90900
1.5,1250.0,2354.0,1865.2,191500
2.0,2500.0,2934.0,2562.0,306500
3.0,2400.0,5308.0,3816.0,252700
,10606.0,,,240000
1.0,1023.0,1023.0,1023.0,0
1.0,1016.0,1016.0,1016.0,0
1.0,1121.0,1121.0,1121.0,0
3.0,2500.0,5264.0,3552.0,258300
3.0,2500.0,5264.0,3552.0,259000
3.0,1900.0,,,0
3.0,2500.0,5032.0,3396.0,259400
3.0,1653.0,,,0
1.0,606.0,606.0,606.0,0
1.0,654.0,654.0,654.0,0
1.0,723.0,723.0,723.0,0
3.0,1410.0,3580.0,3580.0,126100
,5180.0,5448.0,4468.0,136700
3.0,1410.0,3604.0,2703.0,211500
3.0,1410.0,2943.0,2202.0,210500
3.0,5000.0,6615.0,4671.0,351100
2.0,5000.0,5440.0,3033.6,352100
3.0,5000.0,8888.0,6684.0,427100
3.0,2150.0,4769.0,4455.0,401300
,4240.0,,,402176
1.0,460.0,460.0,460.0,0
1.0,560.0,560.0,560.0,0
1.0,630.0,630.0,630.0,0
1.0,720.0,720.0,720.0,0
3.0,1900.0,,,0
1.0,346.0,346.0,346.0,0
1.0,476.0,476.0,476.0,0
1.0,573.0,573.0,573.0,0
1.0,620.0,620.0,620.0,0
3.0,1900.0,,,0
1.0,527.0,527.0,527.0,0
1.0,603.0,603.0,603.0,0
,2857.0,,,52000
1.0,647.0,647.0,647.0,0
3.0,2150.0,3637.0,2322.0,239200
3.0,2500.0,5173.0,3152.0,251000
3.0,2500.0,5187.0,3870.0,249600
3.0,2522.0,3388.0,2541.0,249600
3.0,2500.0,,,0
3.0,2477.0,3388.0,2541.0,246100
3.0,2500.0,3486.0,2611.0,246000
3.0,2500.0,3486.0,2611.0,244500
2.0,2500.0,2466.0,1499.0,116451
2.5,2500.0,1848.0,1255.2,194000
,2500.0,4712.0,2356.0,99200
2.5,2500.0,3246.0,2150.0,228900
3.0,2500.0,4452.0,3486.0,241000
3.0,2500.0,4088.0,2871.0,241000
3.0,2500.0,3856.0,2709.0,241300
3.0,3000.0,4581.0,3105.0,264000
3.0,3000.0,4518.0,3105.0,265200
1.5,3000.0,2688.0,1414.4,213200
2.0,1718.0,2212.0,1190.4,174200
3.0,1782.0,4245.0,3665.35,220500
3.0,1825.0,4341.0,2925.0,223800
3.0,1825.0,,,0
1.0,819.0,819.0,819.0,0
,,,,0
1.0,812.0,812.0,812.0,0
1.0,812.0,812.0,812.0,0
3.0,1825.0,4326.0,2982.0,225500
3.0,2087.0,,,0
1.0,918.0,918.0,918.0,0
1.0,925.0,925.0,925.0,0
,1488.0,,,27100
1.0,1051.0,1051.0,1051.0,0
2.0,4474.0,6660.0,6660.0,305200
3.0,2703.0,3130.0,2059.0,260700
3.0,1528.0,3080.0,2134.0,212100
,1232.0,,,17100
2.0,995.0,1980.0,1320.0,137800
,1250.0,2150.0,1000.0,46100
3.0,2500.0,4024.0,2856.0,251700
3.0,2500.0,,,0
2.0,1325.0,1325.0,1325.0,0
1.0,809.0,809.0,809.0,0
1.0,916.0,916.0,916.0,0
3.0,2500.0,3872.0,2904.0,250100
3.0,2500.0,3696.0,2772.0,249400
3.0,2478.0,3868.0,2964.0,247400
3.0,2479.0,3392.0,2589.0,246800
3.0,5000.0,,,0
3.0,2148.0,2148.0,1638.0,0
3.0,2148.0,2148.0,1638.0,0
2.0,1983.0,2237.0,1356.0,181700
2.0,1500.0,2345.0,1530.0,164900
2.0,1517.0,1920.0,1184.0,115900
3.0,2500.0,2436.0,1839.0,99400
3.0,1161.0,4122.0,2994.0,139700
3.0,2500.0,3128.0,2730.0,99700
,686.0,,,4900
1.0,802.0,802.0,802.0,0
1.0,802.0,802.0,802.0,0
1.0,660.0,660.0,660.0,0
3.0,2500.0,3404.0,2482.0,237900
2.0,2500.0,,,0
1.0,1025.0,1025.0,1025.0,0
,945.0,,,10100
1.0,654.0,654.0,654.0,0
1.5,1407.0,2386.0,1623.0,195700
1.5,1093.0,1209.0,670.0,152100
3.0,2500.0,,,0
1.0,977.0,977.0,977.0,0
1.0,974.0,974.0,974.0,0
,1875.0,3080.0,2310.0,115200
1.0,1120.0,1120.0,1120.0,0
3.0,2250.0,4948.0,3711.0,245400
3.0,2475.0,4716.0,3537.0,255200
3.0,2475.0,4894.0,3681.0,256100
3.0,2500.0,5418.0,3909.0,258200
,1827.0,3528.0,2646.0,112900
3.0,2500.0,4532.0,3399.0,259200
3.0,1250.0,3852.0,2992.6,205600
3.0,1180.0,4552.0,3078.0,202100
3.0,1320.0,4121.0,2788.0,214400
3.0,3050.0,5862.0,4077.0,291100
2.0,972.0,1863.0,1242.0,135000
3.0,1621.0,4702.0,3500.0,229900
3.0,1729.0,4606.0,3108.0,237000
2.5,1799.0,4620.0,3113.1,240800
2.5,1799.0,3670.0,2557.0,227500
2.0,5000.0,4841.0,3819.8,335400
,1152.0,4180.0,3135.0,108000
2.0,2500.0,3112.0,2032.0,247400
1.5,2500.0,2460.0,1340.0,207800
3.0,10000.0,,,0
1.0,1224.0,1224.0,1224.0,0
1.0,1286.0,1286.0,1286.0,0
1.0,1224.0,1224.0,1224.0,0
1.0,1286.0,1286.0,1286.0,0
3.0,3445.0,5076.0,3402.0,288700
3.0,2875.0,4980.0,3381.0,265600
3.0,2445.0,3961.0,2790.0,244100
