RES_FLOOR,LAND_SF,GROSS_AREA,LIVING_AREA,LAND_VALUE
2.0,1064.0,2308.0,1572.0,145600
,1508.0,5108.0,3843.0,170700
2.0,1438.0,1863.0,1242.0,159500
2.0,1307.0,2023.0,1242.0,156200
2.0,1216.0,1768.0,992.0,148200
2.0,1254.0,1773.0,1182.0,150900
2.0,1160.0,1773.0,1602.85,183300
2.0,1175.0,1782.0,1188.0,145100
2.0,969.0,1752.0,1722.8,160700
2.0,860.0,1863.0,1242.0,128900
2.0,845.0,1742.0,1467.95,129800
2.0,1330.0,1866.0,1244.0,155700
2.0,827.0,2002.0,1228.0,129000
2.0,903.0,1863.0,1242.0,129400
2.0,1280.0,1942.0,1168.0,150800
2.0,1228.0,1754.0,1514.05,147100
2.0,1278.0,2042.0,1228.0,151700
2.0,1386.0,1668.0,1508.15,155700
3.0,2425.0,4539.0,3231.0,237800
3.0,2425.0,4623.0,3231.0,239600
3.0,2575.0,4457.0,3231.0,247400
3.0,2575.0,4224.0,3168.0,257100
3.0,2500.0,3812.0,2464.0,248200
3.0,2200.0,2928.0,2208.0,225500
2.0,2800.0,4368.0,2926.0,251300
3.0,2500.0,4491.0,3264.0,254200
2.0,5000.0,2922.0,2065.0,277400
3.0,2500.0,,,0
1.0,633.0,633.0,633.0,0
1.0,648.0,648.0,648.0,0
1.0,612.0,612.0,612.0,0
1.5,2500.0,1350.0,765.0,208300
,975.0,,,26800
2.0,2500.0,2418.0,1284.0,209000
2.5,2500.0,4423.0,3002.4,248700
3.0,1250.0,4244.0,3121.0,204800
3.0,1151.0,3120.0,2358.0,190300
3.0,2567.0,3696.0,2772.0,255000
3.0,2231.0,,,0
1.0,702.0,702.0,702.0,0
1.0,732.0,732.0,732.0,0
1.0,828.0,828.0,828.0,0
3.0,2384.0,3880.0,2640.0,249000
3.0,1416.0,3401.0,2299.0,207000
3.0,1913.0,3600.0,2700.0,234100
3.0,2119.0,3804.0,2853.0,240100
3.0,1618.0,3708.0,2722.0,218800
3.0,1349.0,2740.0,2040.0,206900
,2724.0,,,83600
,3276.0,,,96300
,1272.0,,,46700
,1064.0,,,40700
1.0,908.0,908.0,908.0,0
3.0,1288.0,2748.0,2061.0,205700
3.0,1288.0,2748.0,2061.0,205600
3.0,1782.0,3804.0,2853.0,232800
3.0,2067.0,,,0
1.0,791.0,791.0,791.0,0
1.0,799.0,799.0,799.0,0
2.5,5000.0,3768.0,2404.0,311700
,1900.0,,,45600
2.0,3100.0,4398.0,2772.0,269400
,1500.0,2500.0,2500.0,97100
3.0,1250.0,3872.0,2904.0,201200
3.0,1250.0,3520.0,2244.0,200800
,63023.0,,,972700
3.0,1250.0,3564.0,2376.0,200400
3.0,1250.0,3388.0,2244.0,198600
3.0,1250.0,2992.0,2992.0,115000
3.0,1250.0,3423.0,2142.0,196600
3.0,1250.0,,,0
1.0,616.0,616.0,616.0,0
,4666.0,,,79800
1.0,630.0,630.0,630.0,0
1.0,654.0,654.0,654.0,0
,1235.0,4311.0,3230.0,146500
,2800.0,2800.0,2800.0,108200
3.0,2200.0,3528.0,2457.0,247100
1.5,2500.0,1996.0,1160.0,207900
,3407.0,,,59600
2.0,1879.0,3188.0,2032.0,226700
1.5,1819.0,1888.0,924.8,174200
2.0,1500.0,3325.0,1872.0,204300
,1500.0,,,36100
,1599.0,3200.0,2400.0,70500
2.0,1781.0,3628.0,2234.4,143600
3.0,2476.0,4827.0,3276.0,258300
3.0,1985.0,4676.0,3399.0,237700
3.0,2241.0,6962.0,5184.0,248500
3.0,2117.0,5740.0,4314.0,244600
,2372.0,2629.0,1826.0,75200
3.0,2007.0,4280.0,2940.0,239000
3.0,2262.0,4316.0,2967.0,249400
3.0,2500.0,5094.0,3411.0,259700
,1307.0,4600.0,3680.0,197100
,1100.0,4945.0,3956.0,286500
3.0,1300.0,3772.0,2829.0,196300
3.0,1292.0,3772.0,2829.0,271800
,5070.0,4800.0,4800.0,246600
3.0,1250.0,4360.0,3261.0,202900
,147436.0,,,1284700
3.0,1875.0,3512.0,2173.0,223300
3.0,1875.0,3719.0,2501.0,224600
,3000.0,,,91200
4.0,1871.0,8581.0,3428.0,259400
2.0,1845.0,2133.0,1302.0,199200
,1746.0,1370.0,1370.0,59500
,1651.0,4080.0,3240.0,104500
3.0,1634.0,4956.0,3516.0,226800
,1736.0,2804.0,1864.0,59200
,2123.0,,,77448
,1457.0,3332.0,3332.0,53152
,1281.0,2688.0,1920.0,59500
2.0,1000.0,2760.0,1807.0,167300
,8146.0,225.0,225.0,244800
,99650.0,,,1571900
1.5,1295.0,1911.0,1035.3,159800
1.5,1250.0,1581.0,927.5,157600
,1950.0,735.0,735.0,45500
,945.0,,,10000
3.0,1650.0,4628.0,3111.0,224100
,2100.0,,,0
1.0,996.0,996.0,996.0,0
,2217.0,,,121700
1.0,1071.0,1071.0,1071.0,0
1.0,1071.0,1071.0,1071.0,0
1.0,1102.0,1102.0,1102.0,0
2.0,2250.0,3300.0,1781.6,212300
,4125.0,2583.0,1722.0,145500
,1875.0,,,63700
,1375.0,,,50200
3.0,1625.0,3328.0,2496.0,187700
3.0,3750.0,4144.0,3036.0,290300
1.5,3750.0,2386.0,1240.9,228200
,3750.0,,,614100
,9204.0,,,138100
,3000.0,,,25500
,3000.0,,,25500
,2696.0,,,22900
,1880.0,,,50400
2.0,1875.0,4344.0,2606.4,187900
1.5,1875.0,1590.0,940.5,171100
2.0,1875.0,2465.0,1573.0,170900
,3000.0,,,145200
2.0,1500.0,2147.0,1311.0,160600
2.0,1500.0,2619.0,1570.0,176200
3.0,3000.0,,,0
1.0,1323.0,1323.0,1323.0,0
1.0,1178.0,1178.0,1178.0,0
1.0,1304.0,1304.0,1304.0,0
2.0,1875.0,2256.0,1440.0,171100
3.0,2925.0,4881.0,3249.0,241100
3.0,2659.0,5016.0,3610.0,232800
1.5,4436.0,1520.0,1118.2,241400
1.5,3675.0,2230.0,1173.8,197000
2.0,2250.0,2913.0,1612.8,182600
3.0,2250.0,,,0
1.0,595.0,595.0,595.0,0
1.0,732.0,732.0,732.0,0
1.0,867.0,867.0,867.0,0
2.0,5250.0,1065.0,939.0,257600
1.5,1875.0,1596.0,795.6,172700
,2857.0,,,31400
,2857.0,,,54600
,2857.0,,,31400
,2857.0,5169.0,3546.0,170700
,2857.0,,,31400
,2500.0,,,45500
,2500.0,,,47500
,2500.0,,,47500
,2500.0,,,47500
,2500.0,,,47500
,2500.0,,,47500
,2500.0,,,47500
,2500.0,,,47500
,3159.0,,,47400
,9131.0,15438.0,15438.0,866101
,21764.0,57600.0,57600.0,2064376
2.0,1613.0,3185.0,2161.0,177500
,2537.0,,,48300
2.0,2324.0,2868.0,1896.0,184000
2.0,1654.0,2868.0,2371.35,178700
2.0,1792.0,2867.0,1922.0,184200
2.0,1544.0,3884.0,2372.0,175900
,1597.0,,,30400
,3274.0,,,310548
,4727.0,,,89800
,2500.0,,,47500
,3500.0,,,221500
,4000.0,,,76000
,500.0,,,3400
,4500.0,,,77100
,36932.0,,,645500
,197828.0,,,79100
,804000.0,,,5844000
,364600.0,,,5300000
,63173.0,,,55600
,22000.0,,,563300
,,,,0
,84168.0,110190.0,110190.0,4088200
,47267.0,,,1654300
,95164.0,,,34300
,1817.0,5904.0,4238.0,112500
,124126.0,20782.0,20782.0,1285300
,55969.0,,,1110600
,1378.0,,,18600
,20530.0,,,554300
,61926.0,28499.0,19801.0,322200
,27938.0,,,652000
,7665.0,,,251400
,23588.0,,,572900
2.0,1800.0,1761.0,1094.0,180800
3.0,1812.0,3585.0,2640.0,226800
3.0,1675.0,3876.0,2907.0,217800
3.0,1512.0,3780.0,2835.0,209200
2.5,1392.0,4160.0,2564.0,193900
2.0,1597.0,3680.0,2208.0,214500
3.0,1990.0,4608.0,3456.0,232000
3.0,2549.0,3456.0,2208.0,255500
3.0,1518.0,,,0
2.5,2186.0,3356.0,2044.8,241300
3.0,1164.0,2898.0,1932.0,194900
3.0,1082.0,2596.0,1944.0,190400
3.0,961.0,3004.0,1980.0,180500
3.0,795.0,3236.0,1944.0,171800
,851.0,2960.0,2220.0,157600
1.0,992.0,992.0,992.0,0
1.0,1004.0,1004.0,1004.0,0
1.0,1045.0,1045.0,1045.0,0
1.5,1195.0,2045.0,1044.0,154800
2.0,1625.0,2961.0,1974.0,204500
2.0,1619.0,2207.0,1344.0,171900
2.0,2049.0,2607.0,1771.0,220600
,43999.0,14310.0,14310.0,580900
,16000.0,5940.0,2970.0,425600
,71841.0,,,1222900
,5840.0,4245.0,4245.0,105300
,4033.0,3072.0,2208.0,112900
,1628.0,3072.0,1536.0,103400
,366.0,366.0,366.0,18000
,2167.0,8880.0,6713.0,403700
,1389.0,4696.0,3552.0,160300
,1886.0,3676.0,2848.0,157600
3.0,1674.0,4233.0,2844.0,224600
,2302.0,2070.0,1570.0,134800
,1838.0,4400.0,3300.0,168800
,1838.0,4448.0,3348.0,168800
,1880.0,2528.0,1984.0,115400
,1880.0,,,50400
,2050.0,,,53800
,14479.0,18916.0,14224.0,750300
,5112.0,11650.0,8490.0,230500
,4126.0,3226.0,3226.0,150900
,195447.0,,,2995800
,38882.0,,,528500
2.0,1300.0,2992.0,1584.0,186900
,1049.0,824.0,412.0,20100
,6372.0,,,82800
2.5,789.0,2616.0,1770.9,157000
,525.0,,,4800
,208.0,,,1900
,,,,800
,,,,700
,4030.0,3060.0,3060.0,79300
,3125.0,,,59400
,2038.0,,,38900
3.0,2313.0,3049.0,2364.0,202600
,6235.0,,,77700
2.0,2494.0,2902.0,1768.0,209600
,,,,1300
2.0,2500.0,3112.0,1888.0,208700
2.0,2500.0,1713.0,1200.0,189700
2.0,2500.0,1795.0,1264.0,189400
1.5,1675.0,2100.0,1006.1,163900
,2075.0,,,38200
2.0,2500.0,3039.0,1924.8,208600
2.0,2025.0,1939.0,1358.0,181600
,1725.0,1260.0,1260.0,41400
,4500.0,4410.0,4410.0,507600
,264645.0,192881.0,192881.0,9503400
,362167.0,,,4392900
3.0,12784.0,,,0
,16197.0,,,816500
1.0,1029.0,1029.0,1029.0,0
1.0,1065.0,1065.0,1065.0,0
1.0,1051.0,1051.0,1051.0,0
1.0,986.0,986.0,986.0,0
1.0,778.0,778.0,778.0,0
,82155.0,,,405500
1.0,759.0,759.0,759.0,0
1.0,984.0,984.0,984.0,0
1.0,1020.0,1020.0,1020.0,0
1.0,1074.0,1074.0,1074.0,0
1.0,968.0,968.0,968.0,0
,261459.0,,,5737700
1.0,787.0,787.0,787.0,0
1.0,753.0,753.0,753.0,0
1.0,987.0,987.0,987.0,0
1.0,1029.0,1029.0,1029.0,0
1.0,1065.0,1065.0,1065.0,0
3.0,53896.0,45216.0,45216.0,821100
1.0,1051.0,1051.0,1051.0,0
1.0,986.0,986.0,986.0,0
1.0,778.0,778.0,778.0,0
1.0,759.0,759.0,759.0,0
,6076.0,,,195700
,3964.0,8250.0,5250.0,357600
3.0,2863.0,,,0
3.0,4000.0,5613.0,4002.0,323000
3.0,7048.0,6520.0,4620.0,317300
,5796.0,3000.0,1500.0,104700
3.0,8901.0,,,0
1.0,1033.0,1033.0,1033.0,0
1.0,938.0,938.0,938.0,0
,261790.0,28142.0,28142.0,5745000
1.0,951.0,951.0,951.0,0
1.0,934.0,934.0,934.0,0
1.0,946.0,946.0,946.0,0
1.0,967.0,967.0,967.0,0
1.0,932.0,932.0,932.0,0
,1568.0,,,28300
1.0,900.0,900.0,900.0,0
3.0,996.0,996.0,996.0,0
,8609.0,,,251000
2.0,873348.0,5668.0,5668.0,19165600
3.0,30000.0,,,0
2.0,952.0,952.0,952.0,0
,7800.0,2162.0,2162.0,131500
3.0,1454.0,1454.0,1454.0,0
3.0,1233.0,1233.0,1233.0,0
3.0,1228.0,1228.0,1228.0,0
2.0,928.0,928.0,928.0,0
2.0,916.0,916.0,916.0,0
3.0,1386.0,1386.0,1386.0,0
3.0,1378.0,1378.0,1378.0,0
2.0,1623.0,1623.0,1623.0,0
2.0,1373.0,1373.0,1373.0,0
2.0,892.0,892.0,892.0,0
2.0,880.0,880.0,880.0,0
3.0,1984.0,1984.0,1984.0,0
2.0,1072.0,1072.0,1072.0,0
2.0,1000.0,1000.0,1000.0,0
3.0,1191.0,1191.0,1191.0,0
2.0,902.0,902.0,902.0,0
3.0,1364.0,1364.0,1364.0,0
2.0,886.0,886.0,886.0,0
3.0,1500.0,1500.0,1500.0,0
3.0,1272.0,1272.0,1272.0,0
2.0,2500.0,3219.0,1950.0,194700
2.0,2500.0,3219.0,1950.0,193000
2.0,2500.0,3429.0,2286.0,191900
2.0,2500.0,3219.0,1950.0,190900
2.0,2500.0,3366.0,2244.0,190000
2.0,2500.0,3219.0,2174.2,188900
2.0,2500.0,3219.0,2712.85,187500
2.0,2500.0,3209.0,2087.0,186200
,1800.0,,,28800
2.0,3205.0,2880.0,1920.0,221700
3.0,3300.0,,,0
2.0,3353.0,2880.0,2604.0,224100
2.0,4180.0,2880.0,1920.0,248600
,945.0,,,10000
,5158.0,3294.0,3294.0,179100
,450212.0,465370.0,333370.0,7105800
4.0,143743.0,214895.0,214895.0,12899900
,300614.0,115045.0,115045.0,17616400
,5598.0,,,68800
3.0,2000.0,4460.0,3030.0,200900
3.0,2000.0,4308.0,3231.0,211900
2.0,2000.0,3560.0,2208.0,184600
3.0,2000.0,,,0
2.0,1552.0,1552.0,1552.0,0
2.0,1228.0,1228.0,1228.0,0
,8725.0,5725.0,5725.0,99686
2.0,2000.0,3044.0,1648.8,186000
1.5,2500.0,2592.0,1420.0,180800
,2891.0,3088.0,1544.0,61500
,486.0,,,9100
2.0,2500.0,3876.0,2248.0,201200
,2500.0,,,47100
,2500.0,,,47000
2.5,2500.0,3645.0,2327.7,202800
1.5,2500.0,2187.0,1064.7,185500
1.5,2500.0,1458.0,775.2,186400
1.5,2500.0,1659.0,1011.0,187300
3.0,4202.0,4202.0,,0
3.0,1563.0,2139.0,1563.0,0
3.0,1563.0,2139.0,1563.0,0
,798.0,,,22815
2.0,2500.0,1632.0,1112.0,188900
2.0,2500.0,1894.0,1164.0,189400
3.0,2500.0,,,0
2.0,1667.0,1667.0,1667.0,0
2.0,1839.0,1839.0,1839.0,0
2.0,2500.0,2970.0,1980.0,207800
3.0,2500.0,4661.0,3201.0,145249
3.0,2500.0,,,0
1.0,866.0,866.0,866.0,0
,14010.0,17494.0,10579.0,371200
1.0,837.0,837.0,837.0,0
1.0,964.0,964.0,964.0,0
3.0,5000.0,,,0
1.0,692.0,692.0,692.0,0
1.0,883.0,883.0,883.0,0
1.0,680.0,680.0,680.0,0
1.0,894.0,894.0,894.0,0
1.0,1657.0,1657.0,1657.0,0
1.0,1074.0,1074.0,1074.0,0
2.0,3000.0,2120.0,1400.0,201500
2.0,4000.0,3843.0,2490.0,251200
2.0,3000.0,3108.0,1800.0,219800
2.0,3000.0,3552.0,2292.0,218800
2.0,3000.0,3964.0,2594.0,217700
2.0,4400.0,3338.0,1890.0,234300
2.0,3000.0,3768.0,2512.0,215800
2.0,3000.0,3793.0,2314.0,215200
,,,,0
2.0,3600.0,4136.0,2535.0,235600
2.0,5000.0,3654.0,2260.0,264800
,2500.0,,,45900
2.0,5000.0,2970.0,1980.0,264200
1.0,855.0,855.0,855.0,0
1.0,860.0,860.0,860.0,0
1.0,941.0,941.0,941.0,0
3.0,3400.0,4487.0,2916.0,250300
3.0,3300.0,4487.0,2916.0,246000
2.0,2500.0,3570.0,2040.0,79500
2.0,2500.0,3309.0,1914.0,198800
2.0,2500.0,2121.0,1350.0,181200
2.0,5000.0,2935.0,1914.0,262800
2.0,2500.0,3420.0,2280.0,199300
2.0,2500.0,3510.0,1816.4,199200
,12500.0,,,268400
,8817.0,5209.0,5209.0,376500
2.0,2200.0,1542.0,980.0,175600
,7000.0,2496.0,2496.0,120900
3.0,7000.0,,,0
2.0,1168.0,1752.0,1176.0,0
