PID,DATA_YEAR,LIVING_AREA,YR_REMODELLED,BED_ROOMS,REMODEL_YEAR,living_area_diff,bedrooms_diff,latitude,longitude
100163000,2019,1499.0,2017.0,3.0,2017.0,56.0,-1.0,-71.0292905826209,42.3806386780674
101893000,2018,4389.0,2015.0,7.0,2015.0,235.0,-2.0,-71.006000574795,42.3890586809733
102531000,2020,2314.0,2018.0,4.0,2018.0,0.0,-2.0,-71.0389505848221,42.3769786774661
102743000,2022,1368.0,2019.0,3.0,2019.0,-72.0,-1.0,-71.0377105849736,42.3804146782364
102925000,2013,1596.0,2003.0,2.0,2017.0,0.0,-4.0,-71.0360405846984,42.3780986772561
103025000,2020,1722.0,2018.0,3.0,2018.0,-18.0,-2.0,-71.034430583761,42.3794986782715
103184000,2023,2746.8,2022.0,6.0,2022.0,-0.1999999999998181,-2.0,-71.0317605831098,42.3800386781191
103287000,2022,2727.0,2019.0,3.0,2019.0,567.0,-1.0,-71.0306805827796,42.3821086784407
103469000,2022,4189.0,2020.0,8.0,2020.0,485.0,-2.0,-71.0363105844867,42.3810886780971
103500000,2018,3552.0,2016.0,5.0,2016.0,0.0,-3.0,-71.0390605857176,42.3818786785673
103648002,2013,4244.0,1999.0,6.0,2018.0,0.0,-2.0,-71.0394105855529,42.3781386771617
103841000,2019,2780.0,2017.0,6.0,2017.0,-30.0,-2.0,-71.0356305838071,42.3723586764471
104081000,2018,3684.0,2012.0,7.0,2012.0,0.0,-1.0,-71.0332205828206,42.3693786759455
104514000,2023,2336.0,2021.0,4.0,2021.0,0.0,-3.0,-71.0367705838516,42.366088675254
104628000,2022,2621.9,2020.0,5.0,2020.0,-0.09999999999990905,-1.0,-71.0329505825466,42.3647786750317
104729000,2018,2892.0,2015.0,5.0,2015.0,0.0,-2.0,-71.0344005834197,42.3657986754402
104805000,2020,1643.0,2018.0,3.0,2018.0,295.0,-1.0,-71.0354075833934,42.3668546757084
105594000,2020,1459.0,2018.0,4.0,2018.0,-43.0,-2.0,-71.0415985860611,42.3715586764972
105978000,2023,3277.25,2021.0,5.0,2021.0,101.25,-1.0,-71.0374505844908,42.3768186773342
106067000,2020,3066.0,2018.0,4.0,2018.0,0.0,-2.0,-71.0371405842815,42.3751286773282
106286000,2018,3252.0,2012.0,7.0,2012.0,-63.0,-1.0,-71.0350105836169,42.373408676681
106600000,2018,0.0,2012.0,3.0,2012.0,-1233.0,-2.0,-71.0357975842281,42.3774546771231
106660000,2010,2949.0,1980.0,6.0,2011.0,0.0,-4.0,-71.0331605832227,42.3783986777549
106807030,2020,2631.0,2018.0,5.0,2018.0,-24.0,-3.0,-71.0308305824738,42.3769886774718
106810000,2019,2154.0,2017.0,5.0,2017.0,0.0,-1.0,-71.031000582511,42.3768286774734
106860000,2013,2600.0,2010.0,6.0,2010.0,-87.0,-1.0,-71.0310705825446,42.3763186773792
106971000,2018,2952.0,1990.0,6.0,2019.0,-108.0,-2.0,-71.0317605829198,42.3781786774857
200076000,2018,2262.0,2016.0,3.0,2016.0,39.0,-1.0,-71.0619305925052,42.3805186769499
200201000,2018,2363.0,2014.0,4.0,2014.0,-10.0,-1.0,-71.06290059309,42.3783986767683
200227000,2018,1790.0,1984.0,3.0,2019.0,-140.0,-1.0,-71.0626425930929,42.3787686767781
200584000,2019,1293.0,2017.0,3.0,2017.0,0.0,-1.0,-71.0674034949325,42.3783781525186
200585000,2018,1293.0,2016.0,3.0,2016.0,-21.0,-1.0,-71.0674205944761,42.3784586767382
200833000,2018,1698.0,2015.0,3.0,2015.0,-12.0,-2.0,-71.0654905940415,42.3795886769337
200857000,2018,2171.0,2013.0,3.0,2013.0,281.0,-3.0,-71.0652205941369,42.3797086770961
200897000,2022,1464.75,2018.0,2.0,2018.0,-0.25,-1.0,-71.0656305941745,42.3794286767191
201005000,2022,1712.0,2020.0,3.0,2020.0,0.0,-1.0,-71.0682205949471,42.3800786770107
201008000,2018,2074.0,2015.0,4.0,2015.0,60.0,-2.0,-71.0680905951263,42.380198677188
201310000,2020,1076.0,2018.0,2.0,2018.0,0.0,-1.0,-71.0692105951516,42.3836686776822
201494000,2018,952.0,2013.0,2.0,2013.0,0.0,-1.0,-71.0672775943383,42.3816946771797
201666000,2019,3974.0,2017.0,5.0,2017.0,280.0,-1.0,-71.0646005942017,42.3811386776509
202998000,2018,2136.0,2012.0,3.0,2012.0,0.0,-3.0,-71.0594805918351,42.3774086769593
203052000,2013,1896.0,1980.0,3.0,2017.0,-189.0,-2.0,-71.0607005923165,42.3777786767108
203123000,2011,2127.0,2009.0,3.0,2009.0,0.0,-1.0,-71.0624105929087,42.3769086764424
203192000,2020,2202.0,2007.0,3.0,2021.0,-348.0,-1.0,-71.0625805926312,42.374918675754
203255000,2009,1050.0,2004.0,2.0,2010.0,-448.0,-1.0,-71.0619505922513,42.3755886762117
203258000,2023,3948.0,2021.0,4.0,2021.0,-120.0,-1.0,-71.0611185922972,42.3755626759675
203379000,2018,1755.0,2014.0,4.0,2014.0,-30.0,-1.0,-71.0596305915143,42.3750086764547
203661000,2022,2289.0,2020.0,3.0,2020.0,294.0,-2.0,-71.062430592709,42.3740686759461
