PID,DATA_YEAR,LIVING_AREA,YR_REMODELLED,BED_ROOMS,REMODEL_YEAR,living_area_diff,bedrooms_diff,latitude,longitude
100029000,2018,4475.0,2015.0,9.0,2015.0,18.0,0.0,-71.03046058,42.37970868
100104000,2022,3308.0,2020.0,8.0,2020.0,0.0,0.0,-71.02926058,42.37984868
100137000,2018,1197.0,2015.0,2.0,2015.0,0.0,0.0,-71.02903058,42.37967868
100139000,2018,2563.0,2013.0,4.0,2013.0,-39.0,0.0,-71.02902058,42.37951868
100145000,2018,0.0,2015.0,5.0,2015.0,-2694.0,0.0,-71.02952058,42.37931868
100177000,2018,3390.0,2016.0,7.0,2016.0,0.0,0.0,-71.02817058,42.38086868
100190000,2023,1122.7,2022.0,3.0,2022.0,-0.2999999999999545,0.0,-71.02910095,42.38022204
100191000,2023,1188.0,2022.0,3.0,2022.0,0.0,0.0,-71.02916457,42.38016436
100195010,2018,1623.0,2014.0,4.0,2014.0,0.0,0.0,-71.02953058,42.38012868
100212000,2023,1340.0,2021.0,3.0,2021.0,0.0,0.0,-71.03028058,42.38102868
100240000,2019,1508.0,2017.0,3.0,2017.0,280.0,0.0,-71.02928058,42.38092868
100296000,2022,5184.0,2020.0,12.0,2020.0,0.0,0.0,-71.02671758,42.38055868
100450000,2012,1932.0,2010.0,5.0,2010.0,18.0,0.0,-71.02590058,42.38066868
100513000,2023,1888.0,2021.0,6.0,2021.0,0.0,0.0,-71.02302058,42.38140868
100699000,2018,3993.0,2015.0,6.0,2015.0,0.0,0.0,-71.01905058,42.38393868
100871000,2022,1106.1,2019.0,3.0,2019.0,0.09999999999990905,0.0,-71.01875058,42.38181868
100913000,2018,1828.0,2013.0,4.0,2013.0,0.0,0.0,-71.01798058,42.38228868
100926000,2019,4176.0,2017.0,9.0,2017.0,0.0,0.0,-71.01660058,42.38355868
101016000,2019,3231.0,2017.0,8.0,2017.0,0.0,0.0,-71.01486058,42.38445868
101030000,2018,2925.0,2012.0,8.0,2012.0,0.0,0.0,-71.01327058,42.38506868
101064000,2022,3540.0,2019.0,6.0,2019.0,0.0,0.0,-71.01144058,42.38572868
101175000,2018,1758.0,2016.0,3.0,2016.0,44.0,0.0,-71.01719058,42.38111868
101178000,2018,2178.0,2016.0,4.0,2016.0,28.0,0.0,-71.01730058,42.38130868
101190000,2013,1888.0,2011.0,4.0,2011.0,0.0,0.0,-71.01574058,42.38182868
101197000,2022,2295.6,2020.0,6.0,2020.0,-7.400000000000091,0.0,-71.00409057,42.38484868
101211000,2019,3138.0,2017.0,7.0,2017.0,0.0,0.0,-71.00281057,42.38436868
101269000,2018,2566.0,2012.0,4.0,2012.0,-52.0,0.0,-71.00219057,42.38483868
101329000,2022,3561.0,2019.0,8.0,2019.0,0.0,0.0,-71.00266057,42.38592868
101431000,2023,3515.7,2022.0,6.0,2022.0,2.699999999999818,0.0,-71.00530057,42.38448868
101434000,2018,3894.0,2012.0,9.0,2012.0,-70.0,0.0,-71.00562057,42.38486868
101436000,2020,3500.0,2018.0,7.0,2018.0,-92.0,0.0,-71.00576058,42.38510868
101440000,2022,1380.0,2020.0,3.0,2020.0,0.0,0.0,-71.00604057,42.38549868
101481000,2011,2371.0,2009.0,4.0,2009.0,224.0,0.0,-70.99845057,42.38279868
101492000,2022,3402.0,2019.0,6.0,2019.0,12.0,0.0,-70.99868057,42.38356868
101501000,2018,2660.0,2016.0,6.0,2016.0,0.0,0.0,-70.99877057,42.38330868
101574001,2023,2296.9,2021.0,3.0,2021.0,-38.09999999999991,0.0,-70.99906124,42.38920125
101799000,2018,2636.0,2014.0,7.0,2014.0,0.0,0.0,-71.01145058,42.39032868
101873000,2018,2650.0,2015.0,7.0,2015.0,-139.0,0.0,-71.00531057,42.38921868
101997010,2013,5145.0,2011.0,6.0,2011.0,61.0,0.0,-71.01065058,42.39157868
102015000,2013,3404.0,2011.0,2.0,2011.0,75.0,0.0,-71.00766058,42.39060868
102195000,2018,2016.0,2013.0,3.0,2013.0,244.0,0.0,-71.00534057,42.39263868
102227000,2012,1402.0,2010.0,3.0,2010.0,0.0,0.0,-71.00034057,42.39083868
102251000,2018,2484.0,2011.0,3.0,2011.0,409.0,0.0,-71.00109057,42.39071868
102350000,2020,3426.0,2018.0,4.0,2018.0,0.0,0.0,-71.00711058,42.39161868
102531000,2018,2314.0,2016.0,6.0,2016.0,0.0,0.0,-71.03895058,42.37697868
102575000,2019,2915.0,2017.0,5.0,2017.0,195.0,0.0,-71.03732058,42.37724868
102578000,2013,2346.0,2011.0,3.0,2011.0,126.0,0.0,-71.03764059,42.37710868
102589000,2022,2088.0,2019.0,5.0,2019.0,64.0,0.0,-71.03859058,42.37666868
102597000,2019,2216.0,2016.0,5.0,2016.0,272.0,0.0,-71.03899459,42.37755068
102606000,2018,2122.0,2011.0,5.0,2011.0,204.0,0.0,-71.03844658,42.37799268
102641000,2011,2310.0,2009.0,5.0,2009.0,0.0,0.0,-71.03848059,42.37874868
102667000,2022,2332.8,2014.0,5.0,2014.0,-0.1999999999998181,0.0,-71.03865059,42.37819868
102668000,2022,2188.0,2018.0,4.0,2018.0,175.0,0.0,-71.03870659,42.37818368
102685000,2013,940.0,2011.0,3.0,2011.0,-9.0,0.0,-71.03842059,42.37935868
102712000,2022,2649.0,2019.0,6.0,2019.0,0.0,0.0,-71.03905059,42.38019868
102748000,2022,1738.0,2019.0,3.0,2019.0,0.0,0.0,-71.03726859,42.38041768
102779000,2023,2812.0,2022.0,7.0,2022.0,0.0,0.0,-71.03729058,42.37992868
102886000,2018,2432.0,2014.0,6.0,2014.0,0.0,0.0,-71.03540058,42.37913868
102919000,2018,2172.0,2014.0,4.0,2014.0,362.0,0.0,-71.03663058,42.37788868
102921000,2018,3586.0,2014.0,8.0,2014.0,22.0,0.0,-71.03641058,42.37795868
102933000,2023,2605.9,2021.0,4.0,2021.0,-0.09999999999990905,0.0,-71.03531058,42.37839868
102938000,2019,2329.0,2017.0,6.0,2017.0,-121.0,0.0,-71.03493058,42.37844868
103122000,2018,2154.0,2016.0,3.0,2016.0,78.0,0.0,-71.03524058,42.37947868
103150000,2022,2196.0,2020.0,4.0,2020.0,0.0,0.0,-71.03295058,42.38005868
103155000,2018,3525.0,2016.0,7.0,2016.0,30.0,0.0,-71.03242058,42.38021868
103170000,2022,2136.0,2019.0,5.0,2019.0,-12.0,0.0,-71.03106058,42.38060568
103173000,2022,4633.45,2018.0,6.0,2018.0,0.4499999999998181,0.0,-71.03091058,42.38034868
103179000,2022,4104.0,2020.0,5.0,2020.0,476.0,0.0,-71.03143058,42.38015868
103212000,2022,2012.0,2020.0,2.0,2020.0,0.0,0.0,-71.03292058,42.38069868
103216000,2022,2246.0,2020.0,3.0,2020.0,0.0,0.0,-71.03319058,42.38091868
103218000,2022,2989.0,2019.0,8.0,2019.0,0.0,0.0,-71.03315058,42.38104868
103232000,2013,2798.0,2011.0,5.0,2011.0,0.0,0.0,-71.03199058,42.38120868
103263000,2011,2851.0,2009.0,4.0,2009.0,0.0,0.0,-71.03271358,42.38182868
103268000,2013,3438.0,2011.0,6.0,2011.0,0.0,0.0,-71.03198058,42.38181868
103295000,2019,2671.0,2017.0,5.0,2017.0,28.0,0.0,-71.03179058,42.38210868
103402000,2018,3714.0,2011.0,6.0,2011.0,0.0,0.0,-71.03422058,42.38181868
103427000,2018,2664.0,2016.0,6.0,2016.0,0.0,0.0,-71.03844059,42.38067868
103444000,2018,4264.0,2015.0,7.0,2015.0,97.0,0.0,-71.03850059,42.38119868
103477000,2022,2946.0,2020.0,6.0,2020.0,0.0,0.0,-71.03678058,42.38151868
103648000,2018,5251.0,2014.0,9.0,2014.0,979.0,0.0,-71.03943059,42.37826868
103648003,2020,4244.0,2018.0,8.0,2018.0,-28.0,0.0,-71.03941059,42.37806868
103722000,2018,2818.0,2012.0,8.0,2012.0,4.0,0.0,-71.03465058,42.37318868
103762000,2022,2730.0,2019.0,7.0,2019.0,189.0,0.0,-71.03361058,42.37360868
103800000,2020,2866.0,2018.0,6.0,2018.0,0.0,0.0,-71.03580058,42.37174868
103805000,2022,2200.0,2020.0,6.0,2020.0,0.0,0.0,-71.03606058,42.37151868
103825000,2018,2828.0,2015.0,5.0,2015.0,43.0,0.0,-71.03654058,42.37153868
103832000,2022,3702.0,2019.0,8.0,2019.0,0.0,0.0,-71.03616058,42.37187868
103935000,2012,4374.0,2010.0,6.0,2010.0,0.0,0.0,-71.03396058,42.37110868
103974000,2019,4167.0,2017.0,9.0,2017.0,0.0,0.0,-71.03536058,42.36988868
104063000,2012,3090.0,2010.0,6.0,2010.0,0.0,0.0,-71.03436058,42.36832868
104274110,2018,3090.0,2015.0,7.0,2015.0,0.0,0.0,-71.01915058,42.38067068
104486000,2018,3402.0,2013.0,7.0,2013.0,-6.0,0.0,-71.03839458,42.36719168
104595000,2018,2645.0,2015.0,5.0,2015.0,-10.0,0.0,-71.03634058,42.36606868
104600000,2018,4124.0,2014.0,5.0,2014.0,794.0,0.0,-71.03436058,42.36505868
104667000,2019,2520.0,2017.0,6.0,2017.0,0.0,0.0,-71.03033058,42.36411868
104669000,2018,2356.0,2012.0,5.0,2012.0,256.0,0.0,-71.03061058,42.36410867
