PID,DATA_YEAR,LIVING_AREA,YR_REMODELLED,BED_ROOMS,REMODEL_YEAR,living_area_diff,bedrooms_diff,latitude,longitude
100028000,2019,3275.0,2015.0,8.0,2015.0,899.0,2.0,-71.03052058,42.37979868
100035000,2020,2806.0,2018.0,5.0,2018.0,-14.0,2.0,-71.03101058,42.37954868
100058000,2018,3651.0,2015.0,11.0,2015.0,-189.0,3.0,-71.02942858,42.37877468
100105000,2018,3402.0,2016.0,8.0,2016.0,-275.0,2.0,-71.02910058,42.37991868
100262000,2018,2722.0,2011.0,10.0,2011.0,-158.0,2.0,-71.02716058,42.38120868
100377000,2018,1570.0,2012.0,4.0,2012.0,-198.0,2.0,-71.02244058,42.38053868
100455000,2020,3362.0,2018.0,9.0,2018.0,95.0,3.0,-71.02573058,42.38088868
100639000,2018,2412.0,2016.0,5.0,2016.0,0.0,1.0,-71.01937058,42.38481868
100708000,2018,1645.0,2013.0,4.0,2013.0,9.0,1.0,-71.02000058,42.38452868
101093000,2022,3740.0,2020.0,9.0,2020.0,0.0,1.0,-71.01384058,42.38171868
101891000,2022,2471.1,2019.0,5.0,2019.0,145.0999999999999,2.0,-71.00554058,42.38896868
101930000,2020,3616.0,2017.0,9.0,2017.0,711.0,4.0,-71.00028057,42.38982868
102082000,2023,3572.45,2021.0,4.0,2021.0,33.44999999999982,1.0,-71.00715058,42.39135868
102531000,2018,2314.0,2016.0,6.0,2019.0,0.0,2.0,-71.03895058,42.37697868
102574000,2018,3724.0,2015.0,6.0,2015.0,1742.0,1.0,-71.03730058,42.37726868
102591000,2018,1896.0,2014.0,6.0,2014.0,-24.0,2.0,-71.03873059,42.37662868
102592000,2018,1896.0,2014.0,6.0,2014.0,-24.0,2.0,-71.03880058,42.37659868
102691000,2022,1953.0,2020.0,4.0,2020.0,0.0,1.0,-71.03859059,42.37910868
102709000,2018,3194.0,2015.0,8.0,2015.0,-18.0,2.0,-71.03903059,42.37994868
102758000,2022,3666.0,2018.0,11.0,2018.0,90.0,2.0,-71.03780959,42.38007868
