PID,DATA_YEAR,LIVING_AREA,YR_REMODELLED,BED_ROOMS,REMODEL_YEAR,living_area_diff,bedrooms_diff,latitude,longitude
100163000,2019,1499.0,2017.0,3.0,2017.0,56.0,-1.0,-71.02929058,42.38063868
101893000,2018,4389.0,2015.0,7.0,2015.0,235.0,-2.0,-71.00600057,42.38905868
102531000,2020,2314.0,2018.0,4.0,2018.0,0.0,-2.0,-71.03895058,42.37697868
102743000,2022,1368.0,2019.0,3.0,2019.0,-72.0,-1.0,-71.03771058,42.38041468
102925000,2013,1596.0,2003.0,2.0,2017.0,0.0,-4.0,-71.03604058,42.37809868
103025000,2020,1722.0,2018.0,3.0,2018.0,-18.0,-2.0,-71.03443058,42.37949868
103184000,2023,2746.8,2022.0,6.0,2022.0,-0.1999999999998181,-2.0,-71.03176058,42.38003868
103287000,2022,2727.0,2019.0,3.0,2019.0,567.0,-1.0,-71.03068058,42.38210868
103469000,2022,4189.0,2020.0,8.0,2020.0,485.0,-2.0,-71.03631058,42.38108868
103500000,2018,3552.0,2016.0,5.0,2016.0,0.0,-3.0,-71.03906059,42.38187868
103648002,2013,4244.0,1999.0,6.0,2018.0,0.0,-2.0,-71.03941059,42.37813868
103841000,2019,2780.0,2017.0,6.0,2017.0,-30.0,-2.0,-71.03563058,42.37235868
104081000,2018,3684.0,2012.0,7.0,2012.0,0.0,-1.0,-71.03322058,42.36937868
104514000,2023,2336.0,2021.0,4.0,2021.0,0.0,-3.0,-71.03677058,42.36608868
104628000,2022,2621.9,2020.0,5.0,2020.0,-0.09999999999990905,-1.0,-71.03295058,42.36477868
104729000,2018,2892.0,2015.0,5.0,2015.0,0.0,-2.0,-71.03440058,42.36579868
104805000,2020,1643.0,2018.0,3.0,2018.0,295.0,-1.0,-71.03540758,42.36685468
105594000,2020,1459.0,2018.0,4.0,2018.0,-43.0,-2.0,-71.04159859,42.37155868
105978000,2023,3277.25,2021.0,5.0,2021.0,101.25,-1.0,-71.03745058,42.37681868
106067000,2020,3066.0,2018.0,4.0,2018.0,0.0,-2.0,-71.03714058,42.37512868
106286000,2018,3252.0,2012.0,7.0,2012.0,-63.0,-1.0,-71.03501058,42.37340868
106600000,2018,0.0,2012.0,3.0,2012.0,-1233.0,-2.0,-71.03579758,42.37745468
106660000,2010,2949.0,1980.0,6.0,2011.0,0.0,-4.0,-71.03316058,42.37839868
106807030,2020,2631.0,2018.0,5.0,2018.0,-24.0,-3.0,-71.03083058,42.37698868
106810000,2019,2154.0,2017.0,5.0,2017.0,0.0,-1.0,-71.03100058,42.37682868
106860000,2013,2600.0,2010.0,6.0,2010.0,-87.0,-1.0,-71.03107058,42.37631868
106971000,2018,2952.0,1990.0,6.0,2019.0,-108.0,-2.0,-71.03176058,42.37817868
200076000,2018,2262.0,2016.0,3.0,2016.0,39.0,-1.0,-71.06193059,42.38051868
