PID,DATA_YEAR,LIVING_AREA,YR_REMODELLED,BED_ROOMS,REMODEL_YEAR,living_area_diff,bedrooms_diff
100028000,2019,3275.0,2015.0,8.0,2015.0,899.0,2.0
100035000,2020,2806.0,2018.0,5.0,2018.0,-14.0,2.0
100058000,2018,3651.0,2015.0,11.0,2015.0,-189.0,3.0
100105000,2018,3402.0,2016.0,8.0,2016.0,-275.0,2.0
100262000,2018,2722.0,2011.0,10.0,2011.0,-158.0,2.0
100377000,2018,1570.0,2012.0,4.0,2012.0,-198.0,2.0
100455000,2020,3362.0,2018.0,9.0,2018.0,95.0,3.0
100501000,2018,1584.0,2015.0,4.0,2015.0,72.0,1.0
100576000,2023,2594.0,2021.0,6.0,2021.0,0.0,1.0
100639000,2018,2412.0,2016.0,5.0,2016.0,0.0,1.0
100708000,2018,1645.0,2013.0,4.0,2013.0,9.0,1.0
101093000,2022,3740.0,2020.0,9.0,2020.0,0.0,1.0
101103000,2022,2126.0,2020.0,4.0,2020.0,530.0,1.0
101778000,2018,3478.0,2015.0,11.0,2015.0,0.0,5.0
101891000,2022,2471.1,2019.0,5.0,2019.0,145.0999999999999,2.0
101930000,2020,3616.0,2017.0,9.0,2017.0,711.0,4.0
102082000,2023,3572.45,2021.0,4.0,2021.0,33.44999999999982,1.0
102314000,2022,1786.0,2020.0,5.0,2020.0,0.0,2.0
102531000,2018,2314.0,2016.0,6.0,2019.0,0.0,2.0
102574000,2018,3724.0,2015.0,6.0,2015.0,1742.0,1.0
102591000,2018,1896.0,2014.0,6.0,2014.0,-24.0,2.0
102592000,2018,1896.0,2014.0,6.0,2014.0,-24.0,2.0
102691000,2022,1953.0,2020.0,4.0,2020.0,0.0,1.0
102709000,2018,3194.0,2015.0,8.0,2015.0,-18.0,2.0
102758000,2022,3666.0,2018.0,11.0,2018.0,90.0,2.0
102839000,2018,2952.0,2016.0,8.0,2016.0,112.0,2.0
102913000,2018,1739.0,2016.0,5.0,2016.0,174.0,1.0
102925000,2018,1596.0,2016.0,6.0,2016.0,0.0,4.0
102925000,2019,1596.0,2017.0,6.0,2017.0,0.0,4.0
102977000,2022,1648.8,2019.0,4.0,2019.0,268.79999999999995,1.0
102983000,2022,1992.25,2020.0,5.0,2020.0,764.25,1.0
103037000,2018,4446.0,2016.0,12.0,2016.0,639.0,3.0
103185000,2022,2916.0,2019.0,11.0,2019.0,0.0,3.0
103219000,2018,2838.0,2014.0,8.0,2014.0,0.0,4.0
103302000,2018,4373.0,2016.0,9.0,2016.0,1052.0,1.0
103383000,2022,1618.7,2020.0,2.0,2020.0,-45.299999999999955,1.0
103397000,2020,3373.0,2018.0,8.0,2018.0,545.0,4.0
103400000,2019,3704.0,2017.0,9.0,2017.0,0.0,4.0
103648002,2019,4244.0,2017.0,8.0,2017.0,0.0,2.0
103648002,2020,4244.0,2018.0,8.0,2018.0,0.0,2.0
103850000,2019,1800.0,2010.0,4.0,2010.0,0.0,1.0
103953000,2018,2964.0,2013.0,8.0,2013.0,-636.0,2.0
103982000,2023,3640.0,2021.0,10.0,2021.0,0.0,2.0
104080000,2020,3684.0,2018.0,8.0,2018.0,0.0,2.0
104286000,2022,1492.0,2020.0,3.0,2020.0,84.0,1.0
104310000,2018,2302.0,2016.0,4.0,2016.0,98.0,2.0
104652000,2022,4326.4,2020.0,7.0,2020.0,983.3999999999996,1.0
104729000,2013,2892.0,1984.0,7.0,2017.0,0.0,2.0
104729000,2013,2892.0,1984.0,7.0,2016.0,0.0,2.0
104815000,2022,5640.6,2019.0,7.0,2019.0,1092.6000000000004,1.0
104926000,2018,2450.0,2015.0,6.0,2015.0,-10.0,2.0
105004000,2023,2050.0,2022.0,4.0,2022.0,586.0,2.0
105006000,2018,2361.0,2013.0,6.0,2013.0,-54.0,1.0
105142000,2018,1917.0,2014.0,6.0,2014.0,3.0,2.0
105180000,2018,1809.0,2014.0,3.0,2014.0,433.0,1.0
105193000,2018,1592.0,2015.0,5.0,2015.0,0.0,2.0
105222000,2023,5460.0,2021.0,9.0,2021.0,0.0,3.0
105307000,2018,2850.0,2016.0,8.0,2016.0,542.0,2.0
105592000,2022,1896.0,2020.0,6.0,2020.0,0.0,2.0
105594000,2018,1502.0,1979.0,6.0,2019.0,43.0,2.0
105623000,2018,2790.0,2013.0,6.0,2013.0,-24.0,2.0
105748000,2018,2463.0,2015.0,6.0,2015.0,-183.0,3.0
