PID,DATA_YEAR,LIVING_AREA,YR_REMODELLED,BED_ROOMS,REMODEL_YEAR,living_area_diff,bedrooms_diff,latitude,longitude
100029000,2018,4475.0,2015.0,9.0,2015.0,18.0,0.0,-71.0304605829467,42.3797086781944
100104000,2022,3308.0,2020.0,8.0,2020.0,0.0,0.0,-71.0292605820796,42.3798486784378
100137000,2018,1197.0,2015.0,2.0,2015.0,0.0,0.0,-71.0290305822302,42.3796786777502
100139000,2018,2563.0,2013.0,4.0,2013.0,-39.0,0.0,-71.0290205817568,42.3795186784148
100145000,2018,0.0,2015.0,5.0,2015.0,-2694.0,0.0,-71.0295205825102,42.3793186781261
100177000,2018,3390.0,2016.0,7.0,2016.0,0.0,0.0,-71.0281705819149,42.3808686780336
100190000,2023,1122.7,2022.0,3.0,2022.0,-0.2999999999999545,0.0,-71.0291009468024,42.3802220431022
100191000,2023,1188.0,2022.0,3.0,2022.0,0.0,0.0,-71.0291645671868,42.3801643628205
100195010,2018,1623.0,2014.0,4.0,2014.0,0.0,0.0,-71.0295305820653,42.3801286778419
100212000,2023,1340.0,2021.0,3.0,2021.0,0.0,0.0,-71.0302805827348,42.3810286781451
100240000,2019,1508.0,2017.0,3.0,2017.0,280.0,0.0,-71.0292805822489,42.3809286780296
100296000,2022,5184.0,2020.0,12.0,2020.0,0.0,0.0,-71.0267175813222,42.380558678301
100450000,2012,1932.0,2010.0,5.0,2010.0,18.0,0.0,-71.0259005808267,42.3806686786884
100513000,2023,1888.0,2021.0,6.0,2021.0,0.0,0.0,-71.0230205803072,42.3814086788465
100699000,2018,3993.0,2015.0,6.0,2015.0,0.0,0.0,-71.0190505786483,42.3839386792292
100871000,2022,1106.1,2019.0,3.0,2019.0,0.09999999999990905,0.0,-71.018750578987,42.3818186791269
100913000,2018,1828.0,2013.0,4.0,2013.0,0.0,0.0,-71.0179805784333,42.3822886793308
100926000,2019,4176.0,2017.0,9.0,2017.0,0.0,0.0,-71.0166005781931,42.3835586791842
101016000,2019,3231.0,2017.0,8.0,2017.0,0.0,0.0,-71.0148605775862,42.384458679104
101030000,2018,2925.0,2012.0,8.0,2012.0,0.0,0.0,-71.0132705774928,42.3850686795078
101064000,2022,3540.0,2019.0,6.0,2019.0,0.0,0.0,-71.0114405762303,42.385728679595
101175000,2018,1758.0,2016.0,3.0,2016.0,44.0,0.0,-71.0171905785429,42.3811186791431
101178000,2018,2178.0,2016.0,4.0,2016.0,28.0,0.0,-71.017300578195,42.3813086789163
101190000,2013,1888.0,2011.0,4.0,2011.0,0.0,0.0,-71.0157405777618,42.3818286788014
101197000,2022,2295.6,2020.0,6.0,2020.0,-7.400000000000091,0.0,-71.0040905740275,42.3848486795127
101211000,2019,3138.0,2017.0,7.0,2017.0,0.0,0.0,-71.0028105739565,42.3843686798573
101269000,2018,2566.0,2012.0,4.0,2012.0,-52.0,0.0,-71.0021905739616,42.3848386800044
101329000,2022,3561.0,2019.0,8.0,2019.0,0.0,0.0,-71.0026605733378,42.3859286801126
101431000,2023,3515.7,2022.0,6.0,2022.0,2.699999999999818,0.0,-71.0053005744455,42.3844886798758
101434000,2018,3894.0,2012.0,9.0,2012.0,-70.0,0.0,-71.0056205748617,42.3848686795147
101436000,2020,3500.0,2018.0,7.0,2018.0,-92.0,0.0,-71.0057605751178,42.3851086798574
101440000,2022,1380.0,2020.0,3.0,2020.0,0.0,0.0,-71.0060405746179,42.3854986798951
101481000,2011,2371.0,2009.0,4.0,2009.0,224.0,0.0,-70.9984505720034,42.3827986792468
101492000,2022,3402.0,2019.0,6.0,2019.0,12.0,0.0,-70.9986805718407,42.3835686798078
101501000,2018,2660.0,2016.0,6.0,2016.0,0.0,0.0,-70.9987705723931,42.3833086794252
101574001,2023,2296.9,2021.0,3.0,2021.0,-38.09999999999991,0.0,-70.9990612437454,42.3892012491238
101799000,2018,2636.0,2014.0,7.0,2014.0,0.0,0.0,-71.0114505769351,42.3903286802644
101873000,2018,2650.0,2015.0,7.0,2015.0,-139.0,0.0,-71.0053105748288,42.389218680652
101997010,2013,5145.0,2011.0,6.0,2011.0,61.0,0.0,-71.0106505767831,42.3915786805996
102015000,2013,3404.0,2011.0,2.0,2011.0,75.0,0.0,-71.0076605755353,42.3906086807135
102195000,2018,2016.0,2013.0,3.0,2013.0,244.0,0.0,-71.0053405749095,42.3926386812663
102227000,2012,1402.0,2010.0,3.0,2010.0,0.0,0.0,-71.0003405729413,42.3908386808082
102251000,2018,2484.0,2011.0,3.0,2011.0,409.0,0.0,-71.0010905735721,42.3907186810156
102350000,2020,3426.0,2018.0,4.0,2018.0,0.0,0.0,-71.0071105752439,42.3916186807448
102531000,2018,2314.0,2016.0,6.0,2016.0,0.0,0.0,-71.0389505848221,42.3769786774661
102575000,2019,2915.0,2017.0,5.0,2017.0,195.0,0.0,-71.0373205847415,42.3772486774457
102578000,2013,2346.0,2011.0,3.0,2011.0,126.0,0.0,-71.0376405851334,42.3771086772315
102589000,2022,2088.0,2019.0,5.0,2019.0,64.0,0.0,-71.0385905849927,42.3766686772172
102597000,2019,2216.0,2016.0,5.0,2016.0,272.0,0.0,-71.0389945850956,42.3775506769818
102606000,2018,2122.0,2011.0,5.0,2011.0,204.0,0.0,-71.0384465848338,42.377992677647
102641000,2011,2310.0,2009.0,5.0,2009.0,0.0,0.0,-71.0384805851032,42.378748677612
102667000,2022,2332.8,2014.0,5.0,2014.0,-0.1999999999998181,0.0,-71.0386505853119,42.3781986772913
102668000,2022,2188.0,2018.0,4.0,2018.0,175.0,0.0,-71.0387065852199,42.3781836775037
102685000,2013,940.0,2011.0,3.0,2011.0,-9.0,0.0,-71.0384205855287,42.3793586778987
102712000,2022,2649.0,2019.0,6.0,2019.0,0.0,0.0,-71.0390505851662,42.3801986781485
102748000,2022,1738.0,2019.0,3.0,2019.0,0.0,0.0,-71.0372685851471,42.3804176775022
102779000,2023,2812.0,2022.0,7.0,2022.0,0.0,0.0,-71.0372905843287,42.3799286782886
102886000,2018,2432.0,2014.0,6.0,2014.0,0.0,0.0,-71.0354005837926,42.3791386776961
102919000,2018,2172.0,2014.0,4.0,2014.0,362.0,0.0,-71.0366305842228,42.377888677435
102921000,2018,3586.0,2014.0,8.0,2014.0,22.0,0.0,-71.0364105847619,42.3779586779376
102933000,2023,2605.9,2021.0,4.0,2021.0,-0.09999999999990905,0.0,-71.0353105840573,42.3783986776178
102938000,2019,2329.0,2017.0,6.0,2017.0,-121.0,0.0,-71.0349305839075,42.3784486776213
103122000,2018,2154.0,2016.0,3.0,2016.0,78.0,0.0,-71.0352405844878,42.3794786781956
103150000,2022,2196.0,2020.0,4.0,2020.0,0.0,0.0,-71.0329505834441,42.3800586780891
103155000,2018,3525.0,2016.0,7.0,2016.0,30.0,0.0,-71.0324205831272,42.3802186783156
