_id,PID,GIS_ID,ST_NUM,ST_NAME,CITY,ZIP_CODE,BLDG_SEQ,NUM_BLDGS,LUC
1,0100001000,0100001000,104.0,PUTNAM ST,EAST BOSTON,2128,1,1,105
2,0100002000,0100002000,197.0,Lexington ST,EAST BOSTON,2128,1,1,105
3,0100003000,0100003000,199.0,Lexington ST,EAST BOSTON,2128,1,1,105
4,0100004000,0100004000,201.0,Lexington ST,EAST BOSTON,2128,1,1,105
5,0100005000,0100005000,203.0,Lexington ST,EAST BOSTON,2128,1,1,104
6,0100006000,0100006000,205.0,Lexington ST,EAST BOSTON,2128,1,1,105
7,0100007000,0100007000,209.0,Lexington ST,EAST BOSTON,2128,1,1,105
8,0100008000,0100008000,213.0,Lexington ST,EAST BOSTON,2128,1,1,105
9,0100009000,0100009000,215.0,Lexington ST,EAST BOSTON,2128,1,1,105
10,0100010000,0100010000,217.0,Lexington ST,EAST BOSTON,2128,1,1,105
72,0100056000,0100056000,254.0,Bennington ST,EAST BOSTON,2128,1,1,327
11,0100011000,0100011000,219.0,Lexington ST,EAST BOSTON,2128,1,1,104
12,0100012000,0100012000,221.0,Lexington ST,EAST BOSTON,2128,1,1,105
13,0100013000,0100013000,223.0,Lexington ST,EAST BOSTON,2128,1,1,105
14,0100014000,0100014000,225.0,Lexington ST,EAST BOSTON,2128,1,1,105
15,0100015000,0100015000,227.0,Lexington ST,EAST BOSTON,2128,1,1,104
99,0100084000,0100084000,376.0,Chelsea ST,EAST BOSTON,2128,1,1,013
16,0100016000,0100016000,235.0,Lexington ST,EAST BOSTON,2128,1,1,104
17,0100017000,0100017000,237.0,Lexington ST,EAST BOSTON,2128,1,1,105
18,0100018000,0100018000,239.0,Lexington ST,EAST BOSTON,2128,1,1,995
19,0100018002,0100018000,239.0,Lexington ST,EAST BOSTON,2128,1,1,102
20,0100018004,0100018000,239.0,Lexington ST,EAST BOSTON,2128,1,1,102
21,0100018006,0100018000,239.0,Lexington ST,EAST BOSTON,2128,1,1,102
22,0100018008,0100018000,239.0,Lexington ST,EAST BOSTON,2128,1,1,102
23,0100019000,0100019000,241.0,Lexington ST,EAST BOSTON,2128,1,1,995
24,0100019002,0100019000,241.0,Lexington ST,EAST BOSTON,2128,1,1,102
25,0100019004,0100019000,241.0,Lexington ST,EAST BOSTON,2128,1,1,102
26,0100019006,0100019000,241.0,Lexington ST,EAST BOSTON,2128,1,1,102
27,0100020000,0100020000,243.0,Lexington ST,EAST BOSTON,2128,1,1,105
28,0100021000,0100021000,243.0,Lexington ST,EAST BOSTON,2128,1,1,101
29,0100022000,0100022000,245.0,Lexington ST,EAST BOSTON,2128,1,1,105
30,0100023000,0100023000,247.0,Lexington ST,EAST BOSTON,2128,1,1,105
31,0100024000,0100024000,249.0,Lexington ST,EAST BOSTON,2128,1,1,995
424,0100359010,0100359010,,Neptune RD,EAST BOSTON,2128,1,1,901
32,0100024002,0100024000,249.0,Lexington ST,EAST BOSTON,2128,1,1,102
95,0100080000,0100080000,390.0,Chelsea ST,EAST BOSTON,2128,1,1,031
33,0100024004,0100024000,249.0,Lexington ST,EAST BOSTON,2128,1,1,102
34,0100024006,0100024000,249.0,Lexington ST,EAST BOSTON,2128,1,1,102
35,0100025000,0100025000,251.0,Lexington ST,EAST BOSTON,2128,1,1,105
36,0100026000,0100026000,31.0,Prescott ST,EAST BOSTON,2128,1,1,104
37,0100027000,0100027000,33.0,Prescott ST,EAST BOSTON,2128,1,1,101
96,0100081000,0100081000,382.0,Chelsea ST,EAST BOSTON,2128,1,1,013
38,0100028000,0100028000,35.0,Prescott ST,EAST BOSTON,2128,1,1,104
39,0100029000,0100029000,37.0,Prescott ST,EAST BOSTON,2128,1,1,105
40,0100030000,0100030000,252.0,PRINCETON ST,EAST BOSTON,2128,1,1,105
41,0100031000,0100031000,250.0,PRINCETON ST,EAST BOSTON,2128,1,1,105
42,0100032000,0100032000,248.0,PRINCETON ST,EAST BOSTON,2128,1,1,104
43,0100033000,0100033000,246.0,PRINCETON ST,EAST BOSTON,2128,1,1,101
44,0100034000,0100034000,244.0,PRINCETON ST,EAST BOSTON,2128,1,1,104
45,0100035000,0100035000,242.0,PRINCETON ST,EAST BOSTON,2128,1,1,105
46,0100036000,0100036000,240.0,PRINCETON ST,EAST BOSTON,2128,1,1,105
47,0100037000,0100037000,238.0,PRINCETON ST,EAST BOSTON,2128,1,1,109
48,0100038000,0100038000,236.0,PRINCETON ST,EAST BOSTON,2128,1,1,105
97,0100082000,0100082000,380.0,Chelsea ST,EAST BOSTON,2128,1,1,013
49,0100039000,0100039000,234.0,PRINCETON ST,EAST BOSTON,2128,1,1,105
50,0100040000,0100040000,226.0,PRINCETON ST,EAST BOSTON,2128,1,1,120
51,0100041000,0100041000,224.0,PRINCETON ST,EAST BOSTON,2128,1,1,995
52,0100041002,0100041000,224.0,PRINCETON ST,EAST BOSTON,2128,1,1,102
53,0100041004,0100041000,224.0,PRINCETON ST,EAST BOSTON,2128,1,1,102
54,0100041006,0100041000,224.0,PRINCETON ST,EAST BOSTON,2128,1,1,102
8290,0105537000,0105537000,,London ST,EAST BOSTON,2128,1,1,985
55,0100041008,0100041000,224.0,PRINCETON ST,EAST BOSTON,2128,1,1,102
56,0100042000,0100042000,222.0,PRINCETON ST,EAST BOSTON,2128,1,1,104
57,0100043000,0100043000,218.0,PRINCETON ST,EAST BOSTON,2128,1,1,105
58,0100044000,0100044000,216.0,PRINCETON ST,EAST BOSTON,2128,1,1,105
59,0100045000,0100045000,214.0,PRINCETON ST,EAST BOSTON,2128,1,1,105
60,0100046000,0100046000,212.0,PRINCETON ST,EAST BOSTON,2128,1,1,995
61,0100046002,0100046000,212.0,PRINCETON ST,EAST BOSTON,2128,1,1,102
62,0100046004,0100046000,212.0,PRINCETON ST,EAST BOSTON,2128,1,1,102
63,0100047000,0100047000,208.0,PRINCETON ST,EAST BOSTON,2128,1,1,105
100,0100085000,0100085000,300.0,Bennington ST,EAST BOSTON,2128,1,1,320
64,0100048000,0100048000,206.0,PRINCETON ST,EAST BOSTON,2128,1,1,105
65,0100049000,0100049000,204.0,PRINCETON ST,EAST BOSTON,2128,1,1,105
66,0100050000,0100050000,202.0,PRINCETON ST,EAST BOSTON,2128,1,1,104
67,0100051000,0100051000,198.0,PRINCETON ST,EAST BOSTON,2128,1,1,111
68,0100052000,0100052000,112.0,PUTNAM ST,EAST BOSTON,2128,1,1,101
