BLDG_VALUE,SFYI_VALUE,TOTAL_VALUE,GROSS_TAX,YR_BUILT
594400,0,792000," $8,632.80 ",1900.0
619700,0,818200," $8,918.38 ",1920.0
605300,0,804400," $8,767.96 ",1905.0
535600,0,735300," $8,014.77 ",1900.0
501400,0,731600," $7,974.44 ",1900.0
1037400,0,1301200," $14,183.08 ",1900.0
1003200,0,1267900," $13,820.11 ",1900.0
885400,0,1150700," $12,542.63 ",1900.0
619300,0,885200," $9,648.68 ",1900.0
811000,0,1037700," $11,310.93 ",1900.0
635100,0,825500," $20,860.39 ",1989.0
641000,0,894400," $9,748.96 ",1900.0
638000,0,905800," $9,873.22 ",1900.0
561800,0,830200," $9,049.18 ",1900.0
815600,0,1084400," $11,819.96 ",1900.0
662500,0,917600," $10,001.84 ",1900.0
384100,0,464700," $8,003.38 ",1899.0
513600,0,857700," $9,348.93 ",1899.0
482100,0,751400," $8,190.26 ",1900.0
0,0,0, $-   ,1900.0
653000,0,653000," $7,117.70 ",1900.0
712600,0,712600," $7,767.34 ",1900.0
713000,0,713000," $7,771.70 ",1900.0
736100,0,736100," $8,023.49 ",1900.0
0,0,0, $-   ,1900.0
789700,0,789700," $8,607.73 ",1900.0
597500,0,597500," $6,512.75 ",1900.0
644800,0,644800," $7,028.32 ",1900.0
790700,0,1058100," $11,533.29 ",1900.0
223000,0,388100," $4,230.29 ",1910.0
552000,0,808300," $8,810.47 ",1900.0
574700,0,818600," $8,922.74 ",1900.0
0,0,0, $-   ,1900.0
200,0,103200, $-   ,
437500,0,437500," $4,768.75 ",1900.0
528000,0,658900," $13,146.52 ",1899.0
472500,0,472500," $5,150.25 ",1900.0
550200,0,550200," $5,997.18 ",1900.0
481100,0,682700," $7,441.43 ",1910.0
351200,0,548700," $5,980.83 ",1900.0
348000,0,530800," $5,785.72 ",1900.0
508000,0,650200," $11,665.15 ",1915.0
559700,0,775400," $8,451.86 ",1900.0
824100,0,1056000," $11,510.40 ",1910.0
783500,0,1048600," $11,429.74 ",1900.0
884300,0,1150100," $12,536.09 ",1900.0
493200,0,746100," $8,132.49 ",1900.0
319800,0,533600," $5,816.24 ",1920.0
367700,0,621000," $6,768.90 ",1900.0
693200,0,960700," $10,471.63 ",1900.0
620500,0,934000," $10,180.60 ",1900.0
867600,0,1134400," $12,364.96 ",1900.0
546200,0,828900," $9,035.01 ",1900.0
503500,0,656400," $11,304.47 ",1899.0
621400,0,863200," $9,408.88 ",1900.0
2108800,0,2448200," $26,685.38 ",1899.0
0,0,0, $-   ,2021.0
606100,0,606100," $6,606.49 ",2021.0
664000,0,664000," $7,237.60 ",2021.0
679900,0,679900," $7,410.91 ",2021.0
200,0,67700, $-   ,
779800,0,779800," $8,499.82 ",2021.0
451800,0,705700," $7,692.13 ",1900.0
577400,0,844500," $9,205.05 ",1899.0
478700,0,745100," $8,121.59 ",1900.0
837300,0,1098000," $11,968.20 ",1900.0
0,0,0, $-   ,1900.0
456800,0,456800," $4,979.12 ",1900.0
601900,0,601900," $6,560.71 ",1900.0
662300,0,915500," $9,978.95 ",1900.0
187000,0,265200," $6,701.60 ",1914.0
567200,0,763600," $8,323.24 ",1900.0
711200,0,907200," $9,888.48 ",1900.0
644200,0,825500," $8,997.95 ",1900.0
412400,0,582400," $6,348.16 ",1900.0
535000,0,715400," $7,797.86 ",1900.0
570700,0,763900," $8,326.51 ",1900.0
412900,0,638200," $6,956.38 ",1900.0
461000,0,685900," $7,476.31 ",1900.0
883800,0,1111600," $12,116.44 ",1920.0
880700,0,1110700," $12,106.63 ",1910.0
487400,0,669700," $7,299.73 ",1910.0
330100,0,513900," $5,601.51 ",1910.0
527100,0,681800," $10,860.95 ",1899.0
351400,0,548200," $5,975.38 ",1920.0
740100,0,993700," $10,831.33 ",1910.0
614200,0,867100," $9,451.39 ",1910.0
738600,0,990900," $10,800.81 ",1910.0
895000,0,1147100," $12,503.39 ",1910.0
520900,0,832700," $9,076.43 ",1910.0
421600,0,590700," $9,748.75 ",1899.0
825900,0,1059600," $11,549.64 ",1910.0
627800,0,861500," $9,390.35 ",1910.0
493700,0,761000," $8,294.90 ",1910.0
437600,0,705600," $7,691.04 ",1910.0
618100,0,886500," $9,662.85 ",1910.0
438600,0,596200," $15,065.97 ",1899.0
801800,0,1075200," $11,719.68 ",1910.0
443400,0,653100," $7,118.79 ",1910.0
863700,0,1076600," $11,734.94 ",1910.0
771400,0,985100," $10,737.59 ",1910.0
106064,0,230016," $3,002.88 ",1899.0
558500,0,979100," $24,741.86 ",1997.0
200,0,33800, $-   ,
103500,0,136600," $3,451.88 ",1899.0
259300,0,320000," $5,419.25 ",1899.0
385900,0,482500," $9,341.82 ",1899.0
234600,0,303500," $7,669.45 ",1899.0
1491500,0,2068800," $52,278.58 ",1899.0
366100,0,481500," $12,167.51 ",1930.0
292300,0,383300," $7,537.82 ",1899.0
180800,0,233400," $5,898.02 ",1899.0
522400,0,706700," $11,561.86 ",1899.0
463600,0,632400," $7,892.48 ",1900.0
701400,0,960400," $10,468.36 ",1910.0
638000,0,861700," $11,869.35 ",1910.0
505600,0,783000," $8,534.70 ",1905.0
779600,0,1058700," $11,539.83 ",1900.0
619000,0,904600," $9,860.14 ",1905.0
1010100,0,1340600," $14,612.54 ",1900.0
487600,0,731400," $7,972.26 ",1905.0
658200,0,914800," $9,971.32 ",1905.0
916900,0,1263600," $13,773.24 ",1900.0
728900,0,986000," $10,747.40 ",1910.0
0,0,19000, $207.10 ,
658000,0,915300," $9,976.77 ",1900.0
740200,0,998300," $10,881.47 ",1900.0
0,0,0, $-   ,1900.0
479500,0,479500," $5,226.55 ",1900.0
481000,0,481000," $5,242.90 ",1900.0
508600,0,508600," $5,543.74 ",1900.0
573900,0,772300," $8,418.07 ",1905.0
525200,0,734600," $8,007.14 ",1930.0
721900,0,931500," $10,153.35 ",1905.0
349300,0,549400," $5,988.46 ",1920.0
347000,0,560000," $6,104.00 ",1905.0
0,0,19200, $209.28 ,
392200,0,567000," $6,180.30 ",1905.0
2131300,0,2794700, $-   ,1910.0
275400,0,403500," $10,196.45 ",1925.0
232300,0,315400," $7,970.16 ",1930.0
318100,0,448300," $7,849.45 ",1910.0
801600,0,1106000," $12,055.40 ",1900.0
