BLDG_VALUE,SFYI_VALUE,TOTAL_VALUE,GROSS_TAX,YR_BUILT
941500,0,1228600," $13,391.74 ",1900.0
200,0,67700, $-   ,
449300,0,708700," $7,724.83 ",1900.0
674400,0,933800," $10,178.42 ",1900.0
989600,0,1248800," $13,611.92 ",1900.0
920700,0,1180000," $12,862.00 ",1900.0
686800,0,1014100," $11,053.69 ",1910.0
0,0,0, $-   ,1900.0
797700,0,1090900," $11,890.81 ",1900.0
0,0,127700," $1,391.93 ",
567000,0,825200," $8,994.68 ",1899.0
583800,0,841300," $9,170.17 ",1930.0
1039900,0,1297500," $14,142.75 ",2007.0
613200,0,870800," $9,491.72 ",1900.0
200,0,68000, $-   ,
629200,0,887300," $9,671.57 ",1900.0
457600,0,620300," $6,761.27 ",1860.0
510600,0,601500," $15,199.91 ",1982.0
502600,0,694100," $7,565.69 ",1905.0
623300,0,929800," $10,134.82 ",1900.0
762400,0,1015100," $11,064.59 ",1900.0
200,0,240200, $-   ,
479200,0,479200," $5,223.28 ",1900.0
489300,0,489300," $5,333.37 ",1900.0
511300,0,511300," $5,573.17 ",1900.0
680500,0,938800," $10,232.92 ",1900.0
729400,0,988400," $10,773.56 ",1900.0
0,0,0, $-   ,1899.0
830700,0,1090100," $11,882.09 ",1900.0
0,0,0, $-   ,1900.0
401500,0,401500," $4,376.35 ",2015.0
412200,0,412200," $4,492.98 ",2015.0
427300,0,427300," $4,657.57 ",2015.0
509500,0,635600," $6,928.04 ",1900.0
343600,0,487800," $12,326.71 ",1930.0
628500,0,840000," $9,156.00 ",1899.0
567100,0,777600," $8,475.84 ",1900.0
1056500,0,1407600," $15,342.84 ",1890.0
745500,0,1097600," $11,963.84 ",1899.0
1301000,0,1742500," $18,993.25 ",2015.0
672700,0,1074000," $11,706.60 ",1900.0
681663,0,1083839, $-   ,
239000,0,239000," $2,605.10 ",1899.0
324500,0,324500," $3,537.05 ",1899.0
355200,0,355200," $3,871.68 ",1899.0
385100,0,385100," $4,197.59 ",1899.0
0,0,0, $-   ,1910.0
257700,0,257700," $2,808.93 ",1910.0
321100,0,321100," $3,499.99 ",1910.0
330300,0,330300," $3,600.27 ",1910.0
361100,0,361100," $3,935.99 ",1910.0
0,0,0, $-   ,1999.0
347500,0,347500," $3,787.76 ",2014.0
395100,0,395100," $4,306.59 ",2013.0
0,0,52000, $-   ,
394700,0,394700," $4,302.23 ",2013.0
761100,0,1000300," $10,903.27 ",1890.0
607800,0,858800," $9,360.92 ",1890.0
946900,0,1196500," $13,041.85 ",1900.0
525300,0,774900," $8,446.41 ",1900.0
0,0,0, $-   ,1890.0
499900,0,746000," $8,131.40 ",1900.0
531200,0,777200," $8,471.48 ",1900.0
464700,0,709200," $7,730.28 ",1900.0
314849,0,431300," $4,701.17 ",1900.0
253000,0,447000," $4,872.30 ",1900.0
427100,0,526300," $13,299.60 ",1899.0
446500,0,675400," $7,361.86 ",1940.0
728800,0,969800," $10,570.82 ",1900.0
692600,0,933600," $10,176.24 ",1900.0
763000,0,1004300," $10,946.87 ",1900.0
959000,0,1223000," $13,330.70 ",1900.0
670400,0,935600," $10,198.04 ",1900.0
380600,0,593800," $6,472.42 ",1900.0
292300,0,466500," $5,084.85 ",1900.0
891300,0,1111800," $12,118.62 ",1899.0
967600,0,1191400," $12,986.26 ",1900.0
0,0,0, $-   ,1900.0
517800,0,517800," $5,644.02 ",1900.0
24200,0,24200, $611.53 ,
517700,0,517700," $5,642.93 ",1900.0
517600,0,517600," $5,641.84 ",1900.0
644100,0,869600," $9,478.64 ",1907.0
0,0,0, $-   ,1900.0
509400,0,509400," $5,552.46 ",2017.0
498500,0,498500," $5,433.65 ",2017.0
0,0,27100, $-   ,
527000,0,527000," $5,744.30 ",2017.0
898400,0,1203600," $13,119.24 ",1899.0
771500,0,1032200," $11,250.98 ",1890.0
539300,0,751400," $8,190.26 ",1890.0
0,0,17100, $186.39 ,
390200,0,528000," $5,755.20 ",1911.0
163900,0,210000," $5,306.70 ",1910.0
605400,0,857100," $9,342.39 ",1890.0
0,0,0, $-   ,1890.0
591000,0,591000," $6,441.90 ",2016.0
490100,0,490100," $5,342.09 ",2016.0
516600,0,516600," $5,630.94 ",2016.0
241700,0,491800," $5,360.62 ",1890.0
617300,0,866700," $9,447.03 ",1900.0
522700,0,770100," $8,394.09 ",1900.0
551800,0,798600," $8,704.74 ",1988.0
0,0,0, $-   ,2001.0
552700,0,552700," $6,024.43 ",2001.0
552700,0,552700," $6,024.43 ",2001.0
486600,0,668300," $7,284.47 ",1900.0
340700,0,505600," $5,511.04 ",1900.0
136500,0,252400," $2,751.16 ",1900.0
323200,0,422600," $4,606.34 ",1910.0
438700,0,578400," $6,304.56 ",1899.0
376300,0,476000," $5,188.40 ",1900.0
0,0,4900, $-   ,
491500,0,491500," $5,357.35 ",1890.0
500500,0,500500," $5,455.45 ",1890.0
479900,0,479900," $5,230.91 ",1890.0
555800,0,793700," $8,651.33 ",1900.0
0,0,0, $-   ,1900.0
519300,0,519300," $5,660.37 ",2016.0
0,0,10100, $-   ,
428600,0,428600," $4,671.74 ",2016.0
459700,0,655400," $7,143.86 ",1900.0
331200,0,483300," $5,267.97 ",1900.0
0,0,0, $-   ,1900.0
458900,0,458900," $5,002.01 ",2015.0
470000,0,470000," $5,123.00 ",2015.0
399700,0,514900," $8,498.30 ",1940.0
498000,0,498000," $5,428.20 ",2015.0
741800,0,987200," $10,760.48 ",1900.0
673700,0,928900," $10,125.01 ",1900.0
799600,0,1055700," $11,507.13 ",1890.0
825100,0,1083300," $11,807.97 ",1900.0
350800,0,463700," $7,986.90 ",1899.0
842000,0,1101200," $12,003.08 ",1900.0
625000,0,830600," $9,053.54 ",1910.0
526500,0,728600," $7,941.74 ",1900.0
606200,0,820600," $8,944.54 ",1900.0
568400,0,859500," $9,368.55 ",1900.0
357000,0,492000," $5,362.80 ",1900.0
890100,0,1120000," $12,208.00 ",1924.0
737100,0,974100," $10,617.69 ",1900.0
530100,0,770900," $8,402.81 ",1900.0
496900,0,724400," $7,895.96 ",1900.0
736000,0,1071400," $11,678.26 ",1900.0
479800,0,587800," $9,700.91 ",1919.0
617000,0,864400," $9,421.96 ",2004.0
452400,0,660200," $7,196.18 ",1900.0
0,0,0, $-   ,1999.0
495000,0,495000," $5,395.50 ",1991.0
466900,0,466900," $5,089.21 ",1991.0
269500,0,269500," $2,937.56 ",1991.0
303200,0,303200," $3,304.88 ",1991.0
791600,0,1080300," $11,775.27 ",1900.0
821700,0,1087300," $11,851.57 ",1900.0
614700,0,858800," $9,360.92 ",1954.0
368500,0,514100," $5,603.69 ",1900.0
610800,0,781500," $13,348.12 ",1910.0
345700,0,505200," $5,506.68 ",1900.0
367200,0,523400," $5,705.06 ",1900.0
287500,0,435700," $4,749.13 ",1900.0
331700,0,482600," $5,260.34 ",1900.0
456900,0,640200," $6,978.18 ",1900.0
308000,0,453100," $4,938.79 ",1900.0
464600,0,625300," $6,815.77 ",1900.0
288500,0,417400," $4,549.66 ",1900.0
350100,0,479900," $5,230.91 ",1900.0
307300,0,463000," $5,046.70 ",1911.0
364600,0,493600," $5,380.24 ",1940.0
354800,0,484200," $5,277.78 ",1900.0
338500,0,489300," $5,333.37 ",1900.0
350600,0,497700," $5,424.93 ",1900.0
376700,0,528400," $5,759.56 ",1900.0
387500,0,543200," $5,920.88 ",1900.0
451300,0,689100," $7,511.19 ",1900.0
627000,0,866600," $9,445.94 ",1900.0
741400,0,988800," $10,777.92 ",1900.0
506500,0,763600," $8,323.24 ",1900.0
659100,0,907300," $9,889.57 ",1900.0
472400,0,697900," $7,607.11 ",1900.0
490100,0,741400," $8,081.26 ",1890.0
652800,0,907000," $9,886.30 ",1890.0
430800,0,708200," $7,719.38 ",1900.0
0,0,0, $-   ,1900.0
423200,0,423200," $4,612.88 ",1900.0
426800,0,426800," $4,652.12 ",1900.0
420100,0,420100," $4,579.09 ",1900.0
291500,0,499800," $5,447.82 ",1900.0
0,0,29700, $750.52 ,
342100,0,551100," $6,006.99 ",1900.0
523600,0,772300," $8,418.07 ",1900.0
575500,0,780300," $8,505.27 ",1910.0
607500,0,797800," $8,696.02 ",1890.0
625600,0,880600," $9,598.54 ",1890.0
0,0,0, $-   ,1890.0
425300,0,425300," $4,635.77 ",2017.0
431400,0,431400," $4,702.26 ",2017.0
450100,0,450100," $4,906.09 ",2017.0
691000,0,940000," $10,246.00 ",1890.0
634500,0,841500," $9,172.35 ",1890.0
744200,0,978300," $10,663.47 ",1890.0
580200,0,820300," $8,941.27 ",1890.0
769000,0,987800," $10,767.02 ",1890.0
443600,0,650500," $7,090.45 ",1890.0
0,0,86400," $2,183.33 ",
0,0,103900," $2,625.55 ",
0,0,49000," $1,238.23 ",
0,0,41400," $1,046.18 ",
458700,0,458700," $4,999.83 ",1900.0
677400,0,883100," $9,625.79 ",1890.0
431100,0,636700," $6,940.03 ",1890.0
809900,0,1042700," $11,365.43 ",1899.0
0,0,0, $-   ,1900.0
420200,0,420200," $4,580.18 ",1900.0
437600,0,437600," $4,769.84 ",1900.0
545900,0,857600," $9,347.84 ",1900.0
0,0,45600, $497.04 ,
728300,0,997700," $10,874.93 ",1900.0
618700,0,715800," $18,088.27 ",1982.0
627100,0,828300," $9,028.47 ",1930.0
655600,0,856400," $9,334.76 ",1890.0
200,0,980800, $-   ,
589200,0,789600," $8,606.64 ",1890.0
593800,0,792400," $8,637.16 ",1890.0
411700,0,526700," $5,741.03 ",1899.0
689800,0,886400," $9,661.76 ",1899.0
0,0,0, $-   ,1900.0
388600,0,388600," $4,235.74 ",1900.0
0,0,79800, $-   ,
388000,0,388000," $4,229.20 ",1900.0
399600,0,399600," $4,355.64 ",1900.0
418600,0,565100," $9,408.65 ",1940.0
284200,0,392400," $9,915.95 ",1920.0
657800,0,904900," $9,863.41 ",1900.0
282300,0,490200," $5,343.18 ",1925.0
200,0,59800, $-   ,
472900,0,699600," $7,625.64 ",1925.0
222500,0,396700," $4,324.03 ",1925.0
474700,0,679000," $7,401.10 ",1925.0
0,0,37600, $409.84 ,
228800,0,300200," $6,076.13 ",1930.0
338900,0,482500," $5,259.25 ",1915.0
798000,0,1056300," $11,513.67 ",1900.0
630800,0,868500," $9,466.65 ",1900.0
914600,0,1163100," $12,677.79 ",1907.0
757600,0,1002200," $10,923.98 ",1900.0
249000,0,325100," $5,693.23 ",1920.0
534300,0,773300," $8,428.97 ",1900.0
671100,0,920500," $10,033.45 ",1915.0
691000,0,950700," $10,362.63 ",1900.0
616500,0,813600," $12,376.39 ",1910.0
592400,0,878900," $15,894.91 ",1910.0
631000,0,827300," $9,017.57 ",1900.0
555500,0,827300," $9,017.57 ",1900.0
463100,0,709700," $17,934.12 ",1910.0
588200,0,791100," $8,622.99 ",1900.0
200,0,1284900, $-   ,
685800,0,909100," $9,909.19 ",1900.0
561500,0,786100," $8,568.49 ",1900.0
44600,0,144800," $3,659.10 ",
1105800,0,1365200," $14,880.68 ",1960.0
313400,0,512600," $5,587.34 ",1910.0
157500,0,217000," $5,483.59 ",1960.0
417200,0,521700," $10,559.76 ",1940.0
711400,0,938200," $10,226.38 ",1905.0
194400,0,253600," $5,242.43 ",1920.0
253396,0,336241," $7,288.86 ",
173904,0,230759," $5,002.27 ",1960.0
242700,0,302200," $5,595.12 ",1940.0
544200,0,711500," $7,755.35 ",1899.0
119100,0,545300," $13,779.73 ",1950.0
200,0,1572100, $-   ,
242400,0,402200," $4,383.98 ",1910.0
202100,0,359700," $3,920.73 ",1915.0
82400,0,131500," $3,323.01 ",1899.0
0,0,10000, $-   ,
586200,0,810300," $8,832.27 ",1900.0
0,0,0, $-   ,2020.0
587500,0,587500," $6,403.75 ",1925.0
0,0,121700, $-   ,
609200,0,609200," $6,640.28 ",1925.0
609500,0,609500," $6,643.55 ",1925.0
687800,0,687800," $7,497.02 ",1925.0
304600,0,516900," $5,634.21 ",1925.0
193600,0,348100," $4,744.79 ",1925.0
3100,0,72400," $1,829.55 ",
18100,0,72400," $1,829.55 ",
522900,0,710600," $7,745.54 ",2007.0
689500,0,979800," $10,679.82 ",1910.0
282400,0,510600," $5,565.54 ",1905.0
0,0,614100," $15,518.31 ",1910.0
200,0,138300, $-   ,
200,0,25700, $-   ,
200,0,25700, $-   ,
200,0,23100, $-   ,
0,0,50400," $1,273.61 ",
584500,0,772400," $8,419.16 ",1880.0
291800,0,462900," $5,045.61 ",1915.0
387600,0,558500," $6,087.65 ",1900.0
0,0,145200," $1,582.68 ",
450200,0,610800," $6,657.72 ",1900.0
485900,0,662100," $7,216.89 ",1900.0
0,0,0, $-   ,1900.0
565700,0,565700," $6,166.13 ",2017.0
549100,0,549100," $5,985.19 ",2017.0
573800,0,573800," $6,254.42 ",2017.0
514000,0,685100," $7,467.59 ",1900.0
645900,0,887000," $9,668.30 ",1900.0
842100,0,1074900," $11,716.41 ",1900.0
338600,0,580000," $6,322.00 ",1900.0
313700,0,510700," $5,566.63 ",1900.0
359000,0,541600," $5,903.44 ",1900.0
0,0,0, $-   ,2017.0
415900,0,415900," $4,533.31 ",2017.0
470200,0,470200," $5,125.18 ",2017.0
504400,0,504400," $5,497.96 ",2017.0
182700,0,440300," $4,799.27 ",1876.0
254300,0,427000," $4,654.30 ",1900.0
200,0,31600, $-   ,
0,0,54600, $595.14 ,
200,0,31600, $-   ,
396100,0,566800, $-   ,1915.0
200,0,31600, $-   ,
0,0,45500, $-   ,
200,0,47700, $-   ,
200,0,47700, $-   ,
200,0,47700, $-   ,
200,0,47700, $-   ,
200,0,47700, $-   ,
200,0,47700, $-   ,
200,0,47700, $-   ,
200,0,47600, $-   ,
1467987,0,2334088, $-   ,1996.0
3498990,0,5563366, $-   ,1899.0
445600,0,623100," $6,791.79 ",1905.0
0,0,48300, $526.47 ,
369100,0,553100," $6,028.79 ",1905.0
469000,0,647700," $7,059.93 ",1905.0
578200,0,762400," $8,310.16 ",1905.0
534300,0,710200," $7,741.18 ",1905.0
0,0,30400, $331.36 ,
526360,0,836908, $-   ,
200,0,90000, $-   ,
200,0,47700, $-   ,
0,0,221500, $-   ,
200,0,76200, $-   ,
0,0,3400, $-   ,
200,0,87300, $-   ,
200,0,645700, $-   ,
0,0,79100," $1,998.86 ",
1205500,0,8558000," $216,260.66 ",
200,0,5300200, $-   ,
0,0,55600," $1,405.01 ",
200,0,563500, $-   ,
771900,0,771900," $19,505.91 ",
9218000,0,13681300," $345,726.45 ",1960.0
0,0,1654300, $-   ,
200,0,34500, $-   ,
492700,0,605200," $12,684.54 ",1920.0
2390400,0,3992300," $100,885.42 ",1979.0
0,0,2116700," $53,489.01 ",
200,0,18800, $-   ,
0,0,554300, $-   ,
155300,0,477500," $12,066.43 ",1965.0
0,0,1945500," $49,162.79 ",
0,0,251400, $-   ,
0,0,1343000," $33,937.61 ",
192800,0,373600," $4,072.24 ",1890.0
581300,0,808100," $8,808.29 ",1900.0
558000,0,775800," $8,456.22 ",1905.0
640000,0,849200," $9,256.28 ",1900.0
536200,0,730100," $7,958.09 ",2003.0
444200,0,658700," $7,179.83 ",1900.0
846100,0,1078100," $11,751.29 ",1900.0
666400,0,921900," $10,048.71 ",1900.0
0,0,0, $-   ,1890.0
623500,0,864800," $9,426.32 ",1899.0
646000,0,840900," $9,165.81 ",1900.0
628500,0,818900," $8,926.01 ",1905.0
601900,0,782400," $8,528.16 ",1900.0
452900,0,624700," $6,809.23 ",1910.0
438800,0,596400," $9,414.76 ",1910.0
532100,0,532100," $5,799.89 ",1890.0
517900,0,517900," $5,645.11 ",1890.0
563700,0,563700," $6,144.33 ",1890.0
219600,0,374400," $4,080.96 ",1900.0
571500,0,776000," $8,458.40 ",1916.0
242800,0,414700," $4,520.23 ",1900.0
209200,0,429800," $4,684.82 ",1900.0
735600,0,1403800," $35,474.03 ",1960.0
278900,0,743000," $18,775.61 ",1964.0
0,0,4557800," $115,175.61 ",
367200,0,476800," $12,048.74 ",1950.0
291300,0,404200," $8,003.64 ",1900.0
386400,0,489800," $12,377.25 ",1950.0
63800,0,81800," $2,067.09 ",1920.0
812000,0,1215700," $30,720.74 ",1903.0
525200,0,685500," $12,397.27 ",1920.0
426400,0,584400," $10,149.56 ",1910.0
565000,0,789600," $8,606.64 ",1900.0
218100,0,352900," $6,736.94 ",1899.0
537350,0,706150," $11,553.14 ",1910.0
537350,0,706150," $11,553.14 ",1910.0
329900,0,445300," $8,566.00 ",1900.0
0,0,50400," $1,273.61 ",
0,0,53800," $1,359.53 ",
1603700,0,2354000," $59,485.58 ",1970.0
753500,0,988700," $24,984.45 ",1905.0
432300,0,633200," $16,000.96 ",1930.0
0,0,2995800, $-   ,
890600,0,1496200," $37,808.97 ",
403100,0,590000," $6,431.00 ",1880.0
45400,0,65500," $1,655.19 ",1935.0
0,0,82800, $902.52 ,
347300,0,504300," $5,496.87 ",1900.0
0,0,4800, $52.32 ,
0,0,1900, $20.71 ,
0,0,800, $8.72 ,
0,0,700, $7.63 ,
131100,0,217700," $5,501.28 ",1960.0
200,0,59600, $-   ,
0,0,38900, $424.01 ,
645600,0,848200," $9,245.38 ",2014.0
0,0,77700, $846.93 ,
521000,0,730600," $7,963.54 ",1910.0
200,0,1500, $-   ,
484800,0,693500," $7,559.15 ",1910.0
309800,0,499500," $5,444.55 ",1910.0
298900,0,488300," $5,322.47 ",1899.0
502800,0,666700," $7,267.03 ",1910.0
0,0,43600," $1,101.77 ",
366300,0,574900," $6,266.41 ",1910.0
304500,0,486100," $5,298.49 ",1900.0
147800,0,189200," $4,781.08 ",1910.0
1134800,0,1642400," $41,503.45 ",1930.0
53191000,0,62980500," $1,591,517.24 ",2014.0
200,0,4393100, $-   ,
0,0,0, $-   ,2017.0
0,0,848000," $21,428.96 ",
612200,0,612200," $6,672.98 ",2017.0
589600,0,589600," $6,426.64 ",2017.0
617700,0,617700," $6,732.93 ",2017.0
628800,0,628800," $6,853.92 ",2017.0
557300,0,557300," $6,074.57 ",2017.0
0,0,405500," $10,246.99 ",
519100,0,519100," $5,658.19 ",2017.0
602800,0,602800," $6,570.52 ",2017.0
611800,0,611800," $6,668.62 ",2017.0
632900,0,632900," $6,898.61 ",2017.0
605900,0,605900," $6,604.31 ",2017.0
0,0,5741800," $145,095.29 ",
242600,0,242600," $2,644.34 ",2017.0
493600,0,493600," $5,380.24 ",2017.0
577800,0,577800," $6,298.02 ",2017.0
608900,0,608900," $6,637.01 ",2017.0
617900,0,617900," $6,735.11 ",2017.0
1493300,0,2391300," $26,065.17 ",1910.0
306300,0,306300," $3,338.67 ",2017.0
582400,0,582400," $6,348.16 ",2017.0
502400,0,502400," $5,476.16 ",2017.0
492900,0,492900," $5,372.61 ",2017.0
0,0,207000," $5,230.89 ",
829400,0,1187000," $25,049.27 ",1950.0
0,0,0, $-   ,1900.0
827800,0,1150800," $12,543.72 ",1915.0
677200,0,1038900," $11,324.01 ",1900.0
255400,0,364600," $5,808.40 ",1899.0
0,0,0, $-   ,2019.0
584900,0,584900," $6,375.41 ",2019.0
580600,0,580600," $6,328.54 ",2019.0
3507600,0,10045700," $253,854.84 ",1986.0
584700,0,584700," $6,373.23 ",2019.0
590800,0,590800," $6,439.72 ",2019.0
598600,0,598600," $6,524.74 ",2019.0
629500,0,629500," $6,861.55 ",2019.0
574000,0,574000," $6,256.60 ",2019.0
0,0,28300, $308.47 ,
585100,0,585100," $6,377.59 ",2019.0
610300,0,610300," $6,652.27 ",2019.0
0,0,251000," $2,735.90 ",
53260300,0,72789500," $793,405.55 ",1967.0
0,0,0, $-   ,1960.0
393400,0,393400," $4,288.06 ",1960.0
125000,0,278000," $7,025.06 ",1960.0
511000,0,511000," $5,569.90 ",1960.0
418600,0,418600," $4,562.74 ",1960.0
485300,0,485300," $5,289.77 ",1960.0
409100,0,409100," $4,459.19 ",1960.0
354800,0,354800," $3,867.32 ",1960.0
552200,0,552200," $6,018.98 ",1960.0
476400,0,476400," $5,192.76 ",1960.0
550000,0,550000," $5,995.00 ",1960.0
459100,0,459100," $5,004.19 ",1960.0
406400,0,406400," $4,429.76 ",1960.0
379300,0,379300," $4,134.37 ",1960.0
660000,0,660000," $7,194.00 ",1960.0
395600,0,395600," $4,312.04 ",1960.0
424500,0,424500," $4,627.05 ",1960.0
455200,0,455200," $4,961.68 ",1960.0
350800,0,350800," $3,823.72 ",1960.0
510200,0,510200," $5,561.18 ",1960.0
409300,0,409300," $4,461.37 ",1960.0
559600,0,559600," $6,099.64 ",1960.0
467000,0,467000," $5,090.30 ",1960.0
461500,0,656200," $7,152.58 ",1910.0
509700,0,702700," $7,659.43 ",1910.0
453500,0,645400," $7,034.86 ",1910.0
481900,0,672800," $7,333.52 ",1910.0
526100,0,716100," $7,805.49 ",1910.0
616400,0,805300," $8,777.77 ",1910.0
570600,0,758100," $8,263.29 ",1921.0
430200,0,616400," $6,718.76 ",1910.0
0,0,28800, $313.92 ,
689600,0,911300," $9,933.17 ",1940.0
0,0,0, $-   ,1918.0
622100,0,846200," $9,223.58 ",1940.0
487200,0,735800," $8,020.22 ",1940.0
0,0,10000, $-   ,
467900,0,657500," $16,615.03 ",1960.0
24841900,0,33147700," $837,642.38 ",1950.0
51435500,0,64335400," $701,255.86 ",2020.0
39255400,0,56955600," $1,439,268.01 ",1972.0
0,0,68800, $749.92 ,
746300,0,947200," $10,324.48 ",1920.0
553200,0,765100," $8,339.59 ",1910.0
420000,0,604600," $6,590.14 ",1910.0
0,0,0, $-   ,1900.0
478100,0,478100," $5,211.29 ",1900.0
