zipcode,total_living_area,neighborhood
02090,3609.0,Westwood
02108,11164228.0,Back Bay/Beacon Hill
02109,14180535.0,Central Boston
02110,22052155.0,Central Boston
02111,15997658.0,Central Boston
02112,0.0,Central Boston
02113,4169966.0,Central Boston
02114,19555925.0,Central Boston
02115,20902009.0,Fenway/Kenmore
02116,42280918.0,Back Bay/Beacon Hill
02118,20797920.0,South End
02119,19985382.0,Roxbury
02120,8583260.0,Roxbury
02121,14682954.0,Roxbury
02122,14213277.0,Dorchester
02124,27628079.0,Dorchester
02125,20233509.0,Dorchester
02126,12843390.0,Mattapan
02127,24393358.0,South Boston
02128,20420989.0,East Boston
02129,16412450.0,Charlestown
02130,22535936.0,Jamaica Plain
02131,15598373.0,Roslindale
02132,18555501.0,West Roxbury
02133,414936.0,Back Bay/Beacon Hill
02134,14735967.0,Allston/Brighton
02135,26542352.0,Allston/Brighton
02136,16191304.0,Hyde Park
02137,3603.0,Dedham
02199,1291871.0,Back Bay/Beacon Hill
02210,14573046.0,South Boston
02215,17138726.0,Fenway/Kenmore
02445,59966.0, Brookline
02446,21414.0, Brookline
02467,1330580.0, Brookline
