zipcode,total_living_area,neighborhood
02026,6861.6,Dedham
02108,12676543.200000003,Back Bay/Beacon Hill
02109,14228504.4,Central Boston
02110,28014364.0,Central Boston
02111,18227188.65,Central Boston
02113,4611742.5,Central Boston
02114,27638592.000000007,Central Boston
02115,39884611.8,Fenway/Kenmore
02116,44301279.69999994,Back Bay/Beacon Hill
02118,26350182.25,South End
02119,23951348.20000002,Roxbury
02120,10571413.799999993,Roxbury
02121,16520837.950000014,Roxbury
02122,15733804.099999994,Dorchester
02124,31781001.14999999,Dorchester
02125,27555135.9,Dorchester
02126,13291724.100000001,Mattapan
02127,39177027.5,South Boston
02128,33760929.85000001,East Boston
02129,19426786.2,Charlestown
02130,26560106.449999988,Jamaica Plain
02131,18295745.9,Roslindale
02132,21550942.19999998,West Roxbury
02133,519628.0,Back Bay/Beacon Hill
02134,18061425.450000003,Allston/Brighton
02135,53973110.499999985,Allston/Brighton
02136,20461794.849999994,Hyde Park
02137,81652.0,Dedham
02199,1516807.0,Back Bay/Beacon Hill
02201,172517.0,Central Boston
02210,23935964.6,South Boston
02215,22864914.3,Fenway/Kenmore
02219,54510.0,South Boston
02445,65964.0, Brookline
02446,22497.4, Brookline
02458,2294.0,Newton
02467,1359811.25, Brookline
