zipcode,total_res_units,total_com_units,total_rc_units
02108,1031.0,216.0,2.0
02109,1199.0,84.0,8.0
02110,872.0,273.0,0.0
02111,1635.0,154.0,285.0
02113,1132.0,38.0,28.0
02114,3334.0,105.0,2.0
02115,2806.0,47.0,3.0
02116,15977.0,362.0,173.0
02118,6709.0,199.0,25.0
02119,1321.0,36.0,7.0
02120,475.0,5.0,0.0
02121,402.0,3.0,0.0
02122,1384.0,6.0,10.0
02124,1628.0,32.0,54.0
02125,1655.0,15.0,2.0
02126,357.0,2.0,0.0
02127,6901.0,61.0,26.0
02128,1345.0,24.0,10.0
02129,3222.0,30.0,7.0
02130,5586.0,39.0,51.0
02131,1540.0,30.0,14.0
02132,1504.0,15.0,2.0
02134,2044.0,31.0,0.0
02135,4117.0,26.0,2.0
02136,582.0,5.0,0.0
02199,15.0,0.0,0.0
02210,580.0,29.0,0.0
02215,2032.0,44.0,3.0
02446,3.0,0.0,0.0
02467,934.0,0.0,0.0
