zipcode,total_res_units,total_com_units,total_rc_units
02108,2425.0,2626.0,0
02109,2657.0,3416.0,0
02110,3348.0,3308.0,0
02111,4064.0,5741.0,0
02113,2431.0,3161.0,0
02114,7045.0,11081.0,0
02115,6153.0,23306.0,0
02116,13091.0,17912.0,0
02118,16474.0,11529.0,0
02119,2370.0,7632.0,0
02120,995.0,94937.0,0
02121,835.0,4996.0,0
02122,3184.0,3203.0,0
02124,3341.0,16987.0,0
02125,3987.0,6296.0,0
02126,585.0,3203.0,0
02127,14877.0,11080.0,0
02128,5249.0,7271.0,0
02129,7276.0,3788.0,0
02130,9633.0,4923.0,0
02131,3691.0,3727.0,0
02132,2523.0,2306.0,0
02134,4273.0,23556.0,0
02135,17687.0,13206.0,0
02136,1644.0,4864.0,0
02137,0,1.0,0
02199,33.0,347.0,0
02201,0,6.0,0
02210,2305.0,3498.0,0
02215,5224.0,14586.0,0
02445,0,52.0,0
02446,6.0,0,0
02467,1572.0,51.0,0
