zipcode,total_res_units,total_com_units,total_rc_units
02108,1162.0,234.0,2.0
02109,1299.0,80.0,4.0
02110,1431.0,271.0,0.0
02111,2150.0,185.0,285.0
02113,1154.0,39.0,28.0
02114,3184.0,129.0,4.0
02115,2836.0,37.0,2.0
02116,6457.0,140.0,35.0
02118,5096.0,177.0,13.0
02119,960.0,26.0,10.0
02120,491.0,9.0,4.0
02121,345.0,7.0,2.0
02122,1422.0,19.0,0.0
02124,1582.0,28.0,6.0
02125,1838.0,22.0,2.0
02126,229.0,5.0,0.0
02127,6869.0,98.0,13.0
02128,1667.0,20.0,11.0
02129,3495.0,35.0,5.0
02130,4542.0,46.0,47.0
02131,1651.0,17.0,5.0
02132,1234.0,17.0,2.0
02134,1942.0,40.0,0.0
02135,4205.0,35.0,1.0
02136,768.0,16.0,12.0
02199,15.0,0.0,0.0
02210,779.0,53.0,3.0
02215,2392.0,199.0,3.0
02446,3.0,0.0,0.0
02467,600.0,0.0,0.0
