zipcode,total_living_area,neighborhood
02018,143918.0, Hingham
02026,11159.0,Dedham
02108,12300190.0,Back Bay/Beacon Hill
02109,13934685.0,Central Boston
02110,25551520.0,Central Boston
02111,17927878.0,Central Boston
02112,,Central Boston
02113,4532223.0,Central Boston
02114,24836250.0,Central Boston
02115,39327743.0,Fenway/Kenmore
02116,43039667.0,Back Bay/Beacon Hill
02118,24346442.0,South End
02119,23539870.0,Roxbury
02120,10245301.0,Roxbury
02121,16363482.0,Roxbury
02122,15485515.0,Dorchester
02124,31091611.0,Dorchester
02125,26836150.0,Dorchester
02126,12940652.0,Mattapan
02127,36073036.0,South Boston
02128,31881737.0,East Boston
02129,19204666.0,Charlestown
02130,26873672.0,Jamaica Plain
02131,17958120.0,Roslindale
02132,20820241.0,West Roxbury
02133,519628.0,Back Bay/Beacon Hill
02134,17172212.0,Allston/Brighton
02135,36818058.0,Allston/Brighton
02136,20542001.0,Hyde Park
02137,2908.0,Dedham
02146,, Brookline
02186,3064.0,Milton
02199,1516808.0,Back Bay/Beacon Hill
02201,172517.0,Central Boston
02210,20346347.0,South Boston
02215,20527258.0,Fenway/Kenmore
02219,116729.0,South Boston
02445,65964.0, Brookline
02446,22497.0, Brookline
02467,1360968.0, Brookline
