zipcode,total_living_area,neighborhood
02090,3609.0,Westwood
02108,11120921.0,Back Bay/Beacon Hill
02109,14432595.0,Central Boston
02110,23196444.0,Central Boston
02111,16400784.0,Central Boston
02112,0.0,Central Boston
02113,4375916.0,Central Boston
02114,23735872.0,Central Boston
02115,33582534.0,Fenway/Kenmore
02116,42690855.0,Back Bay/Beacon Hill
02118,23165398.0,South End
02119,21988657.0,Roxbury
02120,9522697.0,Roxbury
02121,15772855.0,Roxbury
02122,14641967.0,Dorchester
02124,28739338.0,Dorchester
02125,24719387.0,Dorchester
02126,14154226.0,Mattapan
02127,31489331.0,South Boston
02128,29441403.0,East Boston
02129,18781899.0,Charlestown
02130,24567355.0,Jamaica Plain
02131,16999460.0,Roslindale
02132,19249701.0,West Roxbury
02133,414936.0,Back Bay/Beacon Hill
02134,15812697.0,Allston/Brighton
02135,32615205.0,Allston/Brighton
02136,17113512.0,Hyde Park
02137,3603.0,Dedham
02199,1291871.0,Back Bay/Beacon Hill
02201,,Central Boston
02210,15334931.0,South Boston
02215,18532759.0,Fenway/Kenmore
02445,59966.0, Brookline
02446,21414.0, Brookline
02467,1333762.0, Brookline
