zipcode,total_res_units,total_com_units,total_rc_units
02108,1155.0,235.0,0
02109,1298.0,80.0,0
02110,1394.0,261.0,0
02111,2201.0,185.0,0
02113,1155.0,39.0,0
02114,3507.0,137.0,0
02115,2917.0,43.0,0
02116,6491.0,170.0,0
02118,5308.0,176.0,0
02119,1295.0,28.0,0
02120,436.0,9.0,0
02121,391.0,7.0,0
02122,1492.0,19.0,0
02124,1669.0,30.0,0
02125,1961.0,20.0,0
02126,275.0,5.0,0
02127,7381.0,104.0,0
02128,2014.0,23.0,0
02129,3545.0,36.0,0
02130,4551.0,45.0,0
02131,1742.0,17.0,0
02132,1239.0,17.0,0
02134,2108.0,40.0,0
02135,4310.0,137.0,0
02136,768.0,16.0,0
02146,2.0,0.0,0
02199,15.0,0.0,0
02210,1000.0,61.0,0
02215,2736.0,200.0,0
02446,3.0,0.0,0
02467,715.0,0.0,0
