zipcode,total_living_area,neighborhood
02090,3609.0,Westwood
02108,11122824.0,Back Bay/Beacon Hill
02109,14163723.0,Central Boston
02110,23159117.0,Central Boston
02111,16096862.0,Central Boston
02112,0.0,Central Boston
02113,4173184.0,Central Boston
02114,19554253.0,Central Boston
02115,21275997.0,Fenway/Kenmore
02116,41665609.0,Back Bay/Beacon Hill
02118,20735309.0,South End
02119,20165449.0,Roxbury
02120,8678735.0,Roxbury
02121,14722731.0,Roxbury
02122,14232667.0,Dorchester
02124,27751501.0,Dorchester
02125,20391149.0,Dorchester
02126,12999381.0,Mattapan
02127,24996639.0,South Boston
02128,20495764.0,East Boston
02129,16502272.0,Charlestown
02130,22781738.0,Jamaica Plain
02131,16332176.0,Roslindale
02132,18534620.0,West Roxbury
02133,414936.0,Back Bay/Beacon Hill
02134,14867395.0,Allston/Brighton
02135,26582497.0,Allston/Brighton
02136,16212024.0,Hyde Park
02137,3603.0,Dedham
02199,1290614.0,Back Bay/Beacon Hill
02210,14562849.0,South Boston
02215,17219207.0,Fenway/Kenmore
02445,59966.0, Brookline
02446,21414.0, Brookline
02467,1331198.0, Brookline
