zipcode,total_res_units,total_com_units,total_rc_units
02108,1178.0,235.0,2.0
02109,1299.0,80.0,4.0
02110,1431.0,271.0,0.0
02111,2150.0,185.0,285.0
02113,1161.0,40.0,28.0
02114,3442.0,135.0,4.0
02115,2877.0,40.0,2.0
02116,6459.0,143.0,35.0
02118,5158.0,178.0,13.0
02119,1056.0,28.0,12.0
02120,447.0,9.0,4.0
02121,371.0,7.0,2.0
02122,1472.0,19.0,0.0
02124,1624.0,29.0,6.0
02125,1913.0,22.0,5.0
02126,241.0,5.0,0.0
02127,7083.0,99.0,36.0
02128,1876.0,21.0,13.0
02129,3526.0,35.0,5.0
02130,4623.0,46.0,50.0
02131,1690.0,17.0,5.0
02132,1253.0,17.0,2.0
02134,1952.0,40.0,0.0
02135,4216.0,35.0,1.0
02136,781.0,16.0,12.0
02199,15.0,0.0,0.0
02210,825.0,54.0,3.0
02215,2393.0,200.0,3.0
02446,3.0,0.0,0.0
02467,600.0,0.0,0.0
