zipcode,total_res_units,total_com_units,total_rc_units
02108,860.0,214.0,2.0
02109,1291.0,87.0,8.0
02110,910.0,293.0,0.0
02111,1637.0,171.0,285.0
02113,1118.0,38.0,28.0
02114,2791.0,111.0,1.0
02115,2636.0,39.0,1.0
02116,6094.0,137.0,26.0
02118,4666.0,179.0,12.0
02119,854.0,21.0,7.0
02120,441.0,5.0,0.0
02121,376.0,5.0,0.0
02122,1307.0,9.0,4.0
02124,1552.0,23.0,6.0
02125,1622.0,19.0,2.0
02126,329.0,2.0,0.0
02127,5568.0,72.0,10.0
02128,1390.0,14.0,5.0
02129,3078.0,34.0,7.0
02130,4073.0,41.0,41.0
02131,1349.0,15.0,5.0
02132,1048.0,15.0,2.0
02134,1797.0,39.0,0.0
02135,3520.0,26.0,2.0
02136,617.0,13.0,74.0
02199,15.0,0.0,0.0
02210,714.0,39.0,3.0
02215,2157.0,52.0,5.0
02446,3.0,0.0,0.0
02467,787.0,0.0,0.0
