zipcode,total_living_area,neighborhood
02026,6861.6,Dedham
02108,12458093.200000001,Back Bay/Beacon Hill
02109,14029861.4,Central Boston
02110,27282113.0,Central Boston
02111,17891984.65,Central Boston
02113,4579836.300000001,Central Boston
02114,27638655.40000001,Central Boston
02115,39824748.099999994,Fenway/Kenmore
02116,43492363.89999998,Back Bay/Beacon Hill
02118,26174965.549999997,South End
02119,23635670.60000003,Roxbury
02120,10389620.600000003,Roxbury
02121,16479505.9,Roxbury
02122,15621635.25,Dorchester
02124,31510976.55000001,Dorchester
02125,27107935.09999999,Dorchester
02126,13069922.850000001,Mattapan
02127,38983437.300000004,South Boston
02128,33541557.250000004,East Boston
02129,19526199.499999993,Charlestown
02130,27048867.34999998,Jamaica Plain
02131,18130605.65000001,Roslindale
02132,21227572.79999999,West Roxbury
02133,519628.0,Back Bay/Beacon Hill
02134,17508039.299999997,Allston/Brighton
02135,38096273.39999997,Allston/Brighton
02136,20295485.049999997,Hyde Park
02137,2908.0,Dedham
02199,1516808.0,Back Bay/Beacon Hill
02201,172517.0,Central Boston
02210,22714044.6,South Boston
02215,21371105.299999997,Fenway/Kenmore
02219,,South Boston
02445,65964.0, Brookline
02446,22497.4, Brookline
02458,2294.0,Newton
02467,1356730.65, Brookline
