zipcode,total_res_units,total_com_units,total_rc_units
02108,1162.0,234.0,2.0
02109,1293.0,80.0,4.0
02110,989.0,270.0,0.0
02111,2146.0,175.0,285.0
02113,1142.0,38.0,28.0
02114,3181.0,128.0,4.0
02115,2667.0,34.0,2.0
02116,6465.0,140.0,35.0
02118,5056.0,174.0,13.0
02119,930.0,26.0,10.0
02120,451.0,7.0,3.0
02121,335.0,7.0,2.0
02122,1375.0,15.0,0.0
02124,1511.0,27.0,6.0
02125,1770.0,19.0,2.0
02126,224.0,5.0,0.0
02127,6562.0,92.0,13.0
02128,1541.0,17.0,11.0
02129,3432.0,35.0,5.0
02130,4459.0,45.0,44.0
02131,1594.0,16.0,5.0
02132,1203.0,17.0,2.0
02134,1938.0,40.0,0.0
02135,4194.0,35.0,1.0
02136,761.0,16.0,12.0
02199,15.0,0.0,0.0
02210,778.0,52.0,3.0
02215,2384.0,199.0,3.0
02446,3.0,0.0,0.0
02467,600.0,0.0,0.0
