zipcode,total_res_units,total_com_units,total_rc_units
02108,1027.0,216.0,2.0
02109,1302.0,89.0,8.0
02110,916.0,278.0,0.0
02111,1671.0,169.0,285.0
02113,1162.0,39.0,28.0
02114,3344.0,106.0,2.0
02115,2818.0,47.0,3.0
02116,16198.0,370.0,173.0
02118,6834.0,199.0,25.0
02119,1344.0,36.0,7.0
02120,474.0,5.0,0.0
02121,424.0,2.0,0.0
02122,1459.0,13.0,10.0
02124,1760.0,32.0,54.0
02125,1730.0,16.0,2.0
02126,365.0,2.0,0.0
02127,7153.0,68.0,26.0
02128,1383.0,26.0,10.0
02129,3268.0,30.0,7.0
02130,5774.0,44.0,51.0
02131,1498.0,30.0,14.0
02132,1441.0,15.0,2.0
02134,2096.0,36.0,0.0
02135,4127.0,27.0,2.0
02136,618.0,5.0,0.0
02199,15.0,0.0,0.0
02210,669.0,34.0,3.0
02215,2300.0,48.0,3.0
02446,3.0,0.0,0.0
02467,934.0,0.0,0.0
