zipcode,total_living_area,neighborhood,Year
0008G,6093.0,,2009
0022B,9990.0,,2009
00PH5,6764.0,,2009
F-103,1248.0,,2009
114-7,342.0,,2009
0022H,2451.0,,2009
00501,1057.0,,2009
B-501,3450.0,,2009
131-16,497.0,,2009
14D-6,1205.0,,2009
00310,706.0,,2009
229-11,701.0,,2009
1568-3,306.0,,2009
12K-6,542.0,,2009
17K-8,1147.0,,2009
1730-1,588.0,,2009
364-26,504.0,,2009
131-34,497.0,,2009
0N-78,0.0,,2009
PH216,2091.0,,2009
02A &,730.0,,2009
H-502,1509.0,,2009
1165-2,1282.0,,2009
118-12,562.0,,2009
0IX-1,1380.0,,2009
037-G,1215.0,,2009
A-207,625.0,,2009
800-5,440.0,,2009
THEATER,,,2009
479-12,710.0,,2009
800-2,730.0,,2009
000CH,1352.0,,2009
077-9,515.0,,2009
29-10,712.0,,2009
034-A,763.0,,2009
04-17,1273.0,,2009
5-224,1795.0,,2009
02O-6,742.0,,2009
594-8,720.0,,2009
00008,6224.0,,2009
354-9,590.0,,2009
PS-224,0.0,,2009
334-2,485.0,,2009
6-202,514.0,,2009
317-9,306.0,,2009
244-1B,1173.0,,2009
047-8,1921.0,,2009
0E-12,845.0,,2009
III-2,1050.0,,2009
000GA,604.0,,2009
01464,1337.0,,2009
W-37-6,575.0,,2009
0110H,4193.0,,2009
592-7,720.0,,2009
00157,595.0,,2009
01411,980.0,,2009
30-36,661.0,,2009
3-504,335.0,,2009
B-14-2,780.0,,2009
01505,1013.0,,2009
084-5,877.0,,2009
202-C,0.0,,2009
W-20-5,775.0,,2009
0II-4,1380.0,,2009
0005D,19953.0,,2009
00077,364.0,,2009
C-104,1766.0,,2009
0A-2B,432.0,,2009
PH 1B,2667.0,,2009
168-4,653.0,,2009
00716,5319.0,,2009
63-14,489.0,,2009
9 WCOR,677.0,,2009
09016,1704.0,,2009
011-G,3078.0,,2009
016-O,1656.0,,2009
34-2A,550.0,,2009
136-4,828.0,,2009
3-503,481.0,,2009
01802,1843.0,,2009
115-1,740.0,,2009
251-A,1551.0,,2009
005-F,8890.0,,2009
796-3,922.0,,2009
C-205,1778.0,,2009
0HSNG,1222.0,,2009
144-17,646.0,,2009
093-4,1408.0,,2009
310-3,364.0,,2009
0N-74,0.0,,2009
04F-8,806.0,,2009
0084D,919.0,,2009
08-31,1004.0,,2009
00512,23351.0,,2009
8-133,1282.0,,2009
009-P,2860.0,,2009
00507,829.0,,2009
0A-40,0.0,,2009
09-90,1230.0,,2009
00195,1955.0,,2009
379-2,717.0,,2009
2-403,1017.0,,2009
00G-2,5016.0,,2009
021-D,2475.0,,2009
W-21-2,435.0,,2009
052-2,2573.0,,2009
096-7,1954.0,,2009
16-87,1266.0,,2009
0035B,6767.0,,2009
017-R,2006.0,,2009
70-1B,335.0,,2009
0403W,1564.0,,2009
T-310,872.0,,2009
021-C,2330.0,,2009
01214,971.0,,2009
190-6,519.0,,2009
GARDEN LEVEL,657.0,,2009
090-1,613.0,,2009
189-11,480.0,,2009
02-35,377.0,,2009
D-109,2929.0,,2009
251-E,1458.0,,2009
00F-1,845.0,,2009
119 &,0.0,,2009
000D1,877.0,,2009
378-6,1125.0,,2009
245-21,690.0,,2009
01809,1053.0,,2009
07-16,1288.0,,2009
00054,655.0,,2009
1572-5,700.0,,2009
032-2,8166.0,,2009
59F-4,245.0,,2009
1874-7,520.0,,2009
105-8,1130.0,,2009
A-307,624.0,,2009
A-602,2990.0,,2009
189-9,344.0,,2009
228-2A,2613.0,,2009
66-65,564.0,,2009
024-4,1662.0,,2009
0004H,3821.0,,2009
025-B,2312.0,,2009
0004C,34032.0,,2009
0002I,1689.0,,2009
00529,2494.0,,2009
093-1,1612.0,,2009
46A-1,519.0,,2009
140-4,1735.0,,2009
W-30-4,775.0,,2009
006-5,5092.0,,2009
08P-6,542.0,,2009
62-24,632.0,,2009
0126H,846.0,,2009
051-3,2762.0,,2009
0F208,1200.0,,2009
D-507,1498.0,,2009
001-8,5030.0,,2009
10L-6,542.0,,2009
0A3-1,470.0,,2009
563-1,874.0,,2009
PH228,2070.0,,2009
10D-6,1205.0,,2009
A-208,497.0,,2009
9-12A,502.0,,2009
1714-1,721.0,,2009
00U-7,0.0,,2009
8-201,946.0,,2009
040-8,1750.0,,2009
237-5,865.0,,2009
00074,482.0,,2009
483-22,690.0,,2009
00102,78593.0,,2009
56-18,590.0,,2009
312-5,620.0,,2009
70-3A,390.0,,2009
PM301,1506.0,,2009
0032D,4378.0,,2009
1259-8,968.0,,2009
W-44-5,775.0,,2009
334-7,990.0,,2009
89-12,575.0,,2009
014-P,2434.0,,2009
PM304,937.0,,2009
PS-22,0.0,,2009
0004D,22661.0,,2009
003OB,730.0,,2009
002OB,730.0,,2009
005-5,5962.0,,2009
790-32,730.0,,2009
06A-8,833.0,,2009
483-31,765.0,,2009
116-10,1576.0,,2009
00200,8367.0,,2009
018-8,831.0,,2009
1997-1,330.0,,2009
67-B1,600.0,,2009
309-17,570.0,,2009
022-T,674.0,,2009
069-4,3401.0,,2009
00CS1,0.0,,2009
276-34,690.0,,2009
437-32,294.0,,2009
011-F,6464.0,,2009
52-42,826.0,,2009
121-8,740.0,,2009
131-21,500.0,,2009
70-9A,390.0,,2009
00801,1057.0,,2009
C-601,1905.0,,2009
203-10,0.0,,2009
14C-8,1147.0,,2009
125-4,1987.0,,2009
02C-6,742.0,,2009
125-3,2958.0,,2009
W-46-6,775.0,,2009
10-12,1552.0,,2009
1576-7,473.0,,2009
245-C,1659.0,,2009
00447,1085.0,,2009
0PH-7,485.0,,2009
B-36-4,780.0,,2009
08D-6,1205.0,,2009
009-J,3257.0,,2009
0A-68,1804.0,,2009
0F402,812.0,,2009
00332,4677.0,,2009
313-B1,551.0,,2009
06F-8,806.0,,2009
317-2,451.0,,2009
00532,2788.0,,2009
24-06,1025.0,,2009
00915,1950.0,,2009
1762-8,807.0,,2009
36-22,550.0,,2009
1683-4,335.0,,2009
B-701,2251.0,,2009
199-1,1550.0,,2009
017-M,3150.0,,2009
18-79,1535.0,,2009
794-3,1268.0,,2009
16-86,1266.0,,2009
048-5,884.0,,2009
244-2B,639.0,,2009
1263-2,921.0,,2009
228-3A,2803.0,,2009
00U-2,0.0,,2009
6-501,742.0,,2009
05A-8,833.0,,2009
0025E,5327.0,,2009
1730-6,764.0,,2009
144-18,646.0,,2009
003-3,10625.0,,2009
3-104,470.0,,2009
023-C,1962.0,,2009
0B-37,1849.0,,2009
189-3,344.0,,2009
1758-1,699.0,,2009
22B-8,833.0,,2009
VII-1,1380.0,,2009
0A-25,1001.0,,2009
021-5,982.0,,2009
0024D,4376.0,,2009
02B-8,833.0,,2009
1641-5,338.0,,2009
148-3,572.0,,2009
015-T,675.0,,2009
00423,10680.0,,2009
D-105,1346.0,,2009
25-103,720.0,,2009
0F511,1220.0,,2009
239-D,1491.0,,2009
00052,46278.0,,2009
0124A,804.0,,2009
1641-4,516.0,,2009
225-1,730.0,,2009
0202E,1750.0,,2009
017-6,3215.0,,2009
11-29,1100.0,,2009
015-M,2590.0,,2009
120 &,570.0,,2009
096-6,1823.0,,2009
037-B,1630.0,,2009
1625-1,471.0,,2009
0027E,4101.0,,2009
00921,675.0,,2009
20A-8,833.0,,2009
1161-7,826.0,,2009
PS-57,0.0,,2009
237-2,700.0,,2009
00056,22771.0,,2009
I-502,1554.0,,2009
0F-43,0.0,,2009
00022,105345.0,,2009
0006C,17171.0,,2009
B-306,1665.0,,2009
0161A,785.0,,2009
251-3,995.0,,2009
021-R,1065.0,,2009
06I-5,786.0,,2009
01704,2188.0,,2009
026-D,2659.0,,2009
800-19,740.0,,2009
173-3,825.0,,2009
037-D,745.0,,2009
144-8,646.0,,2009
07-11,2326.0,,2009
01507,829.0,,2009
354-15,590.0,,2009
0PH-2,5766.0,,2009
0023C,5437.0,,2009
1177-8,800.0,,2009
00800,3378.0,,2009
0017G,6018.0,,2009
14B-8,833.0,,2009
B-401,4791.0,,2009
W-46-3,775.0,,2009
00N21,0.0,,2009
208-6,842.0,,2009
021-2,4647.0,,2009
III-9,1050.0,,2009
039-C,1226.0,,2009
26-13,750.0,,2009
00058,11194.0,,2009
00430,3919.0,,2009
4-304,336.0,,2009
04-14,2131.0,,2009
115-7,740.0,,2009
313-14,556.0,,2009
B-48-1,780.0,,2009
1568-2,618.0,,2009
0604A,0.0,,2009
145-35,815.0,,2009
596-3,624.0,,2009
0N-11,0.0,,2009
D-212,1121.0,,2009
2-224,1795.0,,2009
025-L,605.0,,2009
1645-3,454.0,,2009
0C-89,0.0,,2009
0G-32,0.0,,2009
B-201,4293.0,,2009
22-14,800.0,,2009
17-4A,446.0,,2009
108-4,1906.0,,2009
00260,1054.0,,2009
02-15,657.0,,2009
00L-C,394.0,,2009
B-308,3030.0,,2009
023-M,580.0,,2009
040-H,879.0,,2009
0F611,2174.0,,2009
0196B,673.0,,2009
00705,1013.0,,2009
14-10,1418.0,,2009
133-1,1980.0,,2009
460-C,599.0,,2009
65-17,721.0,,2009
027TP,3396.0,,2009
239 &,0.0,,2009
12F-6,542.0,,2009
1734-4,769.0,,2009
00903,16640.0,,2009
0F-30,0.0,,2009
00STH,1660.0,,2009
16B-6,536.0,,2009
W-28-4,575.0,,2009
14K-6,542.0,,2009
141-2,2633.0,,2009
11M-6,1182.0,,2009
B-302,3552.0,,2009
206-1C,2952.0,,2009
01303,4135.0,,2009
00626,3121.0,,2009
070-4,470.0,,2009
A-005,1287.0,,2009
04-28,1080.0,,2009
0F-14,0.0,,2009
19F-8,806.0,,2009
02E-8,1119.0,,2009
1673-1,427.0,,2009
PARAMOUNT,,,2009
D-121,766.0,,2009
PH221,2152.0,,2009
142-21,646.0,,2009
594-7,720.0,,2009
048-7,416.0,,2009
131-28,356.0,,2009
C1-307,1093.0,,2009
384-B,600.0,,2009
0F-32,0.0,,2009
1758-8,818.0,,2009
178-7,655.0,,2009
37-1/2,345.0,,2009
E-503,1306.0,,2009
8-204,1004.0,,2009
01A &,730.0,,2009
05-20,385.0,,2009
0083D,900.0,,2009
0F-28,0.0,,2009
01612,2689.0,,2009
007-2,10505.0,,2009
D-418,1201.0,,2009
1564-3,306.0,,2009
58-18,600.0,,2009
47-B1,470.0,,2009
079-3,701.0,,2009
B-72-6,625.0,,2009
01010,4082.0,,2009
00PH6,8353.0,,2009
W-21-1,770.0,,2009
0220A,4622.0,,2009
0027G,2467.0,,2009
PS-138,0.0,,2009
21-38,1339.0,,2009
PS-169,0.0,,2009
029-2,8671.0,,2009
STUDIO 2,698.0,,2009
116-15,1346.0,,2009
34-3B,350.0,,2009
TH-12,1655.0,,2009
012-4,2504.0,,2009
08-42,1003.0,,2009
273-2,656.0,,2009
0302W,2701.0,,2009
125-18,546.0,,2009
0C-91,0.0,,2009
010-8,1569.0,,2009
01510,2519.0,,2009
0626A,0.0,,2009
1742-1,745.0,,2009
D-303,1122.0,,2009
TOWN HOUSE,3804.0,,2009
008-A,10016.0,,2009
0O-16,0.0,,2009
B-16-1,625.0,,2009
249-32,749.0,,2009
12-16 PS19,734.0,,2009
056-9,1100.0,,2009
352-14,550.0,,2009
029-B,1628.0,,2009
PS-35,0.0,,2009
00432,3993.0,,2009
106-4,1568.0,,2009
C-406,2329.0,,2009
101-8,0.0,,2009
39C-4,828.0,,2009
63-1A,695.0,,2009
B-309,1690.0,,2009
15G-8,589.0,,2009
G WCOR,620.0,,2009
1576-2,450.0,,2009
00608,706.0,,2009
0F613,1522.0,,2009
COMM 2,0.0,,2009
16R-6,802.0,,2009
0305A,354.0,,2009
12D-6,1205.0,,2009
00001,3662.0,,2009
PS-164,0.0,,2009
1726-3,764.0,,2009
PH220,2097.0,,2009
017-S,735.0,,2009
0F-37,0.0,,2009
1875-4,1882.0,,2009
09-10,1236.0,,2009
09-15,1198.0,,2009
07B/C,2846.0,,2009
594-9,624.0,,2009
352-7,280.0,,2009
146-1,687.0,,2009
0N-45,0.0,,2009
045-6,1275.0,,2009
78-11,625.0,,2009
237-3,630.0,,2009
402-3,750.0,,2009
00236,701.0,,2009
439-22,351.0,,2009
0A-34,0.0,,2009
025-A,1538.0,,2009
1572-4,556.0,,2009
133-2,2025.0,,2009
W-21-4,770.0,,2009
203-3,1058.0,,2009
0122D,842.0,,2009
0406W,1274.0,,2009
019-U,740.0,,2009
208-1,802.0,,2009
B-103,970.0,,2009
C2-105,963.0,,2009
2-101,470.0,,2009
000A2,8283.0,,2009
02-21,535.0,,2009
004-8,3515.0,,2009
276-23,690.0,,2009
55-07,825.0,,2009
00450,860.0,,2009
479-22,710.0,,2009
14-54,1583.0,,2009
0G-51,0.0,,2009
00310,36452.0,,2009
00012,1646.0,,2009
016-U,740.0,,2009
1669-1,428.0,,2009
B-28-2,780.0,,2009
0065C,730.0,,2009
00451,770.0,,2009
24-A2,785.0,,2009
4-101,437.0,,2009
00617,6753.0,,2009
0027D,4376.0,,2009
275-2,656.0,,2009
WTH &,1476.0,,2009
01217,2206.0,,2009
B-42-4,780.0,,2009
190-8,519.0,,2009
154-1,1052.0,,2009
023-8,1005.0,,2009
2/3A/B,2937.0,,2009
011-D,7908.0,,2009
182-1,1854.0,,2009
0NM31,1029.0,,2009
06G-6,536.0,,2009
D-315,1399.0,,2009
39-17,364.0,,2009
T-409,872.0,,2009
047-1,5232.0,,2009
01516,1798.0,,2009
029-8,684.0,,2009
08K-6,542.0,,2009
115-3,795.0,,2009
027-M,590.0,,2009
142-11,646.0,,2009
079-6,528.0,,2009
239-44,690.0,,2009
8-141,1282.0,,2009
22E-8,1119.0,,2009
313-12,700.0,,2009
M WCOR,1038.0,,2009
63-12,336.0,,2009
00210,36010.0,,2009
0004Q,1179.0,,2009
27-1A,542.0,,2009
00013,103003.0,,2009
0110E,4154.0,,2009
233-8,703.0,,2009
PM302,868.0,,2009
301-5,516.0,,2009
116-9,1353.0,,2009
137-41,440.0,,2009
245-31,690.0,,2009
0PH20,1015.0,,2009
PS 10-10A,0.0,,2009
1254-B,732.0,,2009
0G-34,0.0,,2009
09-18,561.0,,2009
0G-15,0.0,,2009
1269-5,815.0,,2009
11-27,480.0,,2009
0028G,2469.0,,2009
096-4,3584.0,,2009
100-8,2132.0,,2009
48-45,884.0,,2009
12C-6,742.0,,2009
A-206,2063.0,,2009
309-10,700.0,,2009
0G-66,0.0,,2009
140-5,646.0,,2009
B-32-4,780.0,,2009
0A1-3,470.0,,2009
1161-2,936.0,,2009
00005,6288.0,,2009
384-3,1125.0,,2009
118-24,564.0,,2009
9-305,281.0,,2009
70-26,980.0,,2009
T-410,872.0,,2009
0201W,1920.0,,2009
8-132,1282.0,,2009
00139,3923.0,,2009
015-E,7459.0,,2009
112-N,0.0,,2009
140-38,646.0,,2009
0A1-2,470.0,,2009
8-205,281.0,,2009
054-6,1130.0,,2009
3-302,682.0,,2009
D-304,2977.0,,2009
A-403,1876.0,,2009
03C-8,1147.0,,2009
PM103,1025.0,,2009
NR-2A,0.0,,2009
NR-3C,0.0,,2009
055-8,1770.0,,2009
00512,984.0,,2009
118-2,1736.0,,2009
70-36,980.0,,2009
00837,636.0,,2009
078-A,842.0,,2009
095-6,1743.0,,2009
059-B,880.0,,2009
W-42-4,575.0,,2009
020-1,4562.0,,2009
242-2,1418.0,,2009
011-S,735.0,,2009
053-3,2669.0,,2009
UNIT 2,550.0,,2009
247-54,391.0,,2009
199-3,1553.0,,2009
059-A,670.0,,2009
0IV-8,1050.0,,2009
951-1,0.0,,2009
483-74,350.0,,2009
00089,4091.0,,2009
39-18,476.0,,2009
15-11,1248.0,,2009
04N-6,1205.0,,2009
PS-229,0.0,,2009
1572-3,306.0,,2009
0165C,991.0,,2009
00155,1839.0,,2009
118-4,582.0,,2009
66-64,573.0,,2009
0157D,1089.0,,2009
0II-6,1050.0,,2009
D-505,2540.0,,2009
137-35,600.0,,2009
790-15,604.0,,2009
19-73,1535.0,,2009
C2-304,993.0,,2009
0NM41,970.0,,2009
050-2,3407.0,,2009
00B-3,12539.0,,2009
T130G,883.0,,2009
PS-71,0.0,,2009
003-7,1588.0,,2009
239-41,690.0,,2009
18-78,1535.0,,2009
315-7,700.0,,2009
08N-6,1205.0,,2009
20C-8,1147.0,,2009
050-8,625.0,,2009
046-1,4210.0,,2009
140-25,488.0,,2009
5-503,461.0,,2009
0205F,729.0,,2009
084AA,0.0,,2009
118-26,562.0,,2009
364-24,322.0,,2009
C2-202,1107.0,,2009
0N-83,0.0,,2009
08-34,875.0,,2009
A--503,1238.0,,2009
52-32,826.0,,2009
115-6,820.0,,2009
PS-142,0.0,,2009
0006I,668.0,,2009
56-17,1355.0,,2009
056-5,2086.0,,2009
074-3,1395.0,,2009
317-11,700.0,,2009
12-11,2224.0,,2009
032-G,975.0,,2009
483-41,765.0,,2009
32-18,356.0,,2009
0106W,2004.0,,2009
01208,3685.0,,2009
00629,2334.0,,2009
100-A,730.0,,2009
7-204,944.0,,2009
0033H,2450.0,,2009
01101,13773.0,,2009
08-18,877.0,,2009
038-B,1638.0,,2009
0A-24,0.0,,2009
C-402,3721.0,,2009
00620,6608.0,,2009
063-2,1691.0,,2009
PS-54,0.0,,2009
W-26-2,435.0,,2009
9A BLA,730.0,,2009
140-1,3467.0,,2009
00C-F,0.0,,2009
066-1,2682.0,,2009
00810,7360.0,,2009
125-21,576.0,,2009
378-B,600.0,,2009
0G-56,0.0,,2009
1157-5,1133.0,,2009
005-C,12756.0,,2009
000GB,782.0,,2009
100-9,765.0,,2009
00918,1222.0,,2009
020-A,2090.0,,2009
0196A,741.0,,2009
084-1,2561.0,,2009
03-15,1028.0,,2009
03K-6,542.0,,2009
00T-5,805.0,,2009
049-A,404.0,,2009
418-1,417.0,,2009
061-2,1145.0,,2009
00647,0.0,,2009
334-6,680.0,,2009
121-1,1559.0,,2009
088-8,706.0,,2009
27-2C,464.0,,2009
0122H,811.0,,2009
0I-27,686.0,,2009
790-38,740.0,,2009
035-H,882.0,,2009
00M-3,2480.0,,2009
334-8,686.0,,2009
0029C,6667.0,,2009
131-42,366.0,,2009
070-9,560.0,,2009
0118E,840.0,,2009
0118A,806.0,,2009
65-18,1122.0,,2009
338-2,670.0,,2009
149-1,1670.0,,2009
11B-6,536.0,,2009
009-3,7324.0,,2009
137-46,720.0,,2009
000P9,0.0,,2009
20F-8,806.0,,2009
11A-6,802.0,,2009
590-11,624.0,,2009
14-14,604.0,,2009
7-403,656.0,,2009
PH506,2046.0,,2009
036-H,883.0,,2009
790-19,740.0,,2009
790-9,730.0,,2009
00O-8,0.0,,2009
03O-6,742.0,,2009
00504,1019.0,,2009
380-7,1125.0,,2009
001-B,31112.0,,2009
0TH-4,4153.0,,2009
1726-1,718.0,,2009
27T-3,756.0,,2009
1177-B,650.0,,2009
03G-6,536.0,,2009
00006,532.0,,2009
201-5,0.0,,2009
000C2,1337.0,,2009
032-B,2678.0,,2009
8-303,515.0,,2009
0F-34,0.0,,2009
246-5B,656.0,,2009
137-5,2069.0,,2009
0043A,2545.0,,2009
W-34-4,775.0,,2009
0F510,802.0,,2009
B-14-3,780.0,,2009
00G-D,468.0,,2009
W-37-5,575.0,,2009
208-3,802.0,,2009
0029G,1219.0,,2009
62-62,838.0,,2009
352-3,550.0,,2009
245-23,690.0,,2009
360-3,1085.0,,2009
185-19,483.0,,2009
34-1B,590.0,,2009
0PH07,1442.0,,2009
067-1,2495.0,,2009
04M-6,1182.0,,2009
5 NCOR,964.0,,2009
PM104,798.0,,2009
0003C,35482.0,,2009
173-1,821.0,,2009
1669-8,300.0,,2009
59-10,767.0,,2009
1B-27,1380.0,,2009
000R4,944.0,,2009
0017A,8798.0,,2009
317-3,700.0,,2009
D-601,3676.0,,2009
07-2A,414.0,,2009
229-9,695.0,,2009
025-H,1487.0,,2009
10-148,1266.0,,2009
59-04,582.0,,2009
003HI,2070.0,,2009
PS 130,0.0,,2009
B-30-2,625.0,,2009
116-11,1346.0,,2009
0VI-3,1380.0,,2009
002-P,2872.0,,2009
015-6,3984.0,,2009
035-G,1215.0,,2009
1255-4,968.0,,2009
PS-227,0.0,,2009
00846,583.0,,2009
0B3-2,746.0,,2009
003-S,508.0,,2009
02J-6,802.0,,2009
171-2,1243.0,,2009
32-04,533.0,,2009
F-201,1467.0,,2009
010-4,8409.0,,2009
72-7B,675.0,,2009
21G-8,589.0,,2009
320-3,1183.0,,2009
00L-4,0.0,,2009
A-491,1187.0,,2009
114-14,360.0,,2009
01014,1646.0,,2009
018-G,1808.0,,2009
69-20,330.0,,2009
00D-1,6695.0,,2009
PS-131,0.0,,2009
0002O,580.0,,2009
1251-8,968.0,,2009
0003V,667.0,,2009
382-5,1125.0,,2009
00304,87224.0,,2009
PM206,1082.0,,2009
229-1,1703.0,,2009
0G-76,0.0,,2009
7-155,1266.0,,2009
A-105,1084.0,,2009
E-101,1456.0,,2009
CI-309,1179.0,,2009
10-16,738.0,,2009
0R-3H,1046.0,,2009
0F304,1066.0,,2009
7-303,652.0,,2009
415-A,0.0,,2009
00330,5261.0,,2009
04-33,714.0,,2009
02-34,631.0,,2009
790-26,655.0,,2009
PS-221,0.0,,2009
324-10,485.0,,2009
019-K,605.0,,2009
028-D,748.0,,2009
00521,8651.0,,2009
2 PS 5,655.0,,2009
05E-6,1179.0,,2009
00L-8,0.0,,2009
0406E,1815.0,,2009
225-41,730.0,,2009
UNITA,64406.0,,2009
W-35-4,770.0,,2009
0REAR,1800.0,,2009
03E-6,1179.0,,2009
1657-7,1400.0,,2009
203-1,1055.0,,2009
B-18-3,780.0,,2009
07C-8,1147.0,,2009
245-F,1659.0,,2009
B-503,1278.0,,2009
033-3,3133.0,,2009
1734-2,727.0,,2009
58-11,585.0,,2009
790-17,655.0,,2009
042-3,3240.0,,2009
8-144,1288.0,,2009
1730-4,764.0,,2009
0U-5A,0.0,,2009
8-306,549.0,,2009
227-3,264.0,,2009
201-A,540.0,,2009
09002,1233.0,,2009
0013B,2704.0,,2009
800-11,780.0,,2009
0018D,4268.0,,2009
125-1,3143.0,,2009
66-41,835.0,,2009
1466-1,1346.0,,2009
149-2,1668.0,,2009
65-16,616.0,,2009
23-111,1289.0,,2009
0A-23,0.0,,2009
190-B,1361.0,,2009
027-U,740.0,,2009
1263-3,1000.0,,2009
00111,24194.0,,2009
00O-9,0.0,,2009
00419,14230.0,,2009
125-14,574.0,,2009
0UN 9,1506.0,,2009
1633-7,353.0,,2009
120-4,1932.0,,2009
74-23,595.0,,2009
003-K,1536.0,,2009
PS-65,0.0,,2009
00N35,0.0,,2009
0103A,0.0,,2009
11J-8,871.0,,2009
0II-3,2590.0,,2009
D-217,1156.0,,2009
00306,66460.0,,2009
057-5,1440.0,,2009
0118D,864.0,,2009
190-7,654.0,,2009
311-4,556.0,,2009
148-2,552.0,,2009
59R-1,315.0,,2009
036-4,2477.0,,2009
C-128,0.0,,2009
0G-67,0.0,,2009
0030F,2526.0,,2009
D-209,1246.0,,2009
B-64-6,780.0,,2009
0103W,4292.0,,2009
005-2,16200.0,,2009
00734,645.0,,2009
037-6,1840.0,,2009
16L-6,542.0,,2009
01213,2953.0,,2009
131-38,328.0,,2009
C2-308,1095.0,,2009
1560-4,556.0,,2009
22-15,550.0,,2009
136-1,1557.0,,2009
62-43,444.0,,2009
D-603,1095.0,,2009
B-66-6,780.0,,2009
00V-7,1380.0,,2009
092-1,588.0,,2009
00208,752.0,,2009
00041,293.0,,2009
31-12A,592.0,,2009
00N39,0.0,,2009
0079D,900.0,,2009
0006E,11403.0,,2009
PS-60,0.0,,2009
15-21,340.0,,2009
246-8,610.0,,2009
034-E,861.0,,2009
07B-8,833.0,,2009
01O6F,746.0,,2009
00606,701.0,,2009
0N-80,0.0,,2009
07J-8,871.0,,2009
6-222,1795.0,,2009
427-1,685.0,,2009
000R2,3882.0,,2009
00081,5284.0,,2009
003-O,1656.0,,2009
09H-6,802.0,,2009
1474-1,1201.0,,2009
57F-1,0.0,,2009
118-33,562.0,,2009
00603,44066.0,,2009
241-A,1470.0,,2009
019-M,590.0,,2009
046-9,493.0,,2009
280-23,690.0,,2009
118-3,564.0,,2009
125-28,361.0,,2009
239-42,690.0,,2009
C2-403,1077.0,,2009
034 G,1237.0,,2009
9-206,819.0,,2009
0PH2C,4663.0,,2009
14D-8,871.0,,2009
0126C,859.0,,2009
000CC,0.0,,2009
016-C,7511.0,,2009
1472-A,1300.0,,2009
00524,6023.0,,2009
246-10,893.0,,2009
00E-7,1655.0,,2009
131-40,302.0,,2009
00S-3,0.0,,2009
00806,701.0,,2009
401 &,0.0,,2009
00904,1019.0,,2009
0O-11,0.0,,2009
W-37-1,575.0,,2009
0015F,4045.0,,2009
24-118,1483.0,,2009
483-34,350.0,,2009
T130H,857.0,,2009
00250,718.0,,2009
C1-106,1045.0,,2009
014-R,2617.0,,2009
003-B,34348.0,,2009
1254-5,820.0,,2009
22G-8,589.0,,2009
039-B,2676.0,,2009
136-3,1619.0,,2009
0CH-1,620.0,,2009
0R-1D,925.0,,2009
023-L,605.0,,2009
19-B-1,1375.0,,2009
210-1C,2943.0,,2009
796-1,856.0,,2009
01308,2035.0,,2009
1621-A,1145.0,,2009
