zipcode,total_living_area,neighborhood,Year
453-3,702.0,,2009
1730-8,764.0,,2009
106-N,0.0,,2009
0F-46,0.0,,2009
00247,845.0,,2009
039-4,5704.0,,2009
169-1,2329.0,,2009
1157-1,1133.0,,2009
07-17,668.0,,2009
35-16,420.0,,2009
0161C,927.0,,2009
993-5,674.0,,2009
005-6,7964.0,,2009
040-E,863.0,,2009
04K-8,1147.0,,2009
033-2,4839.0,,2009
1254-2,818.0,,2009
4-501,718.0,,2009
0026E,4124.0,,2009
29-103,727.0,,2009
D-206,2460.0,,2009
NORTHT,,,2009
000HH,0.0,,2009
00O-2,0.0,,2009
0B2-3,746.0,,2009
27-3B,619.0,,2009
0002A,65950.0,,2009
III-7,1380.0,,2009
114-12,391.0,,2009
182-3,825.0,,2009
TH-14,1096.0,,2009
0B1-1,746.0,,2009
02A-8,833.0,,2009
0011A,17460.0,,2009
249-51,763.0,,2009
142-12,646.0,,2009
0110D,3436.0,,2009
0122C,868.0,,2009
117-4,825.0,,2009
070-3,560.0,,2009
004OB,745.0,,2009
W-42-2,575.0,,2009
021-S,735.0,,2009
00718,5929.0,,2009
125-30,576.0,,2009
01602,1936.0,,2009
13-5C,569.0,,2009
995-1,654.0,,2009
199-2,1544.0,,2009
0202W,2701.0,,2009
00010,1708.0,,2009
030-E,864.0,,2009
6-301,730.0,,2009
006-O,1656.0,,2009
007-O,1656.0,,2009
276-14,505.0,,2009
021-3,3348.0,,2009
1681-3,429.0,,2009
B-68-6,625.0,,2009
0031G,2465.0,,2009
00PH2,8294.0,,2009
00562,860.0,,2009
115-12,820.0,,2009
T-103,883.0,,2009
031-2,9853.0,,2009
019-N,770.0,,2009
0G-92,0.0,,2009
144-5,684.0,,2009
00509,1053.0,,2009
00D-2,6304.0,,2009
1746-2,650.0,,2009
00165,1914.0,,2009
00L-6,0.0,,2009
59F-2,245.0,,2009
0C-31,865.0,,2009
00802,708.0,,2009
62-32,838.0,,2009
25-305,785.0,,2009
07R-6,802.0,,2009
63-19,489.0,,2009
03M-6,1182.0,,2009
0054C,730.0,,2009
0101E,4609.0,,2009
1657-1,1300.0,,2009
22-63,1483.0,,2009
0G-70,0.0,,2009
000GF,385.0,,2009
04F-6,542.0,,2009
0126G,856.0,,2009
57-B1,760.0,,2009
VII-6,1380.0,,2009
0001T,898.0,,2009
B-28-1,780.0,,2009
33-42,1069.0,,2009
COMM 4,0.0,,2009
00001,2986.0,,2009
0N-76,0.0,,2009
0627A,0.0,,2009
00024,536.0,,2009
0F-26,0.0,,2009
025-F,2407.0,,2009
24K-8,1147.0,,2009
