zipcode,total_res_units,total_com_units,total_rc_units
02108,1100.0,241.0,0
02109,1295.0,89.0,0
02110,1603.0,273.0,0
02111,1871.0,176.0,6.0
02113,1255.0,35.0,0
02114,3236.0,116.0,1.0
02115,3227.0,42.0,0
02116,6593.0,165.0,2.0
02118,5367.0,167.0,43.0
02119,1176.0,15.0,4.0
02120,468.0,7.0,3.0
02121,484.0,7.0,0
02122,1707.0,20.0,0
02124,1722.0,25.0,2.0
02125,2088.0,27.0,0
02126,317.0,6.0,1.0
02127,7697.0,113.0,3.0
02128,3099.0,31.0,0
02129,3651.0,46.0,0
02130,5286.0,45.0,41.0
02131,2082.0,14.0,0
02132,1291.0,15.0,0
02134,2352.0,41.0,1.0
02135,5992.0,49.0,1.0
02136,908.0,28.0,5.0
02199,15.0,0,0
02210,1409.0,44.0,5.0
02215,2576.0,51.0,2.0
02446,3.0,0,0
02467,735.0,0,0
