zipcode,total_living_area,neighborhood
02090,3609.0,Westwood
02108,11284446.0,Back Bay/Beacon Hill
02109,14388357.0,Central Boston
02110,25367243.0,Central Boston
02111,17121344.0,Central Boston
02112,0.0,Central Boston
02113,4405300.0,Central Boston
02114,25432171.0,Central Boston
02115,36133245.0,Fenway/Kenmore
02116,43035816.0,Back Bay/Beacon Hill
02118,23126332.0,South End
02119,22360334.0,Roxbury
02120,9598404.0,Roxbury
02121,15977842.0,Roxbury
02122,14994348.0,Dorchester
02124,30089862.0,Dorchester
02125,25398527.0,Dorchester
02126,12523629.0,Mattapan
02127,34208101.0,South Boston
02128,30033847.0,East Boston
02129,19177296.0,Charlestown
02130,25338565.0,Jamaica Plain
02131,17543532.0,Roslindale
02132,19960939.0,West Roxbury
02133,414936.0,Back Bay/Beacon Hill
02134,16306146.0,Allston/Brighton
02135,34413674.0,Allston/Brighton
02136,19883835.0,Hyde Park
02137,2908.0,Dedham
02186,3064.0,Milton
02199,1300706.0,Back Bay/Beacon Hill
02201,16158.0,Central Boston
02210,18197000.0,South Boston
02215,19342841.0,Fenway/Kenmore
02445,64141.0, Brookline
02446,21907.0, Brookline
02467,1348046.0, Brookline
