zipcode,total_living_area,neighborhood
02026,8245.0,Dedham
02108,12447532.0,Back Bay/Beacon Hill
02109,13909574.0,Central Boston
02110,27185089.0,Central Boston
02111,17881871.0,Central Boston
02113,4524446.0,Central Boston
02114,27262772.0,Central Boston
02115,39818034.0,Fenway/Kenmore
02116,41962044.0,Back Bay/Beacon Hill
02118,25719493.0,South End
02119,23337221.0,Roxbury
02120,10337680.0,Roxbury
02121,16434416.0,Roxbury
02122,15479903.0,Dorchester
02124,31333667.0,Dorchester
02125,26931084.0,Dorchester
02126,12895264.0,Mattapan
02127,37659731.0,South Boston
02128,32571641.0,East Boston
02129,19413847.0,Charlestown
02130,26718031.0,Jamaica Plain
02131,17977143.0,Roslindale
02132,20831490.0,West Roxbury
02133,519628.0,Back Bay/Beacon Hill
02134,17285741.0,Allston/Brighton
02135,37686623.0,Allston/Brighton
02136,20158236.0,Hyde Park
02137,2908.0,Dedham
02199,1516808.0,Back Bay/Beacon Hill
02201,172517.0,Central Boston
02210,22320108.0,South Boston
02215,20281124.0,Fenway/Kenmore
02445,65964.0, Brookline
02446,22496.0, Brookline
02467,1349487.0, Brookline
