zipcode,total_living_area,neighborhood
0B-37,1849.0,
189-3,344.0,
1758-1,699.0,
22B-8,833.0,
VII-1,1380.0,
0A-25,1001.0,
021-5,982.0,
0024D,4376.0,
02B-8,833.0,
1641-5,338.0,
148-3,572.0,
015-T,675.0,
00423,10680.0,
D-105,1346.0,
25-103,720.0,
0F511,1220.0,
239-D,1491.0,
00052,46278.0,
0124A,804.0,
1641-4,516.0,
225-1,730.0,
0202E,1750.0,
017-6,3215.0,
11-29,1100.0,
015-M,2590.0,
120 &,570.0,
096-6,1823.0,
037-B,1630.0,
1625-1,471.0,
0027E,4101.0,
00921,675.0,
20A-8,833.0,
1161-7,826.0,
PS-57,0.0,
237-2,700.0,
00056,22771.0,
I-502,1554.0,
0F-43,0.0,
00022,105345.0,
0006C,17171.0,
B-306,1665.0,
0161A,785.0,
251-3,995.0,
021-R,1065.0,
06I-5,786.0,
01704,2188.0,
026-D,2659.0,
800-19,740.0,
173-3,825.0,
037-D,745.0,
144-8,646.0,
07-11,2326.0,
01507,829.0,
354-15,590.0,
0PH-2,5766.0,
0023C,5437.0,
1177-8,800.0,
00800,3378.0,
0017G,6018.0,
14B-8,833.0,
B-401,4791.0,
W-46-3,775.0,
00N21,0.0,
208-6,842.0,
021-2,4647.0,
III-9,1050.0,
039-C,1226.0,
26-13,750.0,
00058,11194.0,
00430,3919.0,
4-304,336.0,
04-14,2131.0,
115-7,740.0,
313-14,556.0,
B-48-1,780.0,
1568-2,618.0,
0604A,0.0,
145-35,815.0,
596-3,624.0,
0N-11,0.0,
D-212,1121.0,
2-224,1795.0,
025-L,605.0,
1645-3,454.0,
0C-89,0.0,
0G-32,0.0,
B-201,4293.0,
22-14,800.0,
17-4A,446.0,
108-4,1906.0,
00260,1054.0,
02-15,657.0,
00L-C,394.0,
B-308,3030.0,
023-M,580.0,
040-H,879.0,
0F611,2174.0,
0196B,673.0,
00705,1013.0,
14-10,1418.0,
133-1,1980.0,
460-C,599.0,
65-17,721.0,
027TP,3396.0,
239 &,0.0,
12F-6,542.0,
1734-4,769.0,
00903,16640.0,
0F-30,0.0,
00STH,1660.0,
16B-6,536.0,
W-28-4,575.0,
14K-6,542.0,
141-2,2633.0,
11M-6,1182.0,
B-302,3552.0,
206-1C,2952.0,
01303,4135.0,
00626,3121.0,
070-4,470.0,
A-005,1287.0,
04-28,1080.0,
0F-14,0.0,
19F-8,806.0,
02E-8,1119.0,
1673-1,427.0,
PARAMOUNT,,
D-121,766.0,
PH221,2152.0,
142-21,646.0,
594-7,720.0,
048-7,416.0,
131-28,356.0,
C1-307,1093.0,
384-B,600.0,
0F-32,0.0,
1758-8,818.0,
178-7,655.0,
37-1/2,345.0,
E-503,1306.0,
8-204,1004.0,
01A &,730.0,
05-20,385.0,
0083D,900.0,
0F-28,0.0,
01612,2689.0,
007-2,10505.0,
D-418,1201.0,
1564-3,306.0,
58-18,600.0,
47-B1,470.0,
079-3,701.0,
B-72-6,625.0,
01010,4082.0,
00PH6,8353.0,
W-21-1,770.0,
0220A,4622.0,
0027G,2467.0,
PS-138,0.0,
21-38,1339.0,
PS-169,0.0,
029-2,8671.0,
STUDIO 2,698.0,
116-15,1346.0,
34-3B,350.0,
TH-12,1655.0,
012-4,2504.0,
08-42,1003.0,
273-2,656.0,
0302W,2701.0,
125-18,546.0,
0C-91,0.0,
010-8,1569.0,
01510,2519.0,
0626A,0.0,
1742-1,745.0,
D-303,1122.0,
TOWN HOUSE,3804.0,
008-A,10016.0,
0O-16,0.0,
B-16-1,625.0,
249-32,749.0,
12-16 PS19,734.0,
056-9,1100.0,
352-14,550.0,
029-B,1628.0,
PS-35,0.0,
00432,3993.0,
106-4,1568.0,
C-406,2329.0,
101-8,0.0,
39C-4,828.0,
63-1A,695.0,
B-309,1690.0,
15G-8,589.0,
G WCOR,620.0,
1576-2,450.0,
00608,706.0,
0F613,1522.0,
COMM 2,0.0,
16R-6,802.0,
0305A,354.0,
12D-6,1205.0,
00001,3662.0,
PS-164,0.0,
1726-3,764.0,
PH220,2097.0,
017-S,735.0,
0F-37,0.0,
1875-4,1882.0,
09-10,1236.0,
09-15,1198.0,
07B/C,2846.0,
594-9,624.0,
352-7,280.0,
146-1,687.0,
0N-45,0.0,
045-6,1275.0,
78-11,625.0,
237-3,630.0,
402-3,750.0,
00236,701.0,
439-22,351.0,
0A-34,0.0,
025-A,1538.0,
1572-4,556.0,
133-2,2025.0,
W-21-4,770.0,
203-3,1058.0,
0122D,842.0,
0406W,1274.0,
019-U,740.0,
208-1,802.0,
B-103,970.0,
C2-105,963.0,
2-101,470.0,
000A2,8283.0,
02-21,535.0,
004-8,3515.0,
276-23,690.0,
55-07,825.0,
00450,860.0,
479-22,710.0,
14-54,1583.0,
0G-51,0.0,
00310,36452.0,
00012,1646.0,
016-U,740.0,
1669-1,428.0,
B-28-2,780.0,
0065C,730.0,
00451,770.0,
24-A2,785.0,
4-101,437.0,
00617,6753.0,
0027D,4376.0,
275-2,656.0,
WTH &,1476.0,
01217,2206.0,
B-42-4,780.0,
190-8,519.0,
154-1,1052.0,
023-8,1005.0,
2/3A/B,2937.0,
011-D,7908.0,
182-1,1854.0,
0NM31,1029.0,
06G-6,536.0,
D-315,1399.0,
39-17,364.0,
T-409,872.0,
047-1,5232.0,
01516,1798.0,
029-8,684.0,
08K-6,542.0,
115-3,795.0,
027-M,590.0,
142-11,646.0,
079-6,528.0,
239-44,690.0,
8-141,1282.0,
22E-8,1119.0,
313-12,700.0,
M WCOR,1038.0,
63-12,336.0,
00210,36010.0,
0004Q,1179.0,
27-1A,542.0,
00013,103003.0,
0110E,4154.0,
233-8,703.0,
PM302,868.0,
301-5,516.0,
116-9,1353.0,
137-41,440.0,
245-31,690.0,
0PH20,1015.0,
PS 10-10A,0.0,
1254-B,732.0,
0G-34,0.0,
09-18,561.0,
0G-15,0.0,
1269-5,815.0,
11-27,480.0,
0028G,2469.0,
096-4,3584.0,
100-8,2132.0,
48-45,884.0,
12C-6,742.0,
A-206,2063.0,
309-10,700.0,
0G-66,0.0,
140-5,646.0,
B-32-4,780.0,
0A1-3,470.0,
1161-2,936.0,
00005,6288.0,
384-3,1125.0,
118-24,564.0,
9-305,281.0,
70-26,980.0,
T-410,872.0,
0201W,1920.0,
8-132,1282.0,
00139,3923.0,
015-E,7459.0,
112-N,0.0,
140-38,646.0,
0A1-2,470.0,
8-205,281.0,
054-6,1130.0,
3-302,682.0,
D-304,2977.0,
A-403,1876.0,
03C-8,1147.0,
PM103,1025.0,
NR-2A,0.0,
NR-3C,0.0,
055-8,1770.0,
00512,984.0,
118-2,1736.0,
70-36,980.0,
00837,636.0,
078-A,842.0,
095-6,1743.0,
059-B,880.0,
W-42-4,575.0,
020-1,4562.0,
242-2,1418.0,
011-S,735.0,
053-3,2669.0,
UNIT 2,550.0,
247-54,391.0,
199-3,1553.0,
059-A,670.0,
0IV-8,1050.0,
951-1,0.0,
483-74,350.0,
00089,4091.0,
39-18,476.0,
15-11,1248.0,
04N-6,1205.0,
PS-229,0.0,
1572-3,306.0,
0165C,991.0,
00155,1839.0,
118-4,582.0,
66-64,573.0,
0157D,1089.0,
0II-6,1050.0,
D-505,2540.0,
137-35,600.0,
790-15,604.0,
19-73,1535.0,
C2-304,993.0,
0NM41,970.0,
050-2,3407.0,
00B-3,12539.0,
T130G,883.0,
PS-71,0.0,
003-7,1588.0,
239-41,690.0,
18-78,1535.0,
315-7,700.0,
08N-6,1205.0,
20C-8,1147.0,
050-8,625.0,
046-1,4210.0,
140-25,488.0,
5-503,461.0,
0205F,729.0,
084AA,0.0,
118-26,562.0,
364-24,322.0,
C2-202,1107.0,
0N-83,0.0,
08-34,875.0,
A--503,1238.0,
52-32,826.0,
115-6,820.0,
PS-142,0.0,
0006I,668.0,
56-17,1355.0,
056-5,2086.0,
074-3,1395.0,
317-11,700.0,
12-11,2224.0,
032-G,975.0,
483-41,765.0,
32-18,356.0,
0106W,2004.0,
01208,3685.0,
00629,2334.0,
100-A,730.0,
7-204,944.0,
0033H,2450.0,
01101,13773.0,
08-18,877.0,
038-B,1638.0,
0A-24,0.0,
C-402,3721.0,
00620,6608.0,
063-2,1691.0,
PS-54,0.0,
W-26-2,435.0,
9A BLA,730.0,
140-1,3467.0,
00C-F,0.0,
066-1,2682.0,
00810,7360.0,
125-21,576.0,
378-B,600.0,
0G-56,0.0,
1157-5,1133.0,
005-C,12756.0,
000GB,782.0,
100-9,765.0,
00918,1222.0,
020-A,2090.0,
0196A,741.0,
084-1,2561.0,
03-15,1028.0,
03K-6,542.0,
00T-5,805.0,
049-A,404.0,
418-1,417.0,
061-2,1145.0,
00647,0.0,
334-6,680.0,
121-1,1559.0,
088-8,706.0,
27-2C,464.0,
0122H,811.0,
0I-27,686.0,
790-38,740.0,
035-H,882.0,
00M-3,2480.0,
334-8,686.0,
0029C,6667.0,
131-42,366.0,
070-9,560.0,
0118E,840.0,
0118A,806.0,
65-18,1122.0,
338-2,670.0,
149-1,1670.0,
11B-6,536.0,
009-3,7324.0,
137-46,720.0,
000P9,0.0,
20F-8,806.0,
11A-6,802.0,
590-11,624.0,
14-14,604.0,
7-403,656.0,
PH506,2046.0,
036-H,883.0,
790-19,740.0,
790-9,730.0,
00O-8,0.0,
03O-6,742.0,
00504,1019.0,
380-7,1125.0,
001-B,31112.0,
0TH-4,4153.0,
1726-1,718.0,
27T-3,756.0,
1177-B,650.0,
03G-6,536.0,
00006,532.0,
201-5,0.0,
000C2,1337.0,
032-B,2678.0,
8-303,515.0,
0F-34,0.0,
246-5B,656.0,
137-5,2069.0,
0043A,2545.0,
W-34-4,775.0,
0F510,802.0,
B-14-3,780.0,
00G-D,468.0,
W-37-5,575.0,
208-3,802.0,
0029G,1219.0,
62-62,838.0,
352-3,550.0,
245-23,690.0,
360-3,1085.0,
185-19,483.0,
34-1B,590.0,
0PH07,1442.0,
067-1,2495.0,
04M-6,1182.0,
5 NCOR,964.0,
PM104,798.0,
0003C,35482.0,
173-1,821.0,
1669-8,300.0,
59-10,767.0,
1B-27,1380.0,
000R4,944.0,
0017A,8798.0,
317-3,700.0,
D-601,3676.0,
07-2A,414.0,
229-9,695.0,
025-H,1487.0,
10-148,1266.0,
59-04,582.0,
003HI,2070.0,
PS 130,0.0,
B-30-2,625.0,
116-11,1346.0,
0VI-3,1380.0,
002-P,2872.0,
015-6,3984.0,
035-G,1215.0,
1255-4,968.0,
PS-227,0.0,
00846,583.0,
0B3-2,746.0,
003-S,508.0,
02J-6,802.0,
171-2,1243.0,
32-04,533.0,
F-201,1467.0,
010-4,8409.0,
72-7B,675.0,
21G-8,589.0,
320-3,1183.0,
00L-4,0.0,
A-491,1187.0,
114-14,360.0,
01014,1646.0,
018-G,1808.0,
69-20,330.0,
00D-1,6695.0,
PS-131,0.0,
0002O,580.0,
1251-8,968.0,
0003V,667.0,
382-5,1125.0,
00304,87224.0,
PM206,1082.0,
229-1,1703.0,
0G-76,0.0,
7-155,1266.0,
A-105,1084.0,
E-101,1456.0,
CI-309,1179.0,
10-16,738.0,
0R-3H,1046.0,
0F304,1066.0,
7-303,652.0,
415-A,0.0,
00330,5261.0,
04-33,714.0,
02-34,631.0,
790-26,655.0,
PS-221,0.0,
324-10,485.0,
019-K,605.0,
028-D,748.0,
00521,8651.0,
2 PS 5,655.0,
05E-6,1179.0,
00L-8,0.0,
0406E,1815.0,
225-41,730.0,
UNITA,64406.0,
W-35-4,770.0,
0REAR,1800.0,
03E-6,1179.0,
1657-7,1400.0,
203-1,1055.0,
B-18-3,780.0,
07C-8,1147.0,
245-F,1659.0,
B-503,1278.0,
033-3,3133.0,
1734-2,727.0,
58-11,585.0,
790-17,655.0,
042-3,3240.0,
8-144,1288.0,
1730-4,764.0,
0U-5A,0.0,
8-306,549.0,
227-3,264.0,
201-A,540.0,
09002,1233.0,
0013B,2704.0,
800-11,780.0,
0018D,4268.0,
125-1,3143.0,
66-41,835.0,
1466-1,1346.0,
149-2,1668.0,
65-16,616.0,
23-111,1289.0,
0A-23,0.0,
190-B,1361.0,
027-U,740.0,
1263-3,1000.0,
00111,24194.0,
00O-9,0.0,
00419,14230.0,
125-14,574.0,
0UN 9,1506.0,
1633-7,353.0,
120-4,1932.0,
74-23,595.0,
003-K,1536.0,
PS-65,0.0,
00N35,0.0,
0103A,0.0,
11J-8,871.0,
0II-3,2590.0,
D-217,1156.0,
00306,66460.0,
057-5,1440.0,
0118D,864.0,
190-7,654.0,
311-4,556.0,
148-2,552.0,
59R-1,315.0,
036-4,2477.0,
C-128,0.0,
0G-67,0.0,
0030F,2526.0,
D-209,1246.0,
B-64-6,780.0,
0103W,4292.0,
005-2,16200.0,
00734,645.0,
037-6,1840.0,
16L-6,542.0,
01213,2953.0,
131-38,328.0,
C2-308,1095.0,
1560-4,556.0,
22-15,550.0,
136-1,1557.0,
62-43,444.0,
D-603,1095.0,
B-66-6,780.0,
00V-7,1380.0,
092-1,588.0,
00208,752.0,
00041,293.0,
31-12A,592.0,
00N39,0.0,
0079D,900.0,
0006E,11403.0,
PS-60,0.0,
15-21,340.0,
246-8,610.0,
034-E,861.0,
07B-8,833.0,
01O6F,746.0,
00606,701.0,
0N-80,0.0,
07J-8,871.0,
6-222,1795.0,
427-1,685.0,
000R2,3882.0,
00081,5284.0,
003-O,1656.0,
09H-6,802.0,
1474-1,1201.0,
57F-1,0.0,
118-33,562.0,
00603,44066.0,
241-A,1470.0,
019-M,590.0,
046-9,493.0,
280-23,690.0,
118-3,564.0,
125-28,361.0,
239-42,690.0,
C2-403,1077.0,
034 G,1237.0,
9-206,819.0,
0PH2C,4663.0,
14D-8,871.0,
0126C,859.0,
000CC,0.0,
016-C,7511.0,
1472-A,1300.0,
00524,6023.0,
246-10,893.0,
00E-7,1655.0,
131-40,302.0,
00S-3,0.0,
00806,701.0,
401 &,0.0,
00904,1019.0,
0O-11,0.0,
W-37-1,575.0,
0015F,4045.0,
24-118,1483.0,
483-34,350.0,
T130H,857.0,
00250,718.0,
C1-106,1045.0,
014-R,2617.0,
003-B,34348.0,
1254-5,820.0,
22G-8,589.0,
039-B,2676.0,
136-3,1619.0,
0CH-1,620.0,
0R-1D,925.0,
023-L,605.0,
19-B-1,1375.0,
210-1C,2943.0,
796-1,856.0,
01308,2035.0,
1621-A,1145.0,
W-38-6,575.0,
0F-29,0.0,
1173-3,1480.0,
290-34,685.0,
06-45,377.0,
PS-68,0.0,
032-3,8233.0,
020-N,770.0,
00G-3,1469.0,
0B3-3,746.0,
00D-4,6460.0,
C-120,0.0,
080-3,2419.0,
005-J,2394.0,
PENTHSE,4433.0,
057-6,1525.0,
12A-6,802.0,
313-2,451.0,
041-B,730.0,
000F9,0.0,
1263-6,968.0,
00328,5038.0,
0O-17,0.0,
013-1,1596.0,
00177,560.0,
1871-4,867.0,
B-40-6,625.0,
019-3,7233.0,
00303,85245.0,
4-503,471.0,
080-9,266.0,
23-114,1289.0,
G-101,1376.0,
6-502,525.0,
0R-2H,1041.0,
382-4,1125.0,
17G-8,589.0,
169-6,1496.0,
1870-2,510.0,
33-52,1044.0,
5-102,705.0,
0F-18,0.0,
B-602,2510.0,
30-3B,670.0,
22-17,225.0,
210-1D,2652.0,
0073A,623.0,
0006S,2096.0,
B-8-2,780.0,
2 PS 2,750.0,
00556,870.0,
035-9,1048.0,
0A-28,0.0,
D-2B2,0.0,
247-33,322.0,
360-21,322.0,
70-5A,265.0,
66-51,835.0,
74-11,910.0,
009OE,746.0,
028-B,2103.0,
483-87,480.0,
0VI-1,1050.0,
134-1,961.0,
118-15,344.0,
0A-38,0.0,
0004E,17995.0,
00516,14814.0,
225-1B,697.0,
B-207,1689.0,
149-3,828.0,
70-16,425.0,
10F-6,542.0,
032-5,2226.0,
144-34,488.0,
030-1,9778.0,
00558,850.0,
210-2B,2708.0,
092-3,833.0,
043-1,3141.0,
308-4,1229.0,
07-14,1033.0,
W-27-1,775.0,
017-5,3166.0,
0097F,730.0,
0F502,812.0,
00D-7,2407.0,
PS-225,0.0,
25-12A,592.0,
0B-18,540.0,
1263-4,968.0,
1945-1,680.0,
93-10,633.0,
59R-4,360.0,
00027,53484.0,
137-27,570.0,
17-2R,356.0,
017-C,6138.0,
PS-180,0.0,
006-T,591.0,
PS-199,0.0,
00412,984.0,
169-4,2321.0,
313-15,306.0,
1258-2,610.0,
0N-66,0.0,
D-620,1169.0,
790-3,730.0,
00513,13740.0,
0009F,7400.0,
125-35,350.0,
4 & 5,2256.0,
00820,2416.0,
01FL.,955.0,
563-2,874.0,
J-202,1511.0,
0036H,2461.0,
044-G,414.0,
22K-8,1147.0,
315-A,0.0,
028-5,734.0,
E-504,1305.0,
008-N,4249.0,
225-23,730.0,
019-H,1481.0,
NR-3H,0.0,
063-7,336.0,
141-45,710.0,
PS-146,0.0,
0165F,962.0,
C-201,3076.0,
109-S,0.0,
PS-156,0.0,
010-P,2860.0,
78-10,525.0,
800-3,730.0,
00034,293.0,
W-25-2,775.0,
178-8,610.0,
131-30,500.0,
000EE,0.0,
00808,706.0,
1661-8,1400.0,
III-6,1050.0,
09015,1956.0,
C-401,3405.0,
T-304,883.0,
W-40-1,770.0,
00E-9,552.0,
0024A,5913.0,
55-0A,838.0,
0VI-6,1380.0,
131-37,356.0,
00315,18623.0,
0306E,1815.0,
135-B,886.0,
188-2,2463.0,
12-33,717.0,
56-19,330.0,
246-4,610.0,
30-34,659.0,
014-L,1877.0,
1710-5,995.0,
233-10,710.0,
022-R,1065.0,
008-4,3362.0,
W-24-1,575.0,
21-48,1363.0,
1653-1,1300.0,
I-601,1661.0,
0031D,5852.0,
483-53,335.0,
69-16,766.0,
00SIX,725.0,
204-4,1061.0,
32-08,390.0,
017-E,6623.0,
0124F,852.0,
15B-6,536.0,
024-L,605.0,
33-31,718.0,
13-3AB,954.0,
185-3,1447.0,
01810,706.0,
PS-162,0.0,
1251-1,921.0,
0G-11,0.0,
03P-6,542.0,
0F104,1066.0,
B-74-5,780.0,
61-B1,470.0,
0093E,746.0,
25-302,803.0,
00308,706.0,
00634,1645.0,
068-5,535.0,
4-220,1962.0,
0111B,1006.0,
026-4,4579.0,
057-8,765.0,
380-8,1125.0,
017-D,6049.0,
121-2,1562.0,
00040,655.0,
B-203,2202.0,
0114G,580.0,
48-34,430.0,
036-3,3149.0,
36-3A,550.0,
9-403,655.0,
00598,2295.0,
A-102,4164.0,
025-M,590.0,
00320,15127.0,
D-221,767.0,
21-43,1289.0,
084-2,1598.0,
00018,2128.0,
09O-6,742.0,
007-K,2141.0,
04-18,1245.0,
0II-1,1050.0,
483-12B,315.0,
15-AB,690.0,
00035,562.0,
004-F,9382.0,
0F601,1526.0,
6-203,525.0,
0FIVE,1380.0,
1746-8,630.0,
217-1,1009.0,
000J4,630.0,
07E-6,1179.0,
0F-31,0.0,
364-14,504.0,
059-8,1277.0,
000R5,853.0,
1669-3,527.0,
13-1C,0.0,
00N38,0.0,
09-12,1299.0,
0039C,1827.0,
057-3,2998.0,
276-43,690.0,
026-E,1940.0,
0A-86,1804.0,
907-3,600.0,
01O5F,898.0,
01-13,285.0,
01116,1695.0,
B-8-5,780.0,
D-117,1038.0,
0A-43,0.0,
068-8,400.0,
01020,2130.0,
00700,1421.0,
0020C,2733.0,
025-6,3857.0,
114S-6,0.0,
01216,1700.0,
1677-3,526.0,
A-606,859.0,
70-31,995.0,
01301,5143.0,
1738-3,760.0,
5-401,741.0,
224-A,4625.0,
364-3,526.0,
00O-7,0.0,
15E-6,1268.0,
W-21-3,770.0,
69-12,1208.0,
0035D,4387.0,
07K-6,542.0,
026-9,1128.0,
15-18,854.0,
068-7,535.0,
790-39,740.0,
010-A,12017.0,
483-97,480.0,
00B-R,375.0,
989-2,1150.0,
00129,2346.0,
00340,1665.0,
00N-7,0.0,
246-2A,753.0,
PH1601,5379.0,
29-106,980.0,
0007A,19978.0,
00032,79961.0,
0C-10,3009.0,
464-B,639.0,
133 &,0.0,
1157-2,685.0,
0ROOF,0.0,
176-2,595.0,
16F-8,806.0,
008-S,735.0,
014-M,3100.0,
311-5,306.0,
233-9,733.0,
790-21,780.0,
008-C,7162.0,
43-B2,760.0,
194-3,1820.0,
820-G,777.0,
0I-20,1380.0,
033-5,485.0,
PS-128,0.0,
145-34,610.0,
018-K,605.0,
1665-8,351.0,
185-9,730.0,
107-1,710.0,
020-D,2458.0,
01400,2315.0,
000A4,4305.0,
00B-8,6489.0,
66-25,564.0,
0CH-2,620.0,
D-502,3391.0,
B-8-6,780.0,
0F-16,0.0,
63-10,411.0,
007-J,2984.0,
04R-6,802.0,
69-21,735.0,
063-4,2885.0,
7-206,809.0,
1677-1,738.0,
158-4,829.0,
B-26-2,625.0,
B-36-6,780.0,
15-33,390.0,
2001-8,635.0,
21K-8,1147.0,
319-10,320.0,
01106,4518.0,
13-3C,624.0,
185-18,460.0,
