zipcode,total_living_area,neighborhood
453-3,702.0,
1730-8,764.0,
106-N,0.0,
0F-46,0.0,
00247,845.0,
039-4,5704.0,
169-1,2329.0,
1157-1,1133.0,
07-17,668.0,
35-16,420.0,
0161C,927.0,
993-5,674.0,
005-6,7964.0,
040-E,863.0,
04K-8,1147.0,
033-2,4839.0,
1254-2,818.0,
4-501,718.0,
0026E,4124.0,
29-103,727.0,
D-206,2460.0,
NORTHT,,
000HH,0.0,
00O-2,0.0,
0B2-3,746.0,
27-3B,619.0,
0002A,65950.0,
III-7,1380.0,
114-12,391.0,
182-3,825.0,
TH-14,1096.0,
0B1-1,746.0,
02A-8,833.0,
0011A,17460.0,
249-51,763.0,
142-12,646.0,
0110D,3436.0,
0122C,868.0,
117-4,825.0,
070-3,560.0,
004OB,745.0,
W-42-2,575.0,
021-S,735.0,
00718,5929.0,
125-30,576.0,
01602,1936.0,
13-5C,569.0,
995-1,654.0,
199-2,1544.0,
0202W,2701.0,
00010,1708.0,
030-E,864.0,
6-301,730.0,
006-O,1656.0,
007-O,1656.0,
276-14,505.0,
021-3,3348.0,
1681-3,429.0,
B-68-6,625.0,
0031G,2465.0,
00PH2,8294.0,
00562,860.0,
115-12,820.0,
T-103,883.0,
031-2,9853.0,
019-N,770.0,
0G-92,0.0,
144-5,684.0,
00509,1053.0,
00D-2,6304.0,
1746-2,650.0,
00165,1914.0,
00L-6,0.0,
59F-2,245.0,
0C-31,865.0,
00802,708.0,
62-32,838.0,
25-305,785.0,
07R-6,802.0,
63-19,489.0,
03M-6,1182.0,
0054C,730.0,
0101E,4609.0,
1657-1,1300.0,
22-63,1483.0,
0G-70,0.0,
000GF,385.0,
04F-6,542.0,
0126G,856.0,
57-B1,760.0,
VII-6,1380.0,
0001T,898.0,
B-28-1,780.0,
33-42,1069.0,
COMM 4,0.0,
00001,2986.0,
0N-76,0.0,
0627A,0.0,
00024,536.0,
0F-26,0.0,
025-F,2407.0,
24K-8,1147.0,
0008G,6093.0,
0022B,9990.0,
00PH5,6764.0,
F-103,1248.0,
114-7,342.0,
0022H,2451.0,
00501,1057.0,
B-501,3450.0,
131-16,497.0,
14D-6,1205.0,
00310,706.0,
229-11,701.0,
1568-3,306.0,
12K-6,542.0,
17K-8,1147.0,
1730-1,588.0,
364-26,504.0,
131-34,497.0,
0N-78,0.0,
PH216,2091.0,
02A &,730.0,
H-502,1509.0,
1165-2,1282.0,
118-12,562.0,
0IX-1,1380.0,
037-G,1215.0,
A-207,625.0,
800-5,440.0,
THEATER,,
479-12,710.0,
800-2,730.0,
000CH,1352.0,
077-9,515.0,
29-10,712.0,
034-A,763.0,
04-17,1273.0,
5-224,1795.0,
02O-6,742.0,
594-8,720.0,
00008,6224.0,
354-9,590.0,
PS-224,0.0,
334-2,485.0,
6-202,514.0,
317-9,306.0,
244-1B,1173.0,
047-8,1921.0,
0E-12,845.0,
III-2,1050.0,
000GA,604.0,
01464,1337.0,
W-37-6,575.0,
0110H,4193.0,
592-7,720.0,
00157,595.0,
01411,980.0,
30-36,661.0,
3-504,335.0,
B-14-2,780.0,
01505,1013.0,
084-5,877.0,
202-C,0.0,
W-20-5,775.0,
0II-4,1380.0,
0005D,19953.0,
00077,364.0,
C-104,1766.0,
0A-2B,432.0,
PH 1B,2667.0,
168-4,653.0,
00716,5319.0,
63-14,489.0,
9 WCOR,677.0,
09016,1704.0,
011-G,3078.0,
016-O,1656.0,
34-2A,550.0,
136-4,828.0,
3-503,481.0,
01802,1843.0,
115-1,740.0,
251-A,1551.0,
005-F,8890.0,
796-3,922.0,
C-205,1778.0,
0HSNG,1222.0,
144-17,646.0,
093-4,1408.0,
310-3,364.0,
0N-74,0.0,
04F-8,806.0,
0084D,919.0,
08-31,1004.0,
00512,23351.0,
8-133,1282.0,
009-P,2860.0,
00507,829.0,
0A-40,0.0,
09-90,1230.0,
00195,1955.0,
379-2,717.0,
2-403,1017.0,
00G-2,5016.0,
021-D,2475.0,
W-21-2,435.0,
052-2,2573.0,
096-7,1954.0,
16-87,1266.0,
0035B,6767.0,
017-R,2006.0,
70-1B,335.0,
0403W,1564.0,
T-310,872.0,
021-C,2330.0,
01214,971.0,
190-6,519.0,
GARDEN LEVEL,657.0,
090-1,613.0,
189-11,480.0,
02-35,377.0,
D-109,2929.0,
251-E,1458.0,
00F-1,845.0,
119 &,0.0,
000D1,877.0,
378-6,1125.0,
245-21,690.0,
01809,1053.0,
07-16,1288.0,
00054,655.0,
1572-5,700.0,
032-2,8166.0,
59F-4,245.0,
1874-7,520.0,
105-8,1130.0,
A-307,624.0,
A-602,2990.0,
189-9,344.0,
228-2A,2613.0,
66-65,564.0,
024-4,1662.0,
0004H,3821.0,
025-B,2312.0,
0004C,34032.0,
0002I,1689.0,
00529,2494.0,
093-1,1612.0,
46A-1,519.0,
140-4,1735.0,
W-30-4,775.0,
006-5,5092.0,
08P-6,542.0,
62-24,632.0,
0126H,846.0,
051-3,2762.0,
0F208,1200.0,
D-507,1498.0,
001-8,5030.0,
10L-6,542.0,
0A3-1,470.0,
563-1,874.0,
PH228,2070.0,
10D-6,1205.0,
A-208,497.0,
9-12A,502.0,
1714-1,721.0,
00U-7,0.0,
8-201,946.0,
040-8,1750.0,
237-5,865.0,
00074,482.0,
483-22,690.0,
00102,78593.0,
56-18,590.0,
312-5,620.0,
70-3A,390.0,
PM301,1506.0,
0032D,4378.0,
1259-8,968.0,
W-44-5,775.0,
334-7,990.0,
89-12,575.0,
014-P,2434.0,
PM304,937.0,
PS-22,0.0,
0004D,22661.0,
003OB,730.0,
002OB,730.0,
005-5,5962.0,
790-32,730.0,
06A-8,833.0,
483-31,765.0,
116-10,1576.0,
00200,8367.0,
018-8,831.0,
1997-1,330.0,
67-B1,600.0,
309-17,570.0,
022-T,674.0,
069-4,3401.0,
00CS1,0.0,
276-34,690.0,
437-32,294.0,
011-F,6464.0,
52-42,826.0,
121-8,740.0,
131-21,500.0,
70-9A,390.0,
00801,1057.0,
C-601,1905.0,
203-10,0.0,
14C-8,1147.0,
125-4,1987.0,
02C-6,742.0,
125-3,2958.0,
W-46-6,775.0,
10-12,1552.0,
1576-7,473.0,
245-C,1659.0,
00447,1085.0,
0PH-7,485.0,
B-36-4,780.0,
08D-6,1205.0,
009-J,3257.0,
0A-68,1804.0,
0F402,812.0,
00332,4677.0,
313-B1,551.0,
06F-8,806.0,
317-2,451.0,
00532,2788.0,
24-06,1025.0,
00915,1950.0,
1762-8,807.0,
36-22,550.0,
1683-4,335.0,
B-701,2251.0,
199-1,1550.0,
017-M,3150.0,
18-79,1535.0,
794-3,1268.0,
16-86,1266.0,
048-5,884.0,
244-2B,639.0,
1263-2,921.0,
228-3A,2803.0,
00U-2,0.0,
6-501,742.0,
05A-8,833.0,
0025E,5327.0,
1730-6,764.0,
144-18,646.0,
003-3,10625.0,
3-104,470.0,
023-C,1962.0,
