zipcode,total_living_area,neighborhood
02026,1836.0,Dedham
02090,3609.0,Westwood
02108,11166428.0,Back Bay/Beacon Hill
02109,14613211.0,Central Boston
02110,26088199.0,Central Boston
02111,17608048.0,Central Boston
02112,0.0,Central Boston
02113,4440528.0,Central Boston
02114,25618610.0,Central Boston
02115,36429534.0,Fenway/Kenmore
02116,42812654.0,Back Bay/Beacon Hill
02118,23842112.0,South End
02119,22813411.0,Roxbury
02120,10026071.0,Roxbury
02121,16115200.0,Roxbury
02122,15182897.0,Dorchester
02124,30758182.0,Dorchester
02125,26676843.0,Dorchester
02126,12715171.0,Mattapan
02127,34861960.0,South Boston
02128,31460070.0,East Boston
02129,19116474.0,Charlestown
02130,25897169.0,Jamaica Plain
02131,17743278.0,Roslindale
02132,20334892.0,West Roxbury
02133,414936.0,Back Bay/Beacon Hill
02134,16943126.0,Allston/Brighton
02135,35998115.0,Allston/Brighton
02136,20165850.0,Hyde Park
02137,2908.0,Dedham
02186,3064.0,Milton
02199,1438998.0,Back Bay/Beacon Hill
02201,16158.0,Central Boston
02210,20852641.0,South Boston
02215,19862335.0,Fenway/Kenmore
02445,64328.0, Brookline
02446,22385.0, Brookline
02467,1360775.0, Brookline
