zipcode,total_res_units,total_com_units,total_rc_units
02108,1110.0,241.0,0.0
02109,1295.0,89.0,0.0
02110,1603.0,273.0,0.0
02111,1871.0,175.0,6.0
02113,1272.0,35.0,0.0
02114,3232.0,116.0,1.0
02115,3224.0,43.0,0.0
02116,6775.0,169.0,2.0
02118,5381.0,167.0,42.0
02119,1203.0,17.0,3.0
02120,484.0,7.0,2.0
02121,504.0,7.0,0.0
02122,1733.0,20.0,0.0
02124,1766.0,25.0,2.0
02125,2156.0,27.0,0.0
02126,337.0,6.0,1.0
02127,7829.0,116.0,4.0
02128,3372.0,34.0,0.0
02129,3679.0,46.0,0.0
02130,5359.0,46.0,41.0
02131,2159.0,15.0,0.0
02132,1325.0,16.0,0.0
02134,2389.0,45.0,1.0
02135,6153.0,49.0,1.0
02136,916.0,28.0,5.0
02199,15.0,0.0,0.0
02210,1524.0,47.0,5.0
02215,2619.0,51.0,2.0
02446,3.0,0.0,0.0
02467,735.0,0.0,0.0
