zipcode,total_living_area,neighborhood
02090,3609.0,Westwood
02108,11162858.0,Back Bay/Beacon Hill
02109,14546465.0,Central Boston
02110,25729183.0,Central Boston
02111,17589536.0,Central Boston
02112,0.0,Central Boston
02113,4438609.0,Central Boston
02114,25929389.0,Central Boston
02115,36114272.0,Fenway/Kenmore
02116,43261437.0,Back Bay/Beacon Hill
02118,24062249.0,South End
02119,22568966.0,Roxbury
02120,9755838.0,Roxbury
02121,16046006.0,Roxbury
02122,15089831.0,Dorchester
02124,30498507.0,Dorchester
02125,25690686.0,Dorchester
02126,12697789.0,Mattapan
02127,34897005.0,South Boston
02128,30965934.0,East Boston
02129,18926405.0,Charlestown
02130,25397748.0,Jamaica Plain
02131,17649390.0,Roslindale
02132,20227577.0,West Roxbury
02133,414936.0,Back Bay/Beacon Hill
02134,16812473.0,Allston/Brighton
02135,35496780.0,Allston/Brighton
02136,20032486.0,Hyde Park
02137,2908.0,Dedham
02186,3064.0,Milton
02199,1442631.0,Back Bay/Beacon Hill
02201,16158.0,Central Boston
02210,18746299.0,South Boston
02215,20043846.0,Fenway/Kenmore
02445,64141.0, Brookline
02446,19479.0, Brookline
02467,1354092.0, Brookline
