zipcode,total_res_units,total_com_units,total_rc_units
02108,2432,2634,20
02109,2658,3416,20
02110,3350,3306,31510
02111,4064,5739,2652
02113,2434,3183,840
02114,7844,11453,3362
02115,6177,23263,20
02116,13100,18001,672
02118,16664,11395,9153
02119,2398,7631,604
02120,991,94935,0
02121,848,5000,207
02122,3251,3202,164
02124,3390,16987,1250
02125,4253,6290,669
02126,596,3202,1722
02127,15084,10802,33388
02128,5428,7264,19013
02129,7319,3803,1295
02130,9835,4918,1933
02131,3757,3758,726
02132,2544,2298,810
02134,4281,23556,1332
02135,17707,13200,32910
02136,1677,4858,2064
02137,0,1,0
02199,33,347,0
02201,0,6,0
02210,2689,3498,312
02215,5229,14566,0
02445,0,52,0
02446,6,0,0
02467,1572,51,0
