zipcode,total_living_area,neighborhood
02026,6861.6,Dedham
02108,12448504.799999991,Back Bay/Beacon Hill
02109,14035442.4,Central Boston
02110,27219657.0,Central Boston
02111,17841514.65,Central Boston
02113,4581483.5,Central Boston
02114,27548529.200000003,Central Boston
02115,39875756.8,Fenway/Kenmore
02116,42898356.49999994,Back Bay/Beacon Hill
02118,26002815.6,South End
02119,23685012.950000018,Roxbury
02120,10549892.8,Roxbury
02121,16462987.100000001,Roxbury
02122,15737538.199999996,Dorchester
02124,31743866.349999994,Dorchester
02125,27289359.09999997,Dorchester
02126,13229342.249999996,Mattapan
02127,39201936.400000006,South Boston
02128,33661474.099999994,East Boston
02129,19488688.950000007,Charlestown
02130,27012369.50000001,Jamaica Plain
02131,18160788.90000002,Roslindale
02132,21401871.399999958,West Roxbury
02133,519628.0,Back Bay/Beacon Hill
02134,17586177.950000003,Allston/Brighton
02135,39171993.24999997,Allston/Brighton
02136,20452234.94999999,Hyde Park
02137,81652.0,Dedham
02199,1516807.0,Back Bay/Beacon Hill
02201,172517.0,Central Boston
02210,23349102.6,South Boston
02215,22342052.299999997,Fenway/Kenmore
02219,,South Boston
02445,65964.0, Brookline
02446,22497.4, Brookline
02458,2294.0,Newton
02467,1358115.15, Brookline
