zipcode,total_living_area,neighborhood
02090,3609.0,Westwood
02108,11281974.0,Back Bay/Beacon Hill
02109,14418119.0,Central Boston
02110,25328497.0,Central Boston
02111,17670154.0,Central Boston
02112,0.0,Central Boston
02113,4428314.0,Central Boston
02114,25920734.0,Central Boston
02115,36093642.0,Fenway/Kenmore
02116,43189239.0,Back Bay/Beacon Hill
02118,23915312.0,South End
02119,22456537.0,Roxbury
02120,9654055.0,Roxbury
02121,16065907.0,Roxbury
02122,15062869.0,Dorchester
02124,30355145.0,Dorchester
02125,25434932.0,Dorchester
02126,12650452.0,Mattapan
02127,34745910.0,South Boston
02128,30372913.0,East Boston
02129,19385486.0,Charlestown
02130,25407572.0,Jamaica Plain
02131,17597849.0,Roslindale
02132,20111210.0,West Roxbury
02133,414936.0,Back Bay/Beacon Hill
02134,16245540.0,Allston/Brighton
02135,34790207.0,Allston/Brighton
02136,19999218.0,Hyde Park
02137,2908.0,Dedham
02186,3064.0,Milton
02199,1442631.0,Back Bay/Beacon Hill
02201,16158.0,Central Boston
02210,20380628.0,South Boston
02215,19984961.0,Fenway/Kenmore
02445,64141.0, Brookline
02446,21907.0, Brookline
02467,1346880.0, Brookline
