zipcode,total_res_units,total_com_units,total_rc_units
02108,1165.0,234.0,2.0
02109,1291.0,81.0,4.0
02110,989.0,270.0,0.0
02111,1929.0,177.0,285.0
02113,1144.0,38.0,28.0
02114,3184.0,128.0,4.0
02115,2663.0,34.0,2.0
02116,6374.0,142.0,33.0
02118,4961.0,167.0,13.0
02119,863.0,26.0,7.0
02120,454.0,7.0,3.0
02121,350.0,7.0,0.0
02122,1344.0,15.0,0.0
02124,1500.0,27.0,6.0
02125,1746.0,19.0,2.0
02126,222.0,5.0,0.0
02127,6375.0,89.0,13.0
02128,1452.0,16.0,11.0
02129,3309.0,36.0,7.0
02130,4387.0,45.0,41.0
02131,1505.0,16.0,5.0
02132,1199.0,15.0,2.0
02134,1856.0,40.0,0.0
02135,3850.0,35.0,2.0
02136,754.0,16.0,12.0
02199,15.0,0.0,0.0
02210,643.0,40.0,3.0
02215,2239.0,198.0,3.0
02446,3.0,0.0,0.0
02467,600.0,0.0,0.0
