zipcode,total_res_units,total_com_units,total_rc_units
02108,1161.0,233.0,2.0
02109,1288.0,82.0,6.0
02110,989.0,270.0,0.0
02111,1929.0,176.0,285.0
02113,1135.0,37.0,28.0
02114,3186.0,128.0,4.0
02115,2610.0,34.0,2.0
02116,6358.0,141.0,35.0
02118,4885.0,160.0,13.0
02119,863.0,23.0,7.0
02120,466.0,6.0,3.0
02121,340.0,7.0,0.0
02122,1327.0,9.0,0.0
02124,1474.0,27.0,6.0
02125,1710.0,19.0,2.0
02126,229.0,2.0,0.0
02127,6598.0,82.0,13.0
02128,1448.0,16.0,11.0
02129,3280.0,34.0,7.0
02130,4346.0,42.0,41.0
02131,1425.0,16.0,5.0
02132,1195.0,15.0,2.0
02134,1944.0,40.0,0.0
02135,4098.0,35.0,1.0
02136,708.0,16.0,12.0
02199,15.0,0.0,0.0
02210,670.0,40.0,3.0
02215,2284.0,47.0,3.0
02446,3.0,0.0,0.0
02467,588.0,0.0,0.0
02131,4.0,0.0,0.0
