zipcode,total_living_area,neighborhood
02090,3609.0,Westwood
02108,11160665.0,Back Bay/Beacon Hill
02109,14446101.0,Central Boston
02110,23200297.0,Central Boston
02111,16614462.0,Central Boston
02112,0.0,Central Boston
02113,4389476.0,Central Boston
02114,24061217.0,Central Boston
02115,33624400.0,Fenway/Kenmore
02116,43044443.0,Back Bay/Beacon Hill
02118,23287273.0,South End
02119,22139879.0,Roxbury
02120,9441134.0,Roxbury
02121,15896091.0,Roxbury
02122,14891724.0,Dorchester
02124,29270018.0,Dorchester
02125,24616775.0,Dorchester
02126,12408595.0,Mattapan
02127,31989528.0,South Boston
02128,29557555.0,East Boston
02129,18803953.0,Charlestown
02130,24792979.0,Jamaica Plain
02131,17375617.0,Roslindale
02132,19708191.0,West Roxbury
02133,414936.0,Back Bay/Beacon Hill
02134,15901385.0,Allston/Brighton
02135,33396975.0,Allston/Brighton
02136,19347960.0,Hyde Park
02137,3603.0,Dedham
02199,1291871.0,Back Bay/Beacon Hill
02201,16305.0,Central Boston
02210,15334079.0,South Boston
02215,18525745.0,Fenway/Kenmore
02445,59966.0, Brookline
02446,21907.0, Brookline
02467,1338809.0, Brookline
